"Geologic Storage Site Design 
Characteristics  ",Salt Cavern,"Depleted Oil & 
Gas Reservoir",Hard Rock,Aquifer
"Geologic Site Preparation Total Cavern Site 
Development ($)","23,340,000",,"48,720,000 ",
Mining costs ($/m3),23,,84,
Leaching Plant Costs (M$),10,,,
Site Characterization (M$),,,,10.3
