original_name,price,mass_unit,specific_price,material_name,molecular_formula,index_use,molecular_formula_norm,index
Alumina (Averaged),469.22,USD/metric_ton,0.46922 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Shandong,467.65,USD/metric_ton,0.46765 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Henan,472.37,USD/metric_ton,0.47237 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Shanxi,466.86,USD/metric_ton,0.46686 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Guizhou,471.59,USD/metric_ton,0.47159 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Guangxi,467.65,USD/metric_ton,0.46765 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Lianyungang,539.29,USD/metric_ton,0.5392899999999999 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Alumina - Bayuquan,555.04,USD/metric_ton,0.55504 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
Australian Alumina FOB Price,3035.73,USD/metric_ton,3.03573 USD / kilogram,Alumina,Al2O3,molecular_formula,Al2O3,Al2O3
SMM A00 Aluminum Ingot,3579.02,USD/metric_ton,3.57902 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
SMM Aluminum Ingot - Gong Yi,3563.27,USD/metric_ton,3.56327 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Fo Shan,3583.74,USD/metric_ton,3.5837399999999997 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Low Carbon Aluminum,3679.64,USD/metric_ton,3.67964 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Wu Xi,3579.02,USD/metric_ton,3.57902 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Hang Zhou,3580.59,USD/metric_ton,3.5805900000000004 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Chong Qing,3572.72,USD/metric_ton,3.57272 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Shen Yang,3568.0,USD/metric_ton,3.568 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Tian Jin,3586.89,USD/metric_ton,3.58689 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Aluminum Ingot - Lin Yi,3593.19,USD/metric_ton,3.5931900000000003 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
High purity aluminium(99.99%),4818.21,USD/metric_ton,4.8182100000000005 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
High purity aluminium(99.996%),4975.67,USD/metric_ton,4.97567 USD / kilogram,Aluminum,Al,molecular_formula,Al,Al
Bauxite(6.0≤Al/Si<7.0)Shanxi,91.33,USD/metric_ton,0.09133 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(4.5≤Al/Si<5.5)Shanxi,69.68,USD/metric_ton,0.06968 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(4.5≤Al/Si<5.5)Henan,71.25,USD/metric_ton,0.07125000000000001 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(6.0≤Al/Si<7.0)Henan,91.33,USD/metric_ton,0.09133 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(6.5≤Al/Si<7.5)Guangxi,57.47,USD/metric_ton,0.05747 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(5.5≤Al/Si<6.5)Guangxi,48.81,USD/metric_ton,0.048810000000000006 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(6.5≤Al/Si<7.5)Guizhou,74.79,USD/metric_ton,0.07479000000000001 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Bauxite(5.5≤Al/Si<6.5)Guizhou,54.72,USD/metric_ton,0.05472 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
Australia Bauxite CIF,292.14,USD/metric_ton,0.29214 USD / kilogram,Bauxite,AlHO2,material_name,AlHO2,Bauxite
