,0,1,2,3
0,Az+,Cl−,Br−,I−
1,Li+,3.41,3.03,2.56
2,Na+,3.39,2.98,2.42
3,K+,3.53,3.16,2.59
4,Rb+,3.62,2.73,2.25
5,Cs+,3.68,,2.40
6,Mg2+,2.61,2.21,1.62
7,Ca2+,3.38,2.88,2.24
8,Sr2+,3.54,3.04,2.55
9,Ba2+,3.62,3.25,
