metal,molar_price,std_dev_pct
Li,0.43,2
Na,0.057,
K,5.1,
Mg,0.069,
Ca,0.14,
Ba,0.82,
Zn,0.15,5
Cd,0.39,15
Hg,0.27,11
Al,0.066,6
Ga,51,19
In,74,19
Tl,1200,
Sn,3.2,11
Pb,0.52,6
Sb,1.8,14
Bi,4.9,14
Te,44,22
