original_name,T_melt,T_max,Cp,"Density -3
kg$m",kth,"Sensible heat storage capacity (MJ$m
-3 degC
-1)",specific_price,class
Sodium (Na),98,883,1.3,1042,64.9,1.354,2,Metal Alloy
Sodium(22.2%)epotassium (77.8%) eutectic (NaK),-12.6,785,0.89,780,26.3,0.694,2,Metal Alloy
Lead(44.5%)ebismuth(55.5%) eutectic (LBE),125,1533,0.14,10300,14.9,1.44,13,Metal Alloy
