,original_name,molecular_formula,specific_price,notes
unit_row,N/U,N/U,USD/kg,N/U
index,,,,
CuSO4,,CuSO4,1.5,Unsourced number used to calculate Cu-BPA
K4Fe(CN)6,,C6FeK4N6,2,Unsourced number used to calculate Cu-BPA
