index,original_name,deltaH_thermochem,type
MgO4S,MgSO4,0.8048611111111111,sulfates
MnO4S,MnSO4,0.65825,sulfates
FeO4S,FeSO4,0.6332722222222222,sulfates
CoO4S,CoSO4,0.5906388888888889,sulfates
CuO4S,CuSO4,0.52275,sulfates
O4SZn,ZnSO4,0.4911666666666667,sulfates
CdO4S,CdSO4,0.4723611111111111,sulfates
NiO4S,NiSO4,0.3998333333333334,sulfates
CCaO3,CaCO3,0.4602222222222222,carbonates
CO3Sr,SrCO3,0.38073611111111116,carbonates
CMgO3,MgCO3,0.32611111111111113,carbonates
BaCO3,BaCO3,0.2323888888888889,carbonates
CCdO3,CdCO3,0.15558333333333335,carbonates
CO3Zn,ZnCO3,0.1513611111111111,carbonates
CO3Pb,PbCO3,0.08722222222222223,carbonates
CaH2O2,Ca(OH)2,0.37555555555555553,hydroxides
H2MgO2,Mg(OH)2,0.37027777777777776,hydroxides
BeH2O2,Be(OH)2,0.3308333333333333,hydroxides
H2MnO2,Mn(OH)2,0.20944444444444443,hydroxides
H2O2Sr,Sr(OH)2,0.20230555555555554,hydroxides
BaH2O2,Ba(OH)2,0.15151944444444446,hydroxides
H2NiO2,Ni(OH)2,0.14333333333333334,hydroxides
H2O2Zn,Zn(OH)2,0.1386,hydroxides
CdH2O2,Cd(OH)2,0.11372222222222221,hydroxides
O3Rh2,Rh2O3,0.2728055555555556,oxides
O5V2,V2O5,0.26969444444444446,oxides
Co3O4,Co3O4,0.22669444444444445,oxides
Mn3O4,Mn3O4,0.23627777777777778,oxides
CuO,CuO,0.22505555555555556,oxides
LiO,Li2O2,0.20719444444444443,oxides
Iron Ore,Fe2O3,0.1348888888888889,oxides
BaO2,BaO2,0.12016666666666667,oxides
MgO2,MgO2,0.10572222222222223,oxides
Cr5O12,Cr5O12,0.07752777777777778,oxides
O2Pt,PtO2,0.07680555555555556,oxides
O2Pb,PbO2,0.06413888888888888,oxides
O5Sb2,Sb2O5,0.058444444444444445,oxides
Mn2O3,Mn2O3,0.05280555555555556,oxides
O3U,UO3,0.034166666666666665,oxides
