original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,molecular_formula_norm,index_use,index
Copper US,Copper,US,cents/lb,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year.",316.08000000000004,6.968371183139611 USD / kilogram,Copper,Cu,Cu,molecular_formula,Cu
Diamond (Industrial) Bort_Imports,Diamond (Industrial),Bort_Imports,USD/carat,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year.",0.164,820.0 USD / kilogram,Diamond,C,C,material_name,Diamond
Diamond (Industrial) Stones_Imports,Diamond (Industrial),Stones_Imports,USD/carat,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year.",8.4,42000.0 USD / kilogram,Diamond,C,C,material_name,Diamond
Diatomite ,Diatomite,,USD/ton,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year.",338.0,0.3725812230924431 USD / kilogram,Diatomite,SiO2,O2Si,material_name,Diatomite
Feldspar and Nepheline Syenite Feldspar,Feldspar and Nepheline Syenite,Feldspar,USD/ton,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year.",96.8,0.10670373489748075 USD / kilogram,Feldspar,AlKO8Si3,AlKO8Si3,material_name,Feldspar
Feldspar and Nepheline Syenite Nepheline_syenite,Feldspar and Nepheline Syenite,Nepheline_syenite,USD/ton,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year.",125.2,0.13800937612773337 USD / kilogram,Syenite,Al2KNaO8Si2 ,Al2KNaO8Si2,material_name,Syenite
Fluorspar Acid,Fluorspar,Acid,USD/ton,"Price, average unit value of imports, cost, insurance, and freight, dollars per ton: Acid grade. Data are estimated for the most recent year.",297.4,0.32782738386891297 USD / kilogram,Fluorspar,CaF2,CaF2,molecular_formula,CaF2
Fluorspar Metallurgical,Fluorspar,Metallurgical,USD/ton,"Price, average unit value of imports, cost, insurance, and freight, dollars per ton: Metallurgical grade. Data are estimated for the most recent year.",219.2,0.24162663935462583 USD / kilogram,Fluorspar,CaF2,CaF2,molecular_formula,CaF2
Gallium High-purity,Gallium,High-purity,USD/kg,"Price, imports, dollars per kilogram: High-purity, refined. Estimated based on the average unit values of U.S. imports for 99.999%- and 99.99999%-pure gallium. Data are estimated for the most recent year.",544.8,544.8 USD / kilogram,Gallium,Ga,Ga,molecular_formula,Ga
Gallium Low-purity,Gallium,Low-purity,USD/kg,"Price, imports, dollars per kilogram: Low-purity, primary. Estimated based on the average unit values of U.S. imports for 99.99%-pure gallium. Data are estimated for the most recent year.",165.0,165.0 USD / kilogram,Gallium,Ga,Ga,molecular_formula,Ga
Garnet (Industrial) Import,Garnet (Industrial),Import,USD/ton,"Price: Average import unit value, dollars per ton. Data are estimated for the most recent year.",262.0,0.28880556346218966 USD / kilogram,Gallium,Ga,Ga,molecular_formula,Ga
Germanium GeO2,Germanium,GeO2,USD/kg,"Price: Annual average, dollars per kilogram: Germanium dioxide. Average European price for minimum 99.999% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",844.4,844.4 USD / kilogram,Germanium Dioxide,GeO2,GeO2,molecular_formula,GeO2
Germanium Metal,Germanium,Metal,USD/kg,"Price: Annual average, dollars per kilogram: Germanium metal. Average European price for minimum 99.999% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1221.4,1221.4 USD / kilogram,Germanium,Ge,Ge,molecular_formula,Ge
Gold ,Gold,,USD/toz,"Price: Dollars per troy ounce. Engelhard’s average gold price quotation for the year. In 2021, the price was estimated by the U.S. Geological Survey based on data from January through November. Data are estimated for the most recent year.",1500.4,48238.98015156943 USD / kilogram,Gold,Au,Au,molecular_formula,Au
Graphite (Natural) Amorphous,Graphite (Natural),Amorphous,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Amorphous. Data are estimated for the most recent year.",517.0,0.5698949477479086 USD / kilogram,Graphite,C6,C,material_name,Graphite
Graphite (Natural) Flake,Graphite (Natural),Flake,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Flake. Data are estimated for the most recent year.",1480.0,1.6314207401680942 USD / kilogram,Graphite,C6,C,material_name,Graphite
Graphite (Natural) Lump,Graphite (Natural),Lump,USD/ton,"Price, average value of imports, dollars per metric ton at foreign ports: Lump and chip (Sri Lanka). Data are estimated for the most recent year.",2362.0,2.6036593164034043 USD / kilogram,Graphite,C6,C,material_name,Graphite
Gypsum Mine,Gypsum,Mine,USD/ton,"Price, average, dollars per metric ton: Crude, free on board (f.o.b.) mine. Data are estimated for the most recent year.",8.4,0.009259415011764858 USD / kilogram,Gypsum,CaSO4,CaO4S,molecular_formula,CaSO4
Gypsum Plant,Gypsum,Plant,USD/ton,"Price, average, dollars per metric ton: Calcined, f.o.b. plant. Data are estimated for the most recent year.",27.6,0.030423792181513108 USD / kilogram,Gypsum,CaSO4,CaO4S,molecular_formula,CaSO4
Indium FOB,Indium,FOB,USD/kg,"Price, annual average, dollars per kilogram: Free on board U.S. warehouse. Price is based on 99.99%-minimum-purity indium, free on board U.S. warehouse. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",210.8,210.8 USD / kilogram,Indium,In,In,molecular_formula,In
Indium NY,Indium,NY,USD/kg,"Price, annual average, dollars per kilogram: New York dealer. Price is based on 99.99%-minimum-purity indium; delivered duty paid U.S. buyers; in minimum lots of 50 kilograms. Source: S&P Global Platts Metals Week; price was discontinued as of September 11, 2020.",380.75,380.75 USD / kilogram,Indium,In,In,molecular_formula,In
Indium Rotterdam,Indium,Rotterdam,USD/kg,"Price, annual average, dollars per kilogram: Duties unpaid in warehouse, Rotterdam. Price is based on 99.99%-minimum-purity indium, duties unpaid in warehouse (Rotterdam). Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",206.2,206.2 USD / kilogram,Indium,In,In,molecular_formula,In
Iodine Crude_CIF,Iodine,Crude_CIF,USD/kg,"Price: Crude iodine, average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year.",26.392000000000003,26.392000000000003 USD / kilogram,Iodine,I2,I,molecular_formula,I2
Iron Ore ,Iron Ore,,USD/ton,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year.",89.95,0.0991529024176487 USD / kilogram,Iron Ore,Fe2O3,Fe2O3,material_name,Iron Ore
Iron Oxide Pigments ,Iron Oxide Pigments,,USD/kg,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year.",1.03,1.03 USD / kilogram,Iron Oxide Pigment,Fe2O3,Fe2O3,material_name,Iron Oxide Pigment
Iron and Steel Scrap ,Iron and Steel Scrap,,USD/ton,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM.",300.6,0.33135478006387104 USD / kilogram,Iron,Fe,Fe,molecular_formula,Fe
Iron and Steel Slag ,Iron and Steel Slag,,USD/ton,"Price: Average value, free on board plant, dollars per ton. Rounded to the nearest $0.50 per ton. Data are estimated for the most recent year.",26.2,0.02888055634621896 USD / kilogram,Iron,Fe,Fe,molecular_formula,Fe
Kyanite and Related Minerals FOB,Kyanite and Related Minerals,FOB,USD/ton,"Price: Average value of exports (free alongside ship), dollars per metric ton. Calculated from U.S. Census Bureau export data. Includes data for the following Harmonized Tariff Schedule of the United States code: 2508.50.0000.",358.6,0.39528883609748555 USD / kilogram,kyanite,Al2H6O5Si,Al2H6O5Si,material_name,kyanite
Lead LME,Lead,LME,cents/lb,"Price: Average, cents per pound: London Metal Exchange (LME), cash. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",95.92,2.114674018877346 USD / kilogram,Lead,Pb,Pb,molecular_formula,Pb
Lead North_American,Lead,North_American,cents/lb,"Price: Average, cents per pound: North American market. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",105.32000000000001,2.321908545331131 USD / kilogram,Lead,Pb,Pb,molecular_formula,Pb
Lime Hydrated,Lime,Hydrated,USD/ton,"Price, average value, dollars per ton at plant: Hydrated. Data are estimated for the most recent year.",153.94,0.16968980320370028 USD / kilogram,Lime,CaO,CaO,molecular_formula,CaO
Lime Quicklime,Lime,Quicklime,USD/ton,"Price, average value, dollars per ton at plant: Quicklime. Data are estimated for the most recent year.",129.28,0.14250680627630488 USD / kilogram,Lime,CaO,CaO,molecular_formula,CaO
Lithium ,Lithium,,USD/ton,"Price: Annual average, battery-grade lithium carbonate, dollars per metric ton. Lithium carbonate, contract price, delivered Europe and United States. Source: Fastmarkets IM. Data are estimated for the most recent year.",13940.0,15.366219674285968 USD / kilogram,Lithium Carbonate,Li2CO3,CLi2O3,molecular_formula,Li2CO3
Magnesium Metal European,Magnesium Metal,European,USD/ton,"Price: Annual average: European free market, dollars per metric ton. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",2977.8,3.2824626216706427 USD / kilogram,Magnesium,Mg,Mg,molecular_formula,Mg
Magnesium Metal US_spot,Magnesium Metal,US_spot,cents/lb,"Price: Annual average: U.S. spot Western, dollars per pound. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",2.632,0.05802566740705978 USD / kilogram,Magnesium,Mg,Mg,molecular_formula,Mg
Manganese CN_CIF,Manganese,CN_CIF,USD/ton,"Price: Average, manganese content, cost, insurance, and freight, China, dollars per metric ton unit. For average metallurgical-grade ore containing 44% manganese. Source: CRU Group. Data are estimated for the most recent year.",5.71,0.006294197585378255 USD / kilogram,Manganese,Mn,Mn,molecular_formula,Mn
Mercury EU,Mercury,EU,USD/flask,"Price: Average value, dollars per flask, 99.99%: European Union. Some international data and dealer prices are reported in flasks. One metric ton (1,000 kilograms) = 29.0082 flasks, and 1 flask = 76 pounds, or 34.47 kilograms, or 0.03447 metric ton. Average annual price of minimum 99.99% mercury. Source: Argus Media group—Argus Metals International. Price discontinued on May 1, 2018. Data are estimated for the most recent year.",1070.5,31.05599071656513 USD / kilogram,Mercury,Hg,Hg,molecular_formula,Hg
Mercury Global,Mercury,Global,USD/flask,"Price: Average value, dollars per flask, 99.99%: Global locations. Some international data and dealer prices are reported in flasks. One metric ton (1,000 kilograms) = 29.0082 flasks, and 1 flask = 76 pounds, or 34.47 kilograms, or 0.03447 metric ton. Average midpoint of free market 99.99% mercury in warehouse, global locations. Source: Metal Bulletin. Price discontinued on December 1, 2019.",2177.3333333333335,63.166038100763956 USD / kilogram,Mercury,Hg,Hg,molecular_formula,Hg
Molybdenum ,Molybdenum,,USD/kg,"Price: Average value, dollars per kilogram. Time-weighted average price per kilogram of molybdenum contained in technical-grade molybdic oxide, as reported by CRU Group. Data are estimated for the most recent year.",25.5,25.5 USD / kilogram,Molybdenum,Mo,Mo,molecular_formula,Mo
Nickel ,Nickel,,USD/ton,"Price, average annual, London Metal Exchange (LME), cash: Dollars per metric ton. Data are estimated for the most recent year.",6922.3523000000005,7.630587238493453 USD / kilogram,Nickel,Ni,Ni,molecular_formula,Ni
Niobium (Columbium) ,Niobium (Columbium),,USD/kg,"Price: Unit value, ferroniobium, dollars per kilogram. Unit value is weighted average unit value of gross weight of U.S. ferroniobium trade (imports plus exports.) Data are estimated for the most recent year.",21.0,21.0 USD / kilogram,Niobium ,Nb,Nb,molecular_formula,Nb
Nitrogen (Fixed)--Ammonia ,Nitrogen (Fixed)--Ammonia,,USD/short_ton,"Price: Average, free on board gulf coast, dollars per short ton. Source: Green Markets. Data are estimated for the most recent year.",298.6,0.32915015744202225 USD / kilogram,Ammonia,H3N,H3N,molecular_formula,H3N
Peat ,Peat,,USD/ton,"Price: Average value, f.o.b. mine, dollars per ton. Data are estimated for the most recent year.",25.552,0.02816625861673996 USD / kilogram,Peat,K,K,material_name,Peat
Perlite FOB,Perlite,FOB,USD/ton,"Price: Average value, free on board mine, dollars per ton. Data are estimated for the most recent year.",65.6,0.07231162199663985 USD / kilogram,Perlite,Al2CaFe2K2MgNa2O12Si,Al2CaFe2K2MgNa2O12Si,material_name,Perlite
Phosphate Rock ,Phosphate Rock,,USD/ton,"Price: Average value, f.o.b. mine, dollars per ton. Marketable phosphate rock, weighted value, all grades. Data are estimated for the most recent year.",72.65599999999999,0.08008953060652232 USD / kilogram,Phosphorite,Ca5(PO4)3F,Ca5FO12P3,material_name,Phosphorite
Platinum-Group Metals Iridium,Platinum-Group Metals,Iridium,USD/ton,"Price, Dollars per troy ounce: Iridium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",2144.186,2.3635604805257198 USD / kilogram,Iridium,Ir,Ir,molecular_formula,Ir
Platinum-Group Metals Palladium,Platinum-Group Metals,Palladium,USD/ton,"Price, Dollars per troy ounce: Palladium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",1652.062,1.821086628948366 USD / kilogram,Palladium,Pd,Pd,molecular_formula,Pd
Platinum-Group Metals Platinum,Platinum-Group Metals,Platinum,USD/ton,"Price, Dollars per troy ounce: Platinum. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",957.3700000000001,1.0553197797396814 USD / kilogram,Platinum,Pt,Pt,molecular_formula,Pt
Platinum-Group Metals Rhodium,Platinum-Group Metals,Rhodium,USD/ton,"Price, Dollars per troy ounce: Rhodium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",8492.346,9.361209052083481 USD / kilogram,Rhodium,Rh,Rh,molecular_formula,Rh
Platinum-Group Metals Ruthenium,Platinum-Group Metals,Ruthenium,USD/ton,"Price, Dollars per troy ounce: Ruthenium. Engelhard Corp. unfabricated metal. Data are estimated for the most recent year.",273.13800000000003,0.3010831068432655 USD / kilogram,Ruthenium,Ru,Ru,molecular_formula,Ru
Potash All,Potash,All,USD/ton,"Price: Average, all products, f.o.b. mine, dollars per ton of K2O. Includes MOP, SOP, and SOPM. Does not include other chemical compounds that contain potassium. Data are estimated for the most recent year.",834.0,0.9193276333109396 USD / kilogram,Potassium Oxide,K2O,K2O,molecular_formula,K2O
Potash Muriate,Potash,Muriate,USD/ton,"Price: Average, muriate, f.o.b. mine, dollars per ton of KO. Data are estimated for the most recent year.",466.0,0.5136770708907648 USD / kilogram,Potassium Chloride,KCl,ClK,molecular_formula,KCl
Pumice and Pumicite ,Pumice and Pumicite,,USD/ton,"Price: Average value, f.o.b. mine or mill, dollars per ton. Data are estimated for the most recent year.",32.4,0.035714886473950165 USD / kilogram,Pumice,C28FH37O7,C28FH37O7,material_name,Pumice
Quartz Crystal (Industrial) Cultured,Quartz Crystal (Industrial),Cultured,USD/kg,"Price, dollars per kilogram: As-grown cultured quartz. Data are estimated for the most recent year.",236.0,236.0 USD / kilogram,Quartz,SiO2,O2Si,material_name,Quartz
Quartz Crystal (Industrial) Lumbered,Quartz Crystal (Industrial),Lumbered,USD/kg,"Price, dollars per kilogram: Lumbered quartz. As-grown cultured quartz that has been processed by sawing and grinding. Data are estimated for the most recent year.",420.0,420.0 USD / kilogram,Quartz,SiO2,O2Si,material_name,Quartz
Rare Earths CeO2,Rare Earths,CeO2,USD/kg,"Price: Average, dollars per kilogram: Cerium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",2.0,2.0 USD / kilogram,,CeO2,CeO2,molecular_formula,CeO2
Rare Earths Dy2O3,Rare Earths,Dy2O3,USD/kg,"Price: Average, dollars per kilogram: Dysprosium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",253.2,253.2 USD / kilogram,,Dy2O3,Dy2O3,molecular_formula,Dy2O3
Rare Earths Eu2O3,Rare Earths,Eu2O3,USD/kg,"Price: Average, dollars per kilogram: Europium oxide, 99.99% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",45.4,45.4 USD / kilogram,,Eu2O3,Eu2O3,molecular_formula,Eu2O3
Rare Earths La2O3,Rare Earths,La2O3,USD/kg,"Price: Average, dollars per kilogram: Lanthanum oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",2.0,2.0 USD / kilogram,,La2O3,La2O3,molecular_formula,La2O3
Rare Earths Mischmetal,Rare Earths,Mischmetal,USD/kg,"Price: Average, dollars per kilogram: Mischmetal, 65% cerium, 35% lanthanum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",5.8,5.8 USD / kilogram,Mischmetal,C3CeH8LaNd,C3CeH8LaNd,material_name,Mischmetal
Rare Earths Nd2O3,Rare Earths,Nd2O3,USD/kg,"Price: Average, dollars per kilogram: Neodymium oxide, 99.5% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",48.6,48.6 USD / kilogram,,Nd2O3,Nd2O3,molecular_formula,Nd2O3
Rare Earths TbO2,Rare Earths,TbO2,USD/kg,"Price: Average, dollars per kilogram: Terbium oxide, 99.99% minimum. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",686.6,686.6 USD / kilogram,,TbO2,O2Tb,molecular_formula,TbO2
Rhenium Metal,Rhenium,Metal,USD/kg,"Price, average value, gross weight, dollars per kilogram: Metal pellets, 99.99% pure. Average price per kilogram of rhenium in pellets or catalytic-grade ammonium perrhenate. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1266.0,1266.0 USD / kilogram,Rhenium,Re,Re,molecular_formula,Re
Rhenium NH4ReO4,Rhenium,NH4ReO4,USD/kg,"Price, average value, gross weight, dollars per kilogram: Ammonium perrhenate. Average price per kilogram of rhenium in pellets or catalytic-grade ammonium perrhenate. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",1270.0,1270.0 USD / kilogram,Rhenium,Re,Re,molecular_formula,Re
Salt Brine,Salt,Brine,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Salt in brine. Data are estimated for 2019, 2020, and 2021.",8.958,0.009874504723260668 USD / kilogram,Sodium Chloride,NaCl,ClNa,molecular_formula,NaCl
Salt Rock,Salt,Rock,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Rock salt. Data are estimated for 2019, 2020, and 2021.",58.638,0.06463733064998425 USD / kilogram,Sodium Chloride,NaCl,ClNa,molecular_formula,NaCl
Salt Solar,Salt,Solar,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Solar salt. Data are estimated for 2019, 2020, and 2021.",120.28800000000001,0.13259482296847278 USD / kilogram,Sodium Chloride,NaCl,ClNa,molecular_formula,NaCl
Salt Vacuum,Salt,Vacuum,USD/ton,"Price, average value of bulk, pellets and packaged salt, free on board (f.o.b.) mine and plant, dollars per ton: Vacuum and open pan salt. Data are estimated for 2019, 2020, and 2021.",214.43200000000002,0.23637081902413837 USD / kilogram,Sodium Chloride,NaCl,ClNa,molecular_formula,NaCl
Sand and Gravel (Construction) ,Sand and Gravel (Construction),,USD/ton,"Price: Average value, dollars per metric ton. Data are estimated for the most recent year.",9.344,0.01029999688927748 USD / kilogram,Gravel,C15H21NO,C15H21NO,material_name,Gravel
Sand and Gravel (Industrial) ,Sand and Gravel (Industrial),,USD/ton,"Price: Average value, dollars per ton. Data are estimated for the most recent year.",43.6,0.04806077315630332 USD / kilogram,Gravel,C15H21NO,C15H21NO,material_name,Gravel
Scandium Cmpds_Acetate,Scandium,Cmpds_Acetate,USD/g,"Price, yearend: Compounds, dollars per gram: Acetate, 99.9% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",44.2,44200.0 USD / kilogram,Scandium Acetate,C6H12O6Sc,C6H12O6Sc,molecular_formula,C6H12O6Sc
Scandium Cmpds_Chloride,Scandium,Cmpds_Chloride,USD/g,"Price, yearend: Compounds, dollars per gram: Chloride, 99.9% purity, 5-gram lot size. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",129.6,129600.0 USD / kilogram,Scandium Chloride,ScCl3,Cl3Sc,molecular_formula,ScCl3
Scandium Cmpds_Fluoride,Scandium,Cmpds_Fluoride,USD/g,"Price, yearend: Compounds, dollars per gram: Fluoride, 99.9% purity, 1- to 5-gram lot size. Source: Sigma-Aldrich, a part of MilliporeSigma. Data are estimated for the most recent year.",224.4,224400.0 USD / kilogram,Scandium Fluoride,ScF3,F3Sc,molecular_formula,ScF3
