MH  Hydralloy,Grav. Cap. [wt.%] 1.6,"Vol. Cap. (cid:4)3]
[kgH2m 115","Vol. Cap. System (cid:4)3]
[kgH2m 57"
[182],,,
NaAlH4,7.3,93,46
[183],,,
LaNi5 [184],1.5,115,57
LiBH4 [183],18.4,122,61
MgH2 [184],7.7,110,55
