,SM_type,sub_type,mat_type,materials,mat_basis,C_kwh_orig,deltaV,n_e
unit_row,N/U,N/U,N/U,N/U,N/U,USD / kilowatt_hour,volt,dimensionless
SM_name,,,,,,,,
Pb acid,coupled_battery,solid_electrode,other,Pb,,12.4,2.1,2.0
NiCd,coupled_battery,solid_electrode,Ni based,"[('Cd(OH)2', 1), ('Ni(OH)2', 1)]",molar,66.0,1.2,2.0
NiMH,coupled_battery,solid_electrode,Ni based,"[('LaNi5', 1), ('Ni(OH)2', 1)]",molar,82.8,1.2,1.0
,coupled_battery,metal_air,Zn based,Zn,,5.8,1.65,
Zn/NiOOH,coupled_battery,solid_electrode,Zn based,"[('Zn', 1), ('Ni(OH)2', 2 )]",molar,44.2,1.74,2.0
Zn/MnO2,coupled_battery,solid_electrode,Zn based,"[('Zn', 1), ('MnO2', 1)]",molar,9.0,1.5,2.0
Zn/Fe,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('Fe', 2)]",molar,9.3,1.99,2.0
Zn/Zn0.25V2O5,coupled_battery,solid_electrode,Zn based,"[('Zn', 1.35), ('V2O5', 1)]",molar,50.7,1.4,2.2
Mg/Ti2S4,coupled_battery,solid_electrode,other,"[('Mg', 1), ('TiS2', 1)]",molar,358.7,1.7,2.0
Li/S,coupled_battery,solid_electrode,Lithium metal,"[('Li', 2), ('S', 1)]",molar,13.7,2.5,2.0
Li/TiS2,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('TiS2', 1)]",molar,192.1,2.5,1.0
Li/MoS2,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('MoS2', 1)]",molar,35.7,2.5,1.0
Li/LCO,coupled_battery,solid_electrode,Lithium metal,"[('Li', 1), ('LCO', 1)]",molar,90.3,4.7,1.0
Li/air,coupled_battery,metal_air,Lithium metal,Li,,45.5,2.91,1.0
Na/S,coupled_battery,liquid_metal_battery,,"[('Na', 1), ('S', 2)]",molar,1.6,2.0,1.0
Na/NiCl2,coupled_battery,liquid_metal_battery,,"[('Na', 2), ('NiCl2', 1)]",molar,6.6,2.58,2.0
Li/Pb2Sb,coupled_battery,liquid_metal_battery,,"[('Li', 1), ('Pb', 1), ('Sb', 1)]",molar,64.1,0.92,1.0
ICB,flow_battery,,inorganic,"[('Cr', 1), ('Fe', 1)]",molar,28.3,1.18,1.0
FeCl2,flow_battery,,inorganic,"[('FeCl2', 3)]",molar,15.5,1.2,2.0
PSB,flow_battery,,inorganic,"[('Na', 1), ('S',1), ('NaBr', 1)]",molar,7.4,1.55,1.0
VRFB,flow_battery,,inorganic,V2O5,,124.4,1.55,1.0
Cu/Cu,flow_battery,,inorganic,"[('Cu', 2)]",molar,53.0,0.6,1.0
,flow_battery,,organic,"[('AQDS', 1), ('Br2', 1)]",molar,57.9,0.92,
"S/Air(Na, Acid)",flow_battery,,inorganic,"[('Na', 1), ('S', 1)]",molar,1.7,1.35,2.0
"S/Air(Na, Base)",flow_battery,,inorganic,"[('Na', 1), ('S', 1)]",molar,4.0,0.65,2.0
"S/Air(Li, Acid)",flow_battery,,inorganic,"[('Li', 1), ('S', 1)]",molar,4.6,1.35,2.0
"S/Air(Li, Base)",flow_battery,,inorganic,"[('Li', 1), ('S', 1)]",molar,13.2,0.65,2.0
C6/LMO,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LMO', 1)]",molar,45.6,4.2,1.0
C6/LCO,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LCO', 1)]",molar,98.3,4.2,1.0
C6/LFP,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LFP', 1)]",molar,44.0,3.65,1.0
C6/LMNO,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LMNO', 1)]",molar,51.3,4.7,1.0
LTO/LMO,coupled_battery,solid_electrode,Li ion,"[('LTO', 1), ('LMO', 1)]",molar,90.1,2.7,1.0
C6/NCM111,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('NCM111', 1)]",molar,51.3,4.2,1.0
C6/LMP,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LMP', 1)]",molar,36.3,4.0,1.0
C6/NCA,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('NCA', 1)]",molar,68.3,4.2,1.0
C6/LRMO LMNO,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('LMNO', 0.7), ('LMO', 0.15), ('Li', 0.45)]",molar,35.6,4.95,1.0
C6/NCM622,coupled_battery,solid_electrode,Li ion,"[('Graphite', 1), ('NCM622', 1)]",molar,47.1,4.2,1.0
Si/LCO,coupled_battery,solid_electrode,Li ion,"[('Polysilicon', 1), ('LCO', 4)]",molar,97.2,4.2,4.0
Si/Li2S,coupled_battery,solid_electrode,Li ion,"[('Polysilicon', 1), ('Li2S', 1)]",molar,12.5,2.6,2.0
Na/P2-NMO,coupled_battery,solid_electrode,Na ion,"[('Na', 1), ('P2_NMO', 1)]",molar,38.9,1.4,1.0
PPy-AC/Cu-PBA,coupled_battery,solid_electrode,Na ion,"[('PPy-AC', 0.33), ('K4Fe(CN)6', 0.33), ('Cu', 0.33)]",molar,835.9,1.2,
NTP/NMO,coupled_battery,solid_electrode,Na ion,"[('NTP', 1), ('NMO', 1)]",molar,212.4,1.3,1.0
