name,Melting point (degC),Highest operating temperature (degC),Cp,"-3)
Density (kg$m (liquid)",kth,"Sensible heat storage capacity (MJ$m
-3 degC
-1)",cost,class
"HITEC, NaNO3eKNO3e NaNO2",142,535,1.561,1640,0.60,2.56,nan,Molten Salt
(7-53e 40),,,,,,,,Molten Salt
"HITEC XL, NaNO3e KNO3eCa(NO3)2",120,500,1.447,1992,0.519,2.9,1.19,Molten Salt
(7e 45-48),,,,,,,,Molten Salt
"Solar Salt, NaNO3e KNO3 (50-50)",220,600,1.5,1899,0.55,2.8,nan,Molten Salt
