,Unnamed: 0,pubchem_formulas,chemspi_output,pubchem_top_formula,chemspi_top_formula
55,Germanium,"{'Ge': 40, 'Ge2': 2, 'Ge3': 2, 'Ge4': 2, 'Ge5': 2, 'C2H3NaO2S': 1, 'Ge+4': 1, 'GeH4': 1}",{'Ge': 1},Ge,Ge
56,Potassium chloride,"{'ClK': 101, 'Cl2K2': 1, 'C27H50CaCl6KMgN6Na5O27PS2': 1, 'C10H24CaCl6KMgNa2O14': 1, 'C8H19CaCl6KMgNa2O10': 1, 'C14H24CaCl6KMgNa5O17': 1, 'C11H24CaCl6KMgNa3O13': 1, 'C7H33CaCl4KMgNa4O26PS': 1, 'C8H19CaCl4KNa2O10': 1, 'C6H16CaCl4KNaO8': 1, 'C9H21CaCl4KNa2O11': 1, 'C2H7CaCl6KMgNa2O4': 1, 'C8H12CaCl6KMgNa5O11': 1, 'C5H12CaCl6KMgNa3O7': 1, 'CaCl6H4KMgNaO2': 1, 'C2H7CaCl4KNa2O4': 1, 'CaCl4H4KNaO2': 1, 'C3H9CaCl4KNa2O5': 1, 'C8H31Cl4K2MgNa5O24P2': 1, 'C8H14Cl4KMgNa3O9': 1, 'Cl2H2K2MgNa4O12P2S': 1, 'Cl2KNa': 1, 'C8H16Cl3K3MgNaO12P': 1, 'C9H20Cl4K3MgNa3O17P2': 1, 'C9H19Cl4K2MgNa2O13P': 1, 'C9H21Cl3K2MgNa2O17P2': 1, 'C8H15Cl4KMgNa2O8': 1, 'C14H26Cl4KMgNa3O15': 1, 'C6H12ClKO6': 1, 'C9H19Cl2K2Na2O13P': 1, 'C8H16Cl2K3Na2O12P': 1, 'C6H12Cl2KNaO6': 1, 'C4H11Cl2KNNaO3': 1, 'Cl-': 1, 'ClNa': 1, 'C14H10N4O2S2': 1}",{'ClK': 1},ClK,ClK
57,Chromite,"{'CrFeO4': 1, 'Cr2FeO4': 1}",{'Cr_{2}FeO_{4}': 1},CrFeO4,Cr2FeO4
58,Antimony,"{'Sb': 30, 'Sb2': 2, 'Sb4': 2, 'Sb+3': 1}",{'Sb': 1},Sb,Sb
59,Zirconium,"{'Zr': 34, 'N4O12Zr': 1, 'Zr+4': 1, 'C28H82N6O2Si8Zr2': 1, 'C20H60N10O2Zr3': 1, 'C28H82N6Si8Zr2': 1, 'C66H112O12S3Zr': 1, 'C60H127O24P6Zr': 1, 'C48H88O17P2Zr': 1}",{'Zr': 1},Zr,Zr
60,Arsenic,"{'As': 34, 'As+3': 1, 'AsH3': 1}",{'As': 1},As,As
61,Cadmium,"{'Cd': 44, 'Cd+2': 2, 'Cd3': 2, 'Cd2': 2, 'C11H11NO': 1}",{'Cd': 2},Cd,Cd
62,Granite,{'C16H14F5N5O5S': 3},{},C16H14F5N5O5S,
63,Selenium,"{'Se': 44, 'Se2': 3, 'H2Se': 1, 'C24H32ClNO4': 1}",{'Se': 1},Se,Se
64,Niobium ,"{'Nb': 36, 'Nb+5': 1}",{'Nb': 1},Nb,Nb
65,Iridium,"{'Ir': 47, 'Ir4': 3, 'C25H36ClIrO3P2': 1, 'C18H24O6': 1}",{'Ir': 1},Ir,Ir
