Materials,"Electrode System (1,2)",Electrolyte,Current Density or Scan Rate,Potential Range (V),Specific Capacitance (F·g-1),Ref.
Carbon nanosheets,Two,(3) EMIMBF4,1-10 A·g-1,3.5,155-242,6
Carbon nanosheets,Two,PVA-H3PO4 gel,0.25-1.3 A·g-1,0.8,4.9-29.2,7
N-doped carbon nanosheets,Two,1 M NaOH,0.75-7 A·g-1,1.0,150-180,8
Porous carbon nanowhiskers,Two,6 M KOH,0.5-30 A·g-1,1.0,125-210,16
N-doped nanoporous carbon,Three,6 M KOH,0.5-40 A·g-1,1.0,90-240,17
Nanofibers/mesoporous carbon,Three,0.5 M K2SO4,0.5-6 A·g-1,0.8,72-99,18
N-doped carbon nanospheres,Three,6 M KOH,0.5-40 A·g-1,1.0,62-194,19
Nanoporous carbon,Two,(4) EMI-TFSI,0.5-25 A·g-1,3.5,80-178,21
N-doped nanoporous carbon,Three,6 M KOH,1-10 A·g-1,1.0,175-250,22
Mesoporous carbon nanosheets,Two,(5) 1 M,0.1-120 A·g-1,2.7,100-130,24
,,TEABF4/AN,,,,
GO-activate carbon,Two,EMIMBF4,1-10 A·g-1,3.5,110-135,25
Porous carbon/CNTs,Two,3 M H2SO4,0.1-50 A·g-1,0.9,125-237,26
Porous CNFs,Two,EMI-TFSI,5-100 mV·s-1,2.0,65-150,27
Porous CNTs,Three,1 M H2SO4,1-10 A·g-1,0.7,454-710,28
Nanoporous carbon foams,Two,6 M KOH,0.2-20 A·g-1,1.1,125-379,29
Carbonization of carbon hydrates,Two,5 M KOH,1 A·g-1,0.8,140,32
Carbonized hollow nanocarbon,Two,1 M KOH,1-20 A·g-1,0.9,160-183,35
Graphene-coated CNTs,Two,EMI-TFSI,0.01-10 A·g-1,3.0,60-130,36
Graphene/CNF,Three,1 M H2SO4,0.2 A·g-1,1.5,174,39
3D porous graphene-like carbon,Two,(6) TEMABF4/PC,1-32 A·g-1,2.5,156-178,40
Mesoporous graphene nanoballs,Three,1 M H2SO4,5-100 mV·s-1,0.8,206,41
Graphene/CNT composite fibers,Two,0.5 M H2SO4,0.2-2 A·g-1,0.8,6-35,42
N-doped 3D nanoporous carbon,Two,0.5 M Na2SO4,0.5-20 A·g-1,1.0,226-304,43
Graphene/CNT,Two,EMIMBF4,10 A·g-11,4.0,199,44
Graphene/carbon,Two,EMIMBF4,1-10 A·g-1,3.5,160-190,45
RGO/CNT,Two,PVA-H2SO4 gel,0.5-4 A·g-1,1.0,180-252,46
Carbonized PPy nanostructures,Three,1 M H2SO4,5 mV·s-1,0.9,264,47
Carbonized PPy-CNTs,Three,1 M KCL,5-100 mV·s-1,1.5,40-140,48
Halogen-containing nanoporous carbon,Three,6 M KOH,0.5-40 A·g-1,1.0,110-313,49
Oxygen-rich nanoporous carbon,Two,1 M H2SO4,0.5-10 A·g-1,1.0,210-297,50
