,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
Ag,Silver Bullion,Ag,675.5168568660299
Al,Aluminum Ingot,Al,2.659985812358892
Al2O3,Bauxite and Alumina Alumina,Al2O3,0.5959015660694393
AlSc,Scandium Mtl_Alloy,AlSc,379.0720956855875
As,Arsenic Mtl-CN,As,1.721041831658298
As2O3,"Arsenic Triox-CN, Arsenic Triox-MA",As2O3,0.678125029007287
Asbestos,Asbestos Customs,Mg3Si2O5(OH)4,2.2623836073931476
Au,Gold ,Au,53555.911829320336
B,Boron CIF,B,0.47664306538519907
Barite,Barite ,BaSO4,0.22039777477472675
Bauxite,Bauxite and Alumina Bauxite,AlHO2,0.037373737947306473
Be,Beryllium Alloy,Be,686.8033998274568
Bi,Bismuth ,Bi,9.43029968532209
Br2,Bromine Imports,Br2,2.716789513493782
C6H12O6Sc,Scandium Cmpds_Acetate,C6H12O6Sc,49274.16244642219
CaF2,"Fluorspar Acid, Fluorspar Metallurgical",CaF2,0.3176636308655786
CaO,"Lime Hydrated, Lime Quicklime",CaO,0.17383129531214797
CaSO4,"Gypsum Mine, Gypsum Plant",CaSO4,0.022153289067430467
Cd,Cadmium Metal,Cd,2.691667687387226
CeO2,Rare Earths CeO2,CeO2,2.2294438577420896
Celestite,Strontium ,SrSO4,0.10026131135805845
Cement,Cement Avg,CaAl2O6Si,0.14982138248986096
Clay,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin",Al2O5Si,0.08837534787966365
Co,"Cobalt LME, Cobalt Spot",Co,56.62059444111388
Cr,Chromium Metal,Cr,11.54811318330237
CrFeO4,Chromium Ore,CrFeO4,0.28971195055051574
Cu,"Copper COMEX, Copper LME, Copper US",Cu,7.632729205132857
Diamond,"Diamond (Industrial) Bort_Imports, Diamond (Industrial) Stones_Imports",C,23832.730420291908
Diatomite,Diatomite ,SiO2,0.41561396990875354
Dy2O3,Rare Earths Dy2O3,Dy2O3,280.17048682394034
Eu2O3,Rare Earths Eu2O3,Eu2O3,51.09206400399553
Fe,"Iron and Steel Scrap , Iron and Steel Slag ",Fe,0.20025327270133775
FeCr,Chromium Ferrrochromium,FeCr,2.823058151830553
FeSi2,"Silicon FeSi2_50, Silicon FeSi2_75",FeSi2,2.514888935576365
FeTiO3,"Titanium Mineral Concentrates Ilmenite, Titanium Mineral Concentrates Ilmente_Leucoxene",FeTiO3,0.4224327479041148
Feldspar,Feldspar and Nepheline Syenite Feldspar,AlKO8Si3,0.1184430886665047
Ga,"Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import",Ga,263.2769696470147
Ge,Germanium Metal,Ge,1362.6290099887237
GeO2,Germanium GeO2,GeO2,942.4555436767989
Graphite,"Graphite (Natural) Amorphous, Graphite (Natural) Flake, Graphite (Natural) Lump",C6,1.7793704795268805
Gravel,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) ",C15H21NO,0.032671866529670635
H3N,Nitrogen (Fixed)--Ammonia ,H3N,0.36486690082067275
Hf,Zirconium and Hafnium Hf_unwrought,Hf,1.0087133737113487
Hg,"Mercury EU, Mercury Global",Hg,53.544831245068835
I2,Iodine Crude_CIF,I2,29.27493541926274
In,"Indium FOB, Indium NY, Indium Rotterdam",In,297.8853302004661
Ir,Platinum-Group Metals Iridium,Ir,2.5931434341649213
Iron Ore,Iron Ore ,Fe2O3,0.11039138876574471
Iron Oxide Pigment,Iron Oxide Pigments ,Fe2O3,1.1580410035117823
K2O,Potash All,K2O,1.0224458581155191
KCl,Potash Muriate,KCl,0.5713190507781446
La2O3,Rare Earths La2O3,La2O3,2.2294438577420896
Li2CO3,Lithium ,Li2CO3,17.15734503395738
Metallurgical Silicon,Silicon Si,Si,2.915319360279472
Mg,"Magnesium Metal European, Magnesium Metal US_spot",Mg,1.8484223062772298
Mischmetal,Rare Earths Mischmetal,C3CeH8LaNd,6.470362886823535
Mn,Manganese CN_CIF,Mn,0.007035588088400762
Mo,Molybdenum ,Mo,28.311866499106067
Na2CO3,Soda Ash ,Na2CO3,0.17548342025141947
NaCl,"Salt Brine, Salt Rock, Salt Solar, Salt Vacuum",NaCl,0.12356651687202266
Nb,Niobium (Columbium) ,Nb,23.409427085338972
Nd2O3,Rare Earths Nd2O3,Nd2O3,54.186224839062675
Ni,Nickel ,Ni,8.469992715939142
Pb,"Lead LME, Lead North_American",Pb,2.4757740561012165
Pd,Platinum-Group Metals Palladium,Pd,2.008543090730901
Peat,Peat ,K,0.03142675590098476
Perlite,Perlite FOB,Al2CaFe2K2MgNa2O12Si,0.08072056398199941
Phosphorite,Phosphate Rock ,Ca5(PO4)3F,0.08923855431227769
Pt,Platinum-Group Metals Platinum,Pt,1.1742194174948628
Pumice,Pumice and Pumicite ,C28FH37O7,0.03988210286240705
Quartz,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",SiO2,365.955892702569
Re,"Rhenium Metal, Rhenium NH4ReO4",Re,1419.645764581002
Rh,Platinum-Group Metals Rhodium,Rh,10.184514667270264
Ru,Platinum-Group Metals Ruthenium,Ru,0.3315552807587325
S,Sulfur Sulfur,S,0.0719197218794802
Sb,Antimony Metal,Sb,9.074511119940588
Sc,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",Sc,203348.49104452552
Sc2O3,Scandium Cmpds_Oxide,Sc2O3,4281.070491595793
ScCl3,Scandium Cmpds_Chloride,ScCl3,144325.51113258518
ScF3,Scandium Cmpds_Fluoride,ScF3,250636.34730654463
ScI3,Scandium Cmpds_Iodide,ScI3,184578.21247630176
Se,Selenium ,Se,27.83901037513819
Sn,"Tin LME, Tin NY",Sn,24.69582847378547
Stone,Stone (Crushed) Average,Al2O5Si,0.014771831856089749
Syenite,Feldspar and Nepheline Syenite Nepheline_syenite,Al2KNaO8Si2 ,0.15243442578909838
Ta2O5,Tantalum Ta2O5,Ta2O5,197.60433313720273
