original_name,Melting Point (°C),Latent Heat (J/g)
KF (55%)/KCl (45%),605,407
LiF (60%)/NaF (40%),652,816
NaF (65%)/CaF2 (23%)/MgF2 (12%),743,568
NaF (64%)/MgF2 (20%)/KF (16%),804,650
NaF (75%)/MgF2 (25%),832,627
KCl(21%)/NaF(17%)K2CO3(62%),520,274
KCl(40%)/KF (23%)/K2CO3(37%),528,283
KCl (45%)/KF (55%),605,407
K2CO3 (50%)/Na2CO3 (50%),710,163
NaF (75%)/MgF2 (50%),832,650
LiF (67%)/MgF2 (33%),746,947
NaF(65%)/CaF2(23%)/MgF2(12%),745,574
LiF(33.4%)/NaF2(49.9%)/MgF2(17.1%),650,860
NaCl (38.5%)/NaBr (23%)/Na2MoO4(38.5%),612,168
CaCl2(38.5%)/CaSO4(11%)/CaMoO4(4%),673,224
