,deltaV,original_name,n_e,materials,SM_type,mat_basis
unit_row,volt,N/U,dimensionless,N/U,N/U,N/U
SM_name,,,,,,
Na/Pb,0.33499999999999996,Na/Pb,1.0,"[('Na', 0.5), ('Pb', 0.5)]",liquid_metal_battery,molar
K/Pb,0.33,K/Pb,1.0,"[('K', 0.5), ('Pb', 0.5)]",liquid_metal_battery,molar
Mg/Pb,0.16999999999999998,Mg/Pb,2.0,"[('Mg', 0.6666666666666666), ('Pb', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Pb,0.595,Ca/Pb,2.0,"[('Ca', 0.6666666666666666), ('Pb', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Pb,0.8400000000000001,Ba/Pb,2.0,"[('Ba', 0.6666666666666666), ('Pb', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Sb,0.92,Li/Sb,1.0,"[('Li', 0.5), ('Sb', 0.5)]",liquid_metal_battery,molar
Na/Sb,0.735,Na/Sb,1.0,"[('Na', 0.5), ('Sb', 0.5)]",liquid_metal_battery,molar
K/Sb,0.775,K/Sb,1.0,"[('K', 0.5), ('Sb', 0.5)]",liquid_metal_battery,molar
Mg/Sb,0.45,Mg/Sb,2.0,"[('Mg', 0.6666666666666666), ('Sb', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Sb,0.99,Ca/Sb,2.0,"[('Ca', 0.6666666666666666), ('Sb', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Sb,1.275,Ba/Sb,2.0,"[('Ba', 0.6666666666666666), ('Sb', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Bi,0.815,Li/Bi,1.0,"[('Li', 0.5), ('Bi', 0.5)]",liquid_metal_battery,molar
Na/Bi,0.605,Na/Bi,1.0,"[('Na', 0.5), ('Bi', 0.5)]",liquid_metal_battery,molar
K/Bi,0.675,K/Bi,1.0,"[('K', 0.5), ('Bi', 0.5)]",liquid_metal_battery,molar
Mg/Bi,0.325,Mg/Bi,2.0,"[('Mg', 0.6666666666666666), ('Bi', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Bi,0.845,Ca/Bi,2.0,"[('Ca', 0.6666666666666666), ('Bi', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Bi,1.135,Ba/Bi,2.0,"[('Ba', 0.6666666666666666), ('Bi', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Te,1.73,Li/Te,1.0,"[('Li', 0.5), ('Te', 0.5)]",liquid_metal_battery,molar
Na/Te,1.595,Na/Te,1.0,"[('Na', 0.5), ('Te', 0.5)]",liquid_metal_battery,molar
K/Te,1.7850000000000001,K/Te,1.0,"[('K', 0.5), ('Te', 0.5)]",liquid_metal_battery,molar
Mg/Te,,Mg/Te,2.0,"[('Mg', 0.6666666666666666), ('Te', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Te,,Ca/Te,2.0,"[('Ca', 0.6666666666666666), ('Te', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Te,,Ba/Te,2.0,"[('Ba', 0.6666666666666666), ('Te', 0.33333333333333337)]",liquid_metal_battery,molar
