original_name,index
"KNO3-NaNO3 [Solar Salt, Draw salt,",Solar Salt
"Partherm 430]
NaNO2-KNO3-NaNO3 [Heat transfer",HITEC
"salt (HTS), HITEC-HTS (Coastal",HITEC XL
Sodium,Na
Mobiltherm 605,Mobiltherm 605
"Therminol VP1
(vapor pressure at 400 °C: 10.9 bar)",Therminol VP1
Sulfur,S
Sunflower oil,Sunflower oil
