source,year
DERA,2022
EIA,2022
USGS,2022
Cavern,
Cryo tank,
Synfuel feedstock,
Alva 2018,2018
Andre 2016,2016
Antunez 2018,2018
Bauer 2012,2012
Bellosta 2019,2019
Bowman 2002,2002
Caraballo 2021,2021
Choi 2015,2015
ETI 2018,2018
Haynes 2014,2014
Huang 2021,2021
Kale 2018,2018
Kim 2013,2013
Lai 2018,2018
Liang 2022,2022
Liu 2016,2016
Li 2017,2017
Lord 2014,2014
Papadias 2021,2021
Ray 2021,2021
Sanchez-diez 2020,2020
Schnell 2020,2020
Southhall 2022,2022
Steinmann 2022,2022
Sterner 2019,2019
Tietze 2016,2016
Various pub,
Weinrich 2019,2019
Alibaba,2022
Cheaptubes,2023
Chemanalyst,
Echemi,
Graphene supermarket,2023
Indiamart,2022
ISE,2019
Kitco,2022
SMM,2022
Various web,
