,0,1,2,3
0,,ρ,,
1,electrode,,m (g cm−3),Tm (°C)
2,"A L
i",,0.51,181
3,Na,,0.93,98
4,K,,0.83,63
5,Rb,,1.46,39
6,Cs,,1.84,28
7,Mg,,1.58,650
8,Ca,,1.38,842
9,Sr,,2.38,777
10,Ba,,3.34,727
11,"B Z
n",,6.57,420
12,Cd,,8.00,321
13,Hg,,13.53,−39
14,Al,,2.38,660
15,Ga,,6.08,30
16,In,,7.02,157
17,Tl,,11.22,304
18,Sn,,6.99,232
19,Pb,,10.66,327
20,Sb,,6.53,631
21,Bi,,10.05,271
22,Te,,5.70,450
