,0,1,2,3,4
0,,unit,Na−Bi,Mg−Sb168,Li−Pb−Sb
1,electrode,mol %,39−61,30−70,45−38−17
2,composition,,,,
3,,,,−,
4,electrolyte,,NaF−NaCl−,MgCl2,LiF−
5,chemistry,,NaI,NaCl−KCl,LiCl−LiI
6,electrolyte,mol %,15:32:53,50:30:20,20:50:30
7,composition,,,,
8,operating,°C,560,700,450
9,temperature,,,,
10,electrode area,cm2,2.1,2.0,1.3
11,interelectrode,cm,1.0,1.0,1.0
12,distance,,,,
13,charge−discharge,A,0.53,0.10,0.34
14,current,,,,
15,theoretical capacity,Ah,1.00,3.2,0.77
16,discharge capacity,Ah,0.77,3.2,0.58
17,Coulombic,%,82,94,98
18,eﬃciency,,,,
19,average discharge,V,0.48,0.35,0.66
20,voltage,,,,
21,voltage eﬃciency,%,59,73,67
22,estimated electrode,$ kWh−1,470,170,62a
23,cost,,,,
24,realized electrode,$ kWh−1,770,230,84
25,cost,,,,
