,0,1,2,3,4,5
0,,unit,Na−Sn22,"K−Hg22,23",Na−Bi37,"Li−T-37,42"
1,electrolyte chemistry,,NaCl−NaI,KOH−KBr−KI,NaF−NaCl−NaI,LiF−LiCl−LiI
2,operating temperature,°C,700,325,580,480
3,electrode area,cm2,1a,11.5,45,10
4,interelectrode distance,cm,,1.5,0.4,0.5
5,charge−discharge current,A,0.7,1.0,30,20
6,theoretical capacity,Ah,,,15,1.55
7,discharge capacity,Ah,,0.2,8.5,1.25
8,coulombic eﬃciency,%,95,90−95,80,90
9,open-circuit voltage,V,0.33−0.43,0.70−0.84,0.55−0.75,1.7−1.8
10,discharge voltage,V,,0.4,0.3,1.3
11,test duration,h,744,,12240,>300
12,organizationb,,GM,GM,ANL,ANL
