index,specific_energy,specific_price,energy_type
Al,0.03879379688301496,3.07,virial_limited
CFRP,0.30023943464366576,31.38,virial_limited
GRE,0.1586396794421666,24.814999999999998,virial_limited
KFRP,0.16588391136801542,27.1,virial_limited
Steel,0.03038897316738247,1.7566666666666666,virial_limited
