index,search_text,must_contain,split_hydrate,original_names
NiCl2,NiCl2,NiCl2,y,NiCl2 6H2O
PPy-AC,,,,PPy-AC
Pb,lead metal,lead metal,,"Lead - Guangdong, Lead - Henan, Lead -Tianjin, SMM Lead, Lead LME, Lead North_American, Pb"
Polysilicon,Polysilicon,Polysilicon,,"Si, Silicon polysilicon"
S,,,,"S, Sulfur, Sulfur Sulfur"
Sand,,,,"Dune Sand, Sand"
Sb,antimony metal,"antimony ",,"Antimony Ingot, Antimony Metal, Sb"
SiO2,SiO2,SiO2,,SiO2
Sn,tin metal Sn,tin metal,,"SMM Tin Ingot, Sn, Tin LME, Tin NY"
Solar Salt,,,,"Molten Salt, Solar Salt"
TEMPO,,,,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-oxyl (4-OH-TEMPO)"
Te,tellurium metal,tellurium metal,,"Te, Tellurium , Tellurium metal"
TiS2,,,,TiS2
Tl,,,,"Thallium Metal, Tl"
V,vanadium metal,vanadium metal,,"Vanadium, Vanadium (V)"
V2O5,V2O5,V2O5,,"Vanadium pentoxide( Flake V2O5>=98%), Vanadium pentoxides"
Vegetable Oil,,,,"Sunflower oil, Vegetable oil"
Water,,,,DI H2O
Zn,zinc metal,zinc metal,,"Zinc , Zinc LME, Zinc-HX, Zinc-Ibis, Zinc-Nanhua, Zinc-Qilin (Guangdong), Zinc-Shuangyan, Zinc-Torch, Zirconium Sponge, Zn"
ZnCl2,ZnCl2,ZnCl2,,ZnCl2
CuSO4,Copper Sulfate CuSO4,CuSO4,y,
"CdSO4 ",CdSO4 cadmium sulphate,cadmium,,
ZnSO4,ZnSO4 zinc sulphate,zinc,y,
NiSO4,NiSO4 nickel sulphate,nickel,,
SrCO3,SrCO3 strontium carbonate,strontium,,
MgCO3,MgCO3 magnesium carbonate,magnesium,,
BaCO3,BaCO3 barium carbonate,barium,,
ZnCO3,ZnCO3 zinc carbonate,zinc,,
PbCO3,PbCO3 lead carbonate,lead,,
"Ca(OH)2 ",Ca(OH)2 calcium hydroxide,calcium,,
Mg(OH)2,Mg(OH)2 magnesium hydroxide,magnesium,,
Ba(OH)2,Ba(OH)2 barium,barium,,
Sr(OH)2,Sr(OH)2,Sr(OH)2,,
Rh2O3,Rh2O3 rhodium oxide,rhodium,,
CuO,Copper Oxide CuO,CuO,,
Li2O,Li2O,Li2O,,
MgO,MgO magnesium oxide,magnesium oxide,,
Cr2O3,Cr2O3 chromium oxide,"Cr2O3, chromium oxide, chromic oxide",,
PtO2,PtO2,PtO2,,
PbO,PbO lead oxide,PbO,,
Sb2O3,Sb2O3 antimony oxide,Sb2O3,,
BaO,1304-28-5,barium oxide,,
CoCl2,7791-13-1,cobalt,y,
CoSO4,CoSO4 cobalt,cobalt,y,
CdCO3,CdCO3 cadmium carbonate,cadmium,,
Mg(NO3)2,Mg(NO3)2 magnesium nitrate,magnesium nitrate,,
Co3O4,Co3O4 cobalt oxide,Co3O4,,
MnSO4,MnSO4 manganese sulphate,MnSO4,y,
Steel,steel,steel,,
HBr,hbr Hydrobromic acid,hbr,,
ZnBr2,ZnBr2,ZnBr2,,
