original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,index_use,pubchem_formula,index
Copper LME,Copper,LME,cents/lb,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year.",309.54,6.824188863670701,Copper,,pubchem_formula,Cu,Cu
Copper US,Copper,US,cents/lb,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year.",316.08000000000004,6.968371183139611,Copper,,pubchem_formula,Cu,Cu
Diamond (Industrial) Bort_Imports,Diamond (Industrial),Bort_Imports,USD/carat,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year.",0.164,820.0,Diamond,,material_name,CH4,Diamond
Diamond (Industrial) Stones_Imports,Diamond (Industrial),Stones_Imports,USD/carat,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year.",8.4,42000.0,Diamond,,material_name,CH4,Diamond
Diatomite ,Diatomite,,USD/ton,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year.",338.0,0.3725812230924431,Diatomite,,material_name,O2Si,Diatomite
Feldspar and Nepheline Syenite Feldspar,Feldspar and Nepheline Syenite,Feldspar,USD/ton,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year.",96.8,0.10670373489748075,Feldspar,,material_name,AlKO8Si3,Feldspar
Feldspar and Nepheline Syenite Nepheline_syenite,Feldspar and Nepheline Syenite,Nepheline_syenite,USD/ton,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year.",125.2,0.13800937612773337,Syenite,,material_name,,Syenite
Fluorspar Acid,Fluorspar,Acid,USD/ton,"Price, average unit value of imports, cost, insurance, and freight, dollars per ton: Acid grade. Data are estimated for the most recent year.",297.4,0.32782738386891297,Fluorspar,,pubchem_formula,CaF2,CaF2
Fluorspar Metallurgical,Fluorspar,Metallurgical,USD/ton,"Price, average unit value of imports, cost, insurance, and freight, dollars per ton: Metallurgical grade. Data are estimated for the most recent year.",219.2,0.24162663935462583,Fluorspar,,pubchem_formula,CaF2,CaF2
Gallium High-purity,Gallium,High-purity,USD/kg,"Price, imports, dollars per kilogram: High-purity, refined. Estimated based on the average unit values of U.S. imports for 99.999%- and 99.99999%-pure gallium. Data are estimated for the most recent year.",544.8,544.8,Gallium,,pubchem_formula,Ga,Ga
Gallium Low-purity,Gallium,Low-purity,USD/kg,"Price, imports, dollars per kilogram: Low-purity, primary. Estimated based on the average unit values of U.S. imports for 99.99%-pure gallium. Data are estimated for the most recent year.",165.0,165.0,Gallium,,pubchem_formula,Ga,Ga
Garnet (Industrial) Import,Garnet (Industrial),Import,USD/ton,"Price: Average import unit value, dollars per ton. Data are estimated for the most recent year.",262.0,0.28880556346218966,Gallium,,pubchem_formula,Ga,Ga
Germanium GeO2,Germanium,GeO2,USD/kg,"Price: Annual average, dollars per kilogram: Germanium dioxide. Average European price for minimum 99.999% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",844.4,844.4,Germanium Dioxide,,pubchem_formula,GeO2,GeO2
