original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,index_use,pubchem_formula,index
Scandium Mtl_Dendritic,Scandium,Mtl_Dendritic,USD/g,"Price, yearend: Metal: Scandium, distilled dendritic, 2-gram lot size, dollars per gram. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",231.2,231200.0,Scandium,,pubchem_formula,Sc,Sc
Scandium Mtl_Ingot,Scandium,Mtl_Ingot,USD/g,"Price, yearend: Metal: Scandium, ingot, 5-gram lot size, dollars per gram. Source: Alfa Aesar, a part of Thermo Fisher Scientific Inc. Data are estimated for the most recent year.",133.8,133800.0,Scandium,,pubchem_formula,Sc,Sc
Selenium ,Selenium,,USD/lb,"Price: Average, dollars per pound. Selenium metal powder, free on board, U.S. warehouse, minimum 99.5% purity. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",11.232000000000001,24.762321288605452,Selenium,,pubchem_formula,Se,Se
Silicon FeSi2_50,Silicon,FeSi2_50,cents/lb,"Price, average, cents per pound of silicon: Ferrosilicon, 50% Si. Source: CRU Group, transaction prices based on weekly averages.",102.88799999999999,2.268292123167768,Ferrosilicon,,pubchem_formula,FeSi2,FeSi2
Silicon FeSi2_75,Silicon,FeSi2_75,cents/lb,"Price, average, cents per pound of silicon: Ferrosilicon, 75% Si. Source: S&P Global Platts Metals Week, mean import prices based on monthly averages.",102.202,2.253168411981886,Ferrosilicon,,pubchem_formula,FeSi2,FeSi2
Silicon Si,Silicon,Si,cents/lb,"Price, average, cents per pound of silicon: Silicon metal, metallurgical grade. 5Source: S&P Global Platts Metals Week, mean import prices based on monthly averages.",118.65,2.6157847408235724,Metallurgical Silicon,,material_name,,Metallurgical Silicon
Silver Bullion,Silver,Bullion,USD/toz,"Price: Bullion, average, dollars per troy ounce. Engelhard’s industrial bullion quotations. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",18.926,608.4850295578531,Silver,,pubchem_formula,Ag,Ag
Soda Ash ,Soda Ash,,USD/ton,"Price, average sales value (natural source), free on board (f.o.b.) mine or plant: Dollars per metric ton. Data are estimated for the most recent year.",142.85999999999999,0.15747619387865805,Soda Ash,,pubchem_formula,CNa2O3,CNa2O3
Stone (Crushed) Average,Stone (Crushed),Average,USD/ton,"Price: Average value, dollars per metric ton. Data are estimated for the most recent year.",12.036,0.013267418938285933,Stone,,material_name,,Stone
Strontium ,Strontium,,USD/ton,"Price: Average value of celestite imports at port of exportation, dollars per ton. Data are estimated for the most recent year.",81.0,0.08928721618487542,Celestite,,material_name,,Celestite
Sulfur Sulfur,Sulfur,Sulfur,USD/ton,"Price: Reported average value, free on board, mine and (or) plant, dollars per ton of elemental sulfur. Data are estimated for the most recent year.",58.620000000000005,0.06461748904638763,Sulfur,S,molecular_formula,H2S,S
Talc and Pyrophyllite  ,Talc and Pyrophyllite ,,USD/ton,"Price: Average, milled, dollars per metric ton. Average ex-works unit value of milled talc sold by U.S. producers, based on data reported by companies. Data are estimated for the most recent year.",243.2,0.26808211081681116,Talc,,material_name,H2Mg3O12Si4,Talc
Tantalum Ta2O5,Tantalum,Ta2O5,USD/kg,"Price: Tantalite, dollars per kilogram of Ta2O5 content. Price is annual average price reported by CRU Group. The estimate for 2021 includes data available through October 2021.",176.8,176.8,Tantalum Pentoxide,,pubchem_formula,O5Ta2,O5Ta2
Tellurium ,Tellurium,,USD/kg,"Price, dollars per kilogram. Average annual price for 99.95% tellurium, in warehouse, Rotterdam. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",59.2,59.2,Tellurium,,pubchem_formula,Te,Te
Thallium Metal,Thallium,Metal,USD/kg,Estimated price of 99.99%-pure granules in 100-gram lots.,8066.666666666667,8066.666666666667,Thallium,,pubchem_formula,Tl,Tl
Thorium ,Thorium,,USD/kg,"Price: Average value, compounds, India, dollars per kilogram. Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",72.33333333333333,72.33333333333333,Thorium,,pubchem_formula,Th,Th
Tin LME,Tin,LME,cents/lb,"Price: Average, cents per pound: London Metal Exchange (LME), cash. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",989.6,21.816945465815486,Tin,,pubchem_formula,Sn,Sn
Tin NY,Tin,NY,cents/lb,"Price: Average, cents per pound: New York dealer. Source: S&P Global Platts Metals Week. Data are estimated for the most recent year.",1028.0,22.663520552605416,Tin,,pubchem_formula,Sn,Sn
Titanium Mineral Concentrates Ilmenite,Titanium Mineral Concentrates,Ilmenite,USD/ton,"Price, dollars per metric ton: Ilmenite, average value of imports. Landed duty-paid unit value based on U.S. imports for consumption. Source: U.S. Census Bureau. Data are estimated for the most recent year.",206.6,0.22773751683697854,Ilmenite,,pubchem_formula,FeH6O3Ti,FeH6O3Ti
Titanium Mineral Concentrates Ilmente_Leucoxene,Titanium Mineral Concentrates,Ilmente_Leucoxene,USD/ton,"Price, dollars per metric ton: Ilmenite and leucoxene, bulk, f.o.b. Australia. Zen Innovations AG, Global Trade Tracker. Data are estimated for the most recent year.",483.4,0.5328572877008491,Ilmenite,,pubchem_formula,FeH6O3Ti,FeH6O3Ti
Titanium Mineral Concentrates Rutile,Titanium Mineral Concentrates,Rutile,USD/ton,"Price, dollars per metric ton: Rutile, bulk, minimum 95% TiO2, free on board (f.o.b.) Australia. Source: Fast Markets IM; average of yearend price. Data are estimated for the most recent year.",1113.0,1.2268724890588438,Titanium Dioxide,,pubchem_formula,O2Ti,O2Ti
Titanium Mineral Concentrates Slag,Titanium Mineral Concentrates,Slag,USD/ton,"Price, dollars per metric ton: Slag, 80%–95% TiO2, average value of imports. Landed duty-paid unit value based on U.S. imports for consumption. Source: U.S. Census Bureau. Data are estimated for the most recent year.",740.2,0.815930832346232,Titanium Dioxide,,pubchem_formula,O2Ti,O2Ti
Titanium and Titanium Dioxide Dioxide,Titanium and Titanium Dioxide,Dioxide,USD/ton,"Titanium dioxide pigment: Price, dollars per metric ton. Landed duty-paid value based on U.S. imports for consumption. Data are estimated for the most recent year.",2732.0,3.011514501445428,Titanium Dioxide,,pubchem_formula,O2Ti,O2Ti
Titanium and Titanium Dioxide Sponge,Titanium and Titanium Dioxide,Sponge,USD/kg,"Titanium sponge metal: Price, dollars per kilogram. Landed duty-paid value based on U.S. imports for consumption. Data are estimated for the most recent year.",11.26,11.26,Titanium,,pubchem_formula,Ti,Ti
Tungsten WO3,Tungsten,WO3,USD/ton,"Price, concentrate: Average U.S. spot market, dollars per metric ton unit of tungsten trioxide. A metric ton unit of tungsten trioxide contains 7.93 kilograms of tungsten.",276.2,0.30445838407731596,Tungsten Trioxide,,pubchem_formula,O3W,O3W
Yttrium Metal,Yttrium,Metal,USD/kg,"Price: Yttrium metal, minimum 99.9% purity, average, dollars per kilogram. Free on board China. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",35.4,35.4,Yttrium,,pubchem_formula,Y,Y
Yttrium Y2O3,Yttrium,Y2O3,USD/kg,"Price: Yttrium oxide, minimum 99.999% purity, average, dollars per kilogram. Free on board China. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",3.4,3.4,Yttrium Oxide,,pubchem_formula,O3Y2,O3Y2
Zinc ,Zinc,,cents/lb,"Price, average, cents per pound: North American. Source: S&P Global Platts Metals Week, North American Special High Grade (SHG) zinc; based on the LME cash price plus premium. Data are estimated for the most recent year.",132.04000000000002,2.910983709889124,Zinc,,pubchem_formula,Zn,Zn
Zinc LME,Zinc,LME,cents/lb,"Price, average, cents per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year.",123.64000000000001,2.7257954096538266,Zinc,,pubchem_formula,Zn,Zn
Zirconium and Hafnium Hf_unwrought,Zirconium and Hafnium,Hf_unwrought,USD/ton,"Price: Hafnium, unwrought, dollars per kilogram. Source: Argus Media group—Argus Metals International, average of yearend price. Data are estimated for the most recent year.",820.0,0.9038952749579982,Hafnium,,pubchem_formula,Hf,Hf
Zirconium and Hafnium Zircon_AU,Zirconium and Hafnium,Zircon_AU,USD/ton,"Price: Zircon, dollars per metric ton (gross weight): Australia, free on board. Source: Industrial Minerals, average of yearend price. Prices of zircon from Australia were discontinued at yearend 2017. Data are estimated for the most recent year.",975.0,1.0747535281512783,Zirconium Silicate,,pubchem_formula,O4SiZr,O4SiZr
Zirconium and Hafnium Zircon_CN,Zirconium and Hafnium,Zircon_CN,USD/ton,"Price: Zircon, dollars per metric ton (gross weight): China, cost, insurance, and freight. Source: Argus Media group—Argus Metals International, average of yearend price. Data are estimated for the most recent year.",1540.0,1.6975594188235574,Zirconium Silicate,,pubchem_formula,O4SiZr,O4SiZr
Zirconium and Hafnium Zircon_import,Zirconium and Hafnium,Zircon_import,USD/kg,"Price: Zircon, dollars per metric ton (gross weight):  Imported. Unit value based on annual United States imports for consumption from Australia, Senegal, and South Africa. Data are estimated for the most recent year.",1283.2,1283.2,Zirconium Silicate,,pubchem_formula,O4SiZr,O4SiZr
Zirconium and Hafnium Zr_CN,Zirconium and Hafnium,Zr_CN,USD/kg,"Price: Zirconium, unwrought, imports, China, dollars per kilogram. Unit value based on annual United States imports for consumption from China. Data are estimated for the most recent year.",10.6,10.6,Zirconium,,pubchem_formula,Zr,Zr
