,Commodity,price_info,full_name,price,price_units,Year,price_desc
35,Bauxite and Alumina,Bauxite,Bauxite and Alumina Bauxite,31,dt,2017,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
36,Bauxite and Alumina,Bauxite,Bauxite and Alumina Bauxite,31,dt,2018,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
37,Bauxite and Alumina,Bauxite,Bauxite and Alumina Bauxite,32,dt,2019,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
38,Bauxite and Alumina,Bauxite,Bauxite and Alumina Bauxite,26,dt,2020,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
39,Bauxite and Alumina,Bauxite,Bauxite and Alumina Bauxite,32,dt,2021,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
40,Bauxite and Alumina,Alumina,Bauxite and Alumina Alumina,486,dt,2017,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
41,Bauxite and Alumina,Alumina,Bauxite and Alumina Alumina,592,dt,2018,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
42,Bauxite and Alumina,Alumina,Bauxite and Alumina Alumina,480,dt,2019,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
43,Bauxite and Alumina,Alumina,Bauxite and Alumina Alumina,412,dt,2020,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
44,Bauxite and Alumina,Alumina,Bauxite and Alumina Alumina,450,dt,2021,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
45,Beryllium,Alloy,Beryllium Alloy,640,dkg,2017,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
46,Beryllium,Alloy,Beryllium Alloy,590,dkg,2018,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
47,Beryllium,Alloy,Beryllium Alloy,620,dkg,2019,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
48,Beryllium,Alloy,Beryllium Alloy,620,dkg,2020,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
49,Beryllium,Alloy,Beryllium Alloy,610,dkg,2021,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
50,Bismuth,,Bismuth ,4.94,dlb,2017,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
