index,original_name,molecular_formula,specific_price
FeH6O3Ti,"Titanium Mineral Concentrates Ilmenite, Titanium Mineral Concentrates Ilmente_Leucoxene",FeH6O3Ti,0.3802974022689138
FeSi2,"Silicon FeSi2_50, Silicon FeSi2_75",FeSi2,2.260730267574827
Feldspar,Feldspar and Nepheline Syenite Feldspar,AlKO8Si3,0.10670373489748075
Ga,"Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import",Ga,236.69626852115405
Ge,Germanium Metal,Ge,1221.4
GeO2,Germanium GeO2,GeO2,844.4
Graphite,"Graphite (Natural) Amorphous, Graphite (Natural) Flake, Graphite (Natural) Lump",C6,1.601658334773136
Gravel,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) ",C15H21NO,0.029180385022790398
H2S,Sulfur Sulfur,H2S,0.06461748904638763
H3N,Nitrogen (Fixed)--Ammonia ,H3N,0.32915015744202225
Hf,Zirconium and Hafnium Hf_unwrought,Hf,0.9038952749579982
Hg,"Mercury EU, Mercury Global",Hg,47.111014408664545
I2,Iodine Crude_CIF,I2,26.392000000000003
I3Sc,Scandium Cmpds_Iodide,I3Sc,165400.0
In,"Indium FOB, Indium NY, Indium Rotterdam",In,265.9166666666667
Ir,Platinum-Group Metals Iridium,Ir,2.3635604805257198
Iron Ore,Iron Ore ,Fe2O3,0.0991529024176487
Iron Oxide Pigment,Iron Oxide Pigments ,Fe2O3,1.03
K2O,Potash All,K2O,0.9193276333109396
La2O3,Rare Earths La2O3,La2O3,2.0
Metallurgical Silicon,Silicon Si,Si,2.6157847408235724
Mg,"Magnesium Metal European, Magnesium Metal US_spot",Mg,1.6702441445388512
Mischmetal,Rare Earths Mischmetal,C3CeH8LaNd,5.8
Mn,Manganese CN_CIF,Mn,0.006294197585378255
Mo,Molybdenum ,Mo,25.5
Nb,Niobium (Columbium) ,Nb,21.0
Nd2O3,Rare Earths Nd2O3,Nd2O3,48.6
Ni,Nickel ,Ni,7.630587238493453
O2Ti,"Titanium Mineral Concentrates Rutile, Titanium Mineral Concentrates Slag, Titanium and Titanium Dioxide Dioxide",O2Ti,1.6847726076168346
O3Sc2,Scandium Cmpds_Oxide,O3Sc2,3819.9999999999995
O3W,Tungsten WO3,O3W,0.30445838407731596
O3Y2,Yttrium Y2O3,O3Y2,3.4
O4SiZr,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_CN, Zirconium and Hafnium Zircon_import",O4SiZr,428.6574376489916
O5Ta2,Tantalum Ta2O5,O5Ta2,176.8
