index,specific_price,keep,title,link,search_text
MnO2,0.325,y,Manganese Dioxide,https://www.indiamart.com/proddetail/manganese-dioxide-25520365391.html?pos=5&kwd=mno2 manganese dioxide&tags=A||||8132.985|Price|proxy,mno2 manganese dioxide
MnSO4,0.8059999999999999,y,Manganese Sulphate Powder,https://www.indiamart.com/proddetail/manganese-sulphate-powder-23063999462.html?pos=4&kwd=mnso4 manganese sulphate&tags=A||||7793.3647|Price|proxy,MnSO4 manganese sulphate
MnSO4,0.52,y,"Manganese Sulphate MnSO4.H2O, 25 kg bag",https://www.indiamart.com/proddetail/manganese-sulphate-mnso4-h2o-24203559333.html?pos=5&kwd=mnso4 manganese sulphate&tags=A||||7613.566|Price|product,MnSO4 manganese sulphate
MnSO4,0.38999999999999996,y,Manganese Sulphate,https://www.indiamart.com/proddetail/manganese-sulphate-2582692273.html?pos=6&kwd=mnso4 manganese sulphate&tags=||||7533.29|Price|proxy,MnSO4 manganese sulphate
MoS2,32.5,y,Technical Grade Molybdenum Disulfide Powder,https://www.indiamart.com/proddetail/molybdenum-disulfide-16520592997.html?pos=7&kwd=mos2 molybdenum disulfide&tags=A||||7546.6187|Price|proxy,mos2 molybdenum disulfide
MoS2,41.6,y,Molygraph Molybdenum Disulphide Powder AS-1000 (MOS2) AS-2000,https://www.indiamart.com/proddetail/molygraph-molybdenum-disulphide-powder-as-1000-mos2-as-2000-20972725473.html?pos=4&kwd=mos2 molybdenum disulfide&tags=A||||8132.985|Price|product,mos2 molybdenum disulfide
Mobiltherm 605,2.406456,y,Mobiltherm 605,https://www.indiamart.com/proddetail/mobiltherm-605-20657355491.html?pos=3&kwd=mobiltherm%20605&tags=A||||8038.904|Price|product,Mobiltherm 605
Na,3.25,y,Sodium Metal,https://www.indiamart.com/proddetail/sodium-metal-23188116873.html?pos=4&kwd=sodium metal&tags=||||8041.2256|Price|product,sodium metal
Na2CO3,0.5589999999999999,y,"Corrosion Inhibitor Soda Ash Na2co3 Sodium carbonate, For Laboratory",https://www.indiamart.com/proddetail/soda-ash-na2co3-sodium-carbonate-24549576573.html?pos=6&kwd=na2co3 sodium carbonate&tags=A||||8190.9683|Price|product,na2co3 sodium carbonate
Na2CO3,0.325,y,Sodium Carbonate,https://www.indiamart.com/proddetail/sodium-carbonate-2489241030.html?pos=5&kwd=na2co3 sodium carbonate&tags=A||||7533.29|Price|proxy,na2co3 sodium carbonate
Na2CO3,0.52,y,Soda Ash Na2co3 Sodium Bicarbonate Nahco3,https://www.indiamart.com/proddetail/soda-ash-na2co3-sodium-bicarbonate-nahco3-26170515433.html?pos=7&kwd=na2co3 sodium carbonate&tags=A||||8227.221|Price|proxy,na2co3 sodium carbonate
Na2SO4,0.104,y,"Na2SO4 Sodium Sulphate, Packaging Type: Hdpe Bag,Jumbo Bag, Packaging Size: 50 Kg,Also Available 1250 Kg",https://www.indiamart.com/proddetail/na2so4-sodium-sulphate-4198942491.html?pos=4&kwd=na2so4 sodium sulphate&tags=A||||7613.566|Price|product,na2so4 sodum sulphate
Na2SO4,0.078,y,"White Sodium Sulphate Na2SO4, 50 kg, Powder",https://www.indiamart.com/proddetail/sodium-sulphate-na2so4-23282858130.html?pos=5&kwd=na2so4 sodium sulphate&tags=A||||7613.566|Price|proxy,na2so4 sodum sulphate
NaBr,3.25,y,"Powder Sodium Bromide, 0.98% - 0.99%, Packaging Size: 50 Kgs",https://www.indiamart.com/proddetail/sodium-bromide-4855306433.html?pos=4&kwd=nabr sodium bromide&tags=A||||7533.29|Price|proxy,nabr sodium bromide
NaCl,0.028599999999999997,y,Sodium Chloride - NaCl,https://www.indiamart.com/proddetail/sodium-chloride-nacl-21773865730.html?pos=7&kwd=sodium chloride nacl&tags=A||||7867.1333|Price|proxy|type=attr=1|attrMtch=1,sodium cloride nacl
NaF,3.965,y,Powder Sodium Fluoride,https://www.indiamart.com/proddetail/sodium-fluoride-24734850312.html?pos=4&kwd=naf sodium fluoride&tags=A||||7650.5557|Price|proxy,naf sodium fluoride
NaF,0.845,y,Sodium Fluoride Powder,https://www.indiamart.com/proddetail/sodium-fluoride-powder-22457223233.html?pos=7&kwd=naf sodium fluoride&tags=A||||7533.29|Price|proxy,naf sodium fluoride
NaNO3,0.975,y,Sodium Nitrate,https://www.indiamart.com/proddetail/sodium-nitrate-21481989691.html?pos=7&kwd=nano3 sodium nitrate&tags=A||||7650.5557|Price|proxy,nano3 sodium nitrate
NaNO3,0.364,y,"Shiv Chemicals White Sodium Nitrate Powder, Grade Standard: Technical, Packaging Type: Hdpe Bag",https://www.indiamart.com/proddetail/sodium-nitrate-powder-20452995773.html?pos=6&kwd=nano3 sodium nitrate&tags=A||||7589.9697|Price|proxy,nano3 sodium nitrate
NaNO3,1.378,y,"Sodium Nitrate, >99%, 50 Kg Bag",https://www.indiamart.com/proddetail/sodium-nitrate-26206518633.html?pos=4&kwd=nano3 sodium nitrate&tags=A||||7611.643|Price|proxy,nano3 sodium nitrate
NaNO3,1.2349999999999999,y,Sodium Nitrate Nano3,https://www.indiamart.com/proddetail/sodium-nitrate-nano3-22964677530.html?pos=5&kwd=nano3 sodium nitrate&tags=A||||7584.552|Price|product,nano3 sodium nitrate
NaOH,0.728,y,"Caustic Soda Lye, LOOSE, 48-50",https://www.indiamart.com/proddetail/caustic-soda-lye-23438335433.html?pos=5&kwd=naoh sodium hydroxide&tags=A||||7440.6797|Price|proxy,naoh sodium hydroxide
NaOH,0.299,y,"Caustic Soda Lye Chemicals, 1310-73-2",https://www.indiamart.com/proddetail/caustic-soda-lye-chemicals-23989049655.html?pos=6&kwd=naoh sodium hydroxide&tags=A||||7614.3447|Price|proxy,naoh sodium hydroxide
NaOH,0.741,y,"DCM Shriram White Caustic Soda Flakes, 50 Kg Bag, Packaging Type: Sack",https://www.indiamart.com/proddetail/caustic-soda-flakes-19792445112.html?pos=7&kwd=naoh sodium hydroxide&tags=A||||8227.221|Price|proxy,naoh sodium hydroxide
NiCl2,8.45,y,Nickel Chloride,https://www.indiamart.com/proddetail/nickel-chloride-24161573412.html?pos=4&kwd=nicl 2 nickel chloride&tags=||||7440.6797|Price|product,nicl2 nickel chloride
NiCl2,7.93,y,"Green Nickel Chloride, For Metal Industry, Paint",https://www.indiamart.com/proddetail/green-nickel-chloride-26128191297.html?pos=5&kwd=nicl 2 nickel chloride&tags=||||7423.2134|Price|product,nicl2 nickel chloride
NiCl2,6.63,y,"Electroplating Grade Nickel Chloride, Packaging Type: Loose",https://www.indiamart.com/proddetail/electroplating-grade-nickel-chloride-26756310633.html?pos=7&kwd=nicl 2 nickel chloride&tags=||||7357.3213|Price|product,nicl2 nickel chloride
NiSO4,5.395,y,Nickel Sulphate For Electroplating,https://www.indiamart.com/proddetail/nickel-sulphate-for-electroplating-21018300562.html?pos=6&kwd=niso 4 nickel sulphate&tags=A||||7613.566|Price|proxy,NiSO4 nickel sulphate
NiSO4,7.1499999999999995,y,Nickel Sulphate,https://www.indiamart.com/proddetail/nickel-sulphate-23119949973.html?pos=5&kwd=niso 4 nickel sulphate&tags=A||||7533.29|Price|proxy,NiSO4 nickel sulphate
NiSO4,5.785,y,Nickel Sulphate Crystal,https://www.indiamart.com/proddetail/nickel-sulphate-crystal-21986243688.html?pos=4&kwd=niso 4 nickel sulphate&tags=A||||7668.682|Price|proxy,NiSO4 nickel sulphate
Pb,2.6,y,"Lead Ingots, For Chemical",https://www.indiamart.com/proddetail/lead-ingots-26537356712.html?pos=4&kwd=lead metal&tags=A||||8227.221|Price|proxy|type=attr=1|attrMtch=1,lead metal
Pb,3.25,y,"Pure Lead Refined Lead Ingots, For Industrial",https://www.indiamart.com/proddetail/pure-lead-refined-lead-ingots-25383017091.html?pos=7&kwd=lead metal&tags=A||||9120.144|Price|proxy|type=attr=1|attrMtch=1,lead metal
S,3.25,y,"Sulphur 80 WDG Contact Fungicide, Packet, 3kg",https://www.indiamart.com/proddetail/sulphur-80-wdg-contact-fungicide-23527815388.html?pos=7&kwd=sulphur sulfur&tags=A||||8256.8125|Price|proxy,sulphur sulfur
S,0.46799999999999997,y,"Sulphur 85% DP Fungicides, For Agricullture",https://www.indiamart.com/proddetail/sulphur-85-dp-fungicides-20823017912.html?pos=6&kwd=sulphur sulfur&tags=A||||7613.566|Price|proxy,sulphur sulfur
S,0.325,y,Sulphur,https://www.indiamart.com/proddetail/sulphur-11571337873.html?pos=5&kwd=sulphur sulfur&tags=A||||7533.29|Price|proxy,sulphur sulfur
Sand,0.0299,y,"Brown River Sand, For Construction",https://www.indiamart.com/proddetail/river-sand-20814791055.html?pos=7&kwd=sand&tags=A||||7533.29|Price|proxy,Sand
Sb,6.5,y,Antimony Ingot,https://www.indiamart.com/proddetail/antimony-ingot-15323156948.html?pos=4&kwd=antimony metal&tags=A||||7533.29|Price|product,antimony metal
Sb,15.86,y,"Antimony Ingot, 18-20 Kg",https://www.indiamart.com/proddetail/antimony-ingot-23052568873.html?pos=6&kwd=antimony metal&tags=A||||8227.221|Price|proxy,antimony metal
Sb2O3,8.45,y,"Powder Antimony Trioxide, For Industrial",https://www.indiamart.com/proddetail/antimony-trioxide-3935091462.html?pos=7&kwd=sb2o3 antimony oxide&tags=||||8227.221|Price|product,Sb2O3 antimony oxide
Sb2O3,13.26,y,Antimony Trioxide,https://www.indiamart.com/proddetail/antimony-trioxide-22113511755.html?pos=6&kwd=sb2o3 antimony oxide&tags=||||7533.29|Price|product,Sb2O3 antimony oxide
Sb2O3,14.299999999999999,y,Antimony Trioxide Sb2o3,https://www.indiamart.com/proddetail/antimony-trioxide-sb2o3-22826949991.html?pos=4&kwd=sb2o3 antimony oxide&tags=||||7613.566|Price|product,Sb2O3 antimony oxide
SiO2,1.2349999999999999,y,"Silica Powder, Sio2, Packaging Size: 20 kg",https://www.indiamart.com/proddetail/silica-powder-26736180112.html?pos=7&kwd=sio2 silica&tags=A||||8258.9375|Price|product,sio2 silica
SiO2,0.058499999999999996,y,"Silica Powder, Packaging Size: 25-50 Kg",https://www.indiamart.com/proddetail/silica-powder-22167741162.html?pos=6&kwd=sio2 silica&tags=A||||7693.81|Price|proxy,sio2 silica
Sn,22.099999999999998,y,"Tin Ingot, 5 Kg Each",https://www.indiamart.com/proddetail/tin-ingot-22600170555.html?pos=6&kwd=tin metal sn&tags=A||||7650.5557|Price|proxy,tin metal Sn
Sn,23.387,y,"Tin Ingot Ds, 28, Grade: 99.99",https://www.indiamart.com/proddetail/tin-ingot-ds-27159938491.html?pos=7&kwd=tin metal sn&tags=A||||8227.221|Price|proxy,tin metal Sn
SrCO3,4.68,y,"Solid Strontium Carbonate, Packaging: 25/50 kg",https://www.indiamart.com/proddetail/strontium-carbonate-19415894591.html?pos=4&kwd=srco3 strontium carbonate&tags=||||7533.29|Price|product|type=attr=1|attrMtch=1,SrCO3 strontium carbonate
Steel,7.1499999999999995,y,Stainless Steel,https://www.indiamart.com/proddetail/stainless-steel-16692639697.html?pos=6&kwd=stainless steel&tags=A||||7533.29|Price|proxy|type=attr=1,stainless steel
Steel,5.2,y,Royal Polished Stainless Steel 304 for Construction,https://www.indiamart.com/proddetail/stainless-steel-304-22191792048.html?pos=4&kwd=stainless steel&tags=A||||8132.985|Price|proxy|type=attr=1,stainless steel
V,46.8,y,Vanadium Metal,https://www.indiamart.com/proddetail/vanadium-metal-15564131962.html?pos=4&kwd=vanadium metal&tags=||||7533.29|Price|product,vanadium metal
V,4.875,y,Lumps Vanadium Metal Scrap,https://www.indiamart.com/proddetail/vanadium-metal-scrap-17173225973.html?pos=7&kwd=vanadium metal&tags=||||7533.29|Price|product,vanadium metal
V2O5,16.9,y,"Vanadium Oxide Powder, Packaging Size: 5 Kg,25 Kg, Packaging Type: Hdpe Bags",https://www.indiamart.com/proddetail/vanadium-oxide-powder-21148382912.html?pos=5&kwd=v2o5&tags=||||8571.766|Price|product,V2O5
Zn,3.796,y,Zinc Metal Shg,https://www.indiamart.com/proddetail/zinc-metal-shg-23750004930.html?pos=7&kwd=zinc metal&tags=A||||7533.29|Price|proxy,zinc metal
Zn,4.55,y,"Zinc Ingot, 45 Kgs",https://www.indiamart.com/proddetail/zinc-ingot-13946284962.html?pos=4&kwd=zinc metal&tags=A||||7533.29|Price|proxy,zinc metal
ZnBr2,2.6,y,"Crystals A.B Enterprises Zinc Bromide, Packaging Size: 25/50kg, Packaging Type: Bag",https://www.indiamart.com/proddetail/zinc-bromide-19415910955.html?pos=5&kwd=znbr2 zinc bromide&tags=||||7533.29|Price|product,znbr2 zinc bromide
ZnCO3,2.08,y,"ZnCO3 Zinc Carbonate Chemical Powder, Grade Standard: Technical Grade",https://www.indiamart.com/proddetail/zinc-carbonate-chemical-powder-25457686973.html?pos=5&kwd=znco3 zinc carbonate&tags=||||7671.247|Price|product,ZnCO3 zinc carbonate
ZnCO3,1.95,y,ZNCO3 Znic Carbonate,https://www.indiamart.com/proddetail/znic-carbonate-26137222555.html?pos=7&kwd=znco3 zinc carbonate&tags=A||||7566.4565|Price|product,ZnCO3 zinc carbonate
ZnCO3,2.015,y,"Znco3 Or Co3zn White Zinc Carbonate Powder, 50 kg bag",https://www.indiamart.com/proddetail/white-zinc-carbonate-powder-26900824797.html?pos=6&kwd=znco3 zinc carbonate&tags=||||8227.221|Price|product,ZnCO3 zinc carbonate
ZnCO3,3.25,y,ZnCO3 Zinc Carbonate Powder,https://www.indiamart.com/proddetail/zinc-carbonate-powder-22983104612.html?pos=4&kwd=znco3 zinc carbonate&tags=||||9024.088|Price|product,ZnCO3 zinc carbonate
ZnCl2,1.2349999999999999,y,"Powder Zinc Chloride, for Industrial, 25kg",https://www.indiamart.com/proddetail/zinc-chloride-10897811197.html?pos=6&kwd=zncl 2 zinc chloride&tags=A||||7613.566|Price|product,zncl2 zinc chloride
ZnCl2,1.716,y,"White Zinc Chloride Powder (Technical And Anhydrous Grade), Packaging Type: Bag, Packaging Size: 50 kg",https://www.indiamart.com/proddetail/zinc-chloride-powder-technical-and-anhydrous-grade-4175457812.html?pos=5&kwd=zncl 2 zinc chloride&tags=A||||7650.5557|Price|proxy,zncl2 zinc chloride
ZnCl2,0.832,y,Industrial Grade Zinc Chloride,https://www.indiamart.com/proddetail/industrial-grade-zinc-chloride-20957118691.html?pos=4&kwd=zncl 2 zinc chloride&tags=A||||8457.428|Price|proxy,zncl2 zinc chloride
ZnCl2,1.43,y,"Zinc Chloride Powder Anhydrous, Chemical Formula: ZnCl2",https://www.indiamart.com/proddetail/zinc-chloride-powder-anhydrous-20990965855.html?pos=7&kwd=zncl 2 zinc chloride&tags=A||||7533.29|Price|proxy,zncl2 zinc chloride
ZnI2,1.43,y,"Powder Zinc Iodide, For Laboratory, 25 KG",https://www.indiamart.com/proddetail/zinc-iodide-4094534591.html?pos=6&kwd=zni2 zinc iodide&tags=CC||||7533.29|Price|product,zni2 zinc iodide
ZnI2,42.9,y,Zinc Iodide,https://www.indiamart.com/proddetail/zinc-iodide-11241892988.html?pos=7&kwd=zni2 zinc iodide&tags=CC||||7533.29|Price|product,zni2 zinc iodide
ZnSO4,0.9099999999999999,y,"Monohydrate Zinc Sulphate , Packaging Size: 50 kg",https://www.indiamart.com/proddetail/zinc-sulphate-monohydrate-18781935748.html?pos=7&kwd=znso4 zinc sulphate&tags=A||||7613.566|Price|product,ZnSO4 zinc sulphate
