index,specific_price,keep,title,link,search_text
Ca(OH)2 ,0.091,y,"Hydrated Lime Powder (Calcium Hydroxide), Chemical Formula: Ca(OH)2",https://www.indiamart.com/proddetail/hydrated-lime-powder-calcium-hydroxide-20999761573.html?pos=5&kwd=ca oh 2 calcium hydroxide&tags=A||||7533.29|Price|product|type=attr=1|attrMtch=1,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.0325,y,"Calcium Hydroxide Hydrated Lime, Powder",https://www.indiamart.com/proddetail/calcium-hydroxide-hydrated-lime-22930823348.html?pos=4&kwd=ca oh 2 calcium hydroxide&tags=A||||7759.531|Price|proxy|type=attr=1|attrMtch=1,Ca(OH)2 calcium hydroxide
CaCO3,0.19499999999999998,y,"TIRUMALA INORGANICS Natural Calcium Carbonate BP/USP, Powder, Pure",https://www.indiamart.com/proddetail/natural-calcium-carbonate-bp-usp-23055193097.html?pos=4&kwd=caco3 calcium carbonate&tags=A||||8077.9775|Price|proxy,caco3 calcium carbonate
CaCO3,0.2054,y,Indocal CT-707 Activated Calcium Carbonate,https://www.indiamart.com/proddetail/indocal-ct-707-activated-calcium-carbonate-15143523988.html?pos=6&kwd=caco3 calcium carbonate&tags=A||||8227.221|Price|proxy,caco3 calcium carbonate
CaCl2,0.09749999999999999,y,"Calcium Chloride Powder, 50 KG PP Bags, Grade Standard: Industrial Grade",https://www.indiamart.com/proddetail/calcium-chloride-powder-3669163455.html?pos=7&kwd=cacl2 calcium chloride&tags=A||||8227.221|Price|proxy,cacl2 calcium chloride
CaCl2,0.104,y,"AJ GROUP Calcium Chloride, Powder, CaCl2",https://www.indiamart.com/proddetail/calcium-chloride-22416930962.html?pos=5&kwd=cacl2 calcium chloride&tags=A||||9120.144|Price|proxy,cacl2 calcium chloride
CaCl2,0.065,y,Calcium chloride powder,https://www.indiamart.com/proddetail/calcium-chloride-powder-26206682248.html?pos=4&kwd=cacl2 calcium chloride&tags=A||||7611.643|Price|proxy,cacl2 calcium chloride
CaF2,2.86,y,Calcium Fluoride Caf2,https://www.indiamart.com/proddetail/calcium-fluoride-caf2-12987638455.html?pos=5&kwd=caf2&tags=A||||7615.065|Price|product,CaF2
CaSO4,0.845,y,White Powder Calcium Sulphate Dihydrate LR,https://www.indiamart.com/proddetail/calcium-sulphate-dihydrate-lr-5754988488.html?pos=4&kwd=caso4 calcium sulphate&tags=A||||7705.801|Price|proxy,caso4 calcium sulphate
CaSO4,0.45499999999999996,y,"Powder Calcium Sulphate Hemihydrate, Packaging Type: Pouch, Packaging Size: 25 Kg",https://www.indiamart.com/proddetail/calcium-sulphate-hemihydrate-16297458097.html?pos=7&kwd=caso4 calcium sulphate&tags=A||||7759.531|Price|proxy,caso4 calcium sulphate
Cd,4.55,y,Cadmium Metal Ingots,https://www.indiamart.com/proddetail/cadmium-metal-ingots-22040123833.html?pos=5&kwd=cadmium metal&tags=A||||9120.144|Price|proxy,Cadmium metal
CdCO3,8.632,y,"Powder Cadmium Carbonate, 25-30 Kg ,Packaging Type: Poly Bag",https://www.indiamart.com/proddetail/cadmium-carbonate-8016457497.html?pos=4&kwd=cdco3 cadmium carbonate&tags=CC||||7533.29|Price|product,CdCO3 cadmium carbonate
CdCO3,33.8,y,"White Cadmium Carbonate Powder, Packaging: Bag",https://www.indiamart.com/proddetail/cadmium-carbonate-19415860955.html?pos=7&kwd=cdco3 cadmium carbonate&tags=CC||||7533.29|Price|product,CdCO3 cadmium carbonate
CeO2,7.475,y,"Cerium Oxide Polishing Powder, Purity: 99.99",https://www.indiamart.com/proddetail/cerium-oxide-polishing-powder-23438501955.html?pos=7&kwd=ceo2 cerium oxide&tags=A||||7533.29|Price|product,ceo2 cerium oxide
CeO2,11.7,y,"Cerium Oxide Powder, Packaging Size: 25 Kg, Grade Standard: Technical Grade",https://www.indiamart.com/proddetail/cerium-oxide-powder-11629107791.html?pos=5&kwd=ceo2 cerium oxide&tags=A||||7533.29|Price|product,ceo2 cerium oxide
Clay,4.9399999999999995,y,Brown Chocolate Clay Powder,https://www.indiamart.com/proddetail/brown-chocolate-clay-powder-22635680433.html?pos=4&kwd=clay&tags=A||||7613.566|Price|product,Clay
Clay,0.7799999999999999,y,"Solid Brown Terracotta Clay, For Paints, Grade: Cosmetic",https://www.indiamart.com/proddetail/terracotta-clay-23249166562.html?pos=6&kwd=clay&tags=A||||8227.221|Price|proxy,Clay
CoCl2,23.4,y,Powder Cobalt Chloride,https://www.indiamart.com/proddetail/cobalt-chloride-17238307891.html?pos=4&kwd=cobalt chloride coc 2&tags=A||||8227.221|Price|product,cobalt chloride cocl2
CoO,42.25,y,Cobalt Oxide,https://www.indiamart.com/proddetail/cobalt-oxide-9639648988.html?pos=7&kwd=cobalt oxide&tags=A||||8227.221|Price|product,cobalt oxide
CoSO4,7.93,y,"Cobalt Sulphate, Powder, Chemical Formula: Coso4",https://www.indiamart.com/proddetail/cobalt-sulphate-12515623062.html?pos=4&kwd=cobalt sulfate coso 4&tags=A||||8227.221|Price|product,cobalt sulfate coso4
Cr,12.674999999999999,y,Chromium Metal (Chromium),https://www.indiamart.com/proddetail/chromium-metal-chromium-9946691791.html?pos=5&kwd=chromium metal&tags=||||8186.624|Price|product,chromium metal
Cr,10.4,y,Solid Chromium Metal,https://www.indiamart.com/proddetail/solid-chromium-metal-22843507091.html?pos=4&kwd=chromium metal&tags=A||||7533.29|Price|proxy,chromium metal
Cr,6.5,y,Chromium Metal,https://www.indiamart.com/proddetail/chromium-metal-15482593433.html?pos=7&kwd=chromium metal&tags=||||7533.29|Price|product,chromium metal
Cr2O3,3.601,y,Chromium Oxide,https://www.indiamart.com/proddetail/chromium-oxide-15559225691.html?pos=6&kwd=cr2o3 chromium oxide&tags=||||8185.86|Price|product,Cr2O3 chromium oxide
Cr2O3,10.139999999999999,y,Chromium oxide,https://www.indiamart.com/proddetail/chromium-oxide-22818448291.html?pos=7&kwd=cr2o3 chromium oxide&tags=||||7650.5557|Price|product,Cr2O3 chromium oxide
Cu,7.409999999999999,y,Electrolytic Copper,https://www.indiamart.com/proddetail/electrolytic-copper-23022032991.html?pos=4&kwd=copper metal&tags=A||||7565.9897|Price|proxy|type=attr=1|attrMtch=1,copper metal
CuO,9.75,y,"Copper Oxide Powder, for Industrial, Packaging Size: 25 Kg",https://www.indiamart.com/proddetail/copper-oxide-powder-1253492530.html?pos=7&kwd=copper oxide cup&tags=A||||7613.566|Price|proxy|type=attr=1|attrMtch=1,Copper Oxide CuO
