,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,sensible_thermal,Clay,,Soil (clay),both,rock,,,Bauer 2012,,,1450.0,,,0.0002444444444444,,,,,,1.28,,,,,,,,,,,
Gravel,sensible_thermal,Gravel,,Soil (gravelly),both,rock,,,Bauer 2012,,,2040.0,,,0.0005111111111111,,,,,,0.59,,,,,,,,,,,
NaAlH4,synfuel,"[('Na', 1), ('Al',1)]",molar,NaAlH44 1/3Na3AlH6  2/3Al   H2(g),chemical,metal_hydride,0.0658561369180461,1.99866879872674,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
Na3AlH6,synfuel,"[('Na',3), ('Al',1)]",molar,Na3AlH64 3NaH   Al   3/2H2(g),chemical,metal_hydride,0.0987067434550457,2.995652305160719,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
Na2LiAlH6,synfuel,"[('Na',2), ('Li',1), ('Al',1)]",molar,Na2LiAlH64 2NaH   LiH   Al   3/2H2(g),chemical,metal_hydride,0.0989173144140776,3.00204292607216,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
K2LiAlH6,synfuel,"[('K',2), ('Li',1), ('Al',1)]",molar,K2LiAlH64 2 KH   LiH   Al   3/2H2(g),chemical,metal_hydride,0.098904954107518,3.001667802959576,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
KClLiAlH,synfuel,"[('K',2), ('Al',1), ('ClLi', 1)]",molar,KAlH4 LiCl4KCl   LiH   Al 3/2H2(g) [69],chemical,metal_hydride,0.0989468758166131,3.0029400854814314,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
Li2MgN2H6,synfuel,"[('Mg',1), ('N2',1)]",molar,Mg(NH2)2  2LiH 4 Li2Mg(NH)2  2H2(g),chemical,metal_hydride,0.1357000850998307,4.118363735958443,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
Ti12Mn18H30,synfuel,"[('Ti',12), ('Mn',18)]",molar,Ti1.2Mn1.8H3,chemical,metal_hydride,1.0090799298223094,30.62458057123853,Bellosta 2019,,,,,,,,,,,,,,,,,,,,,,,
MgH2,synfuel,Mg,molar,MgH2,chemical,metal_hydride,0.065919755783597,2.000599568546193,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
VH2,synfuel,V,molar,VH2,chemical,metal_hydride,0.0659702066809543,2.0021307035191005,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
Mg2NiH4,synfuel,"[('Mg',2), ('Ni',1)]",molar,Mg2NiH4,chemical,metal_hydride,0.1306372151558678,3.964710626885216,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
TiFeH2,synfuel,"[('Ti',1), ('Fe',1)]",molar,TiFeH2,chemical,metal_hydride,0.065321869056463,1.98245429609903,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
ZrNiH3,synfuel,"[('Zr',1), ('Ni',1)]",molar,ZrNiH3,chemical,metal_hydride,0.0979909290844347,2.97392804505113,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
TiMn1.4V0.62H3.4,synfuel,"[('Ti',1), ('Mn',1.4), ('V',0.62)]",molar,TiMn1.4V0.62H3.4,chemical,metal_hydride,0.1123299173523014,3.409102195820986,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
ZrMn2H3.6,synfuel,"[('Zr',1), ('Mn',2)]",molar,ZrMn2H3.6,chemical,metal_hydride,0.1184738341117336,3.595564009460809,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
LaNi5H6.5,synfuel,"[('La',1), ('Ni',5)]",molar,LaNi5H6.5,chemical,metal_hydride,0.2138183865260671,6.4891771328093215,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
LaNi4.8Sn0.2H6,synfuel,"[('La',1), ('Ni',4.8), ('Sn',0.2)]",molar,LaNi4.8Sn0.2H6.0,chemical,metal_hydride,0.2062920899811088,6.260761456179326,Bowman 2002,,,,,,,,,,,,,,,,,,,,,,,
Solar Salt,sensible_thermal,Solar Salt,,Solar Salt,hot,molten_salt,,,Caraballo 2021,,,2089.364,,,0.0004008811111111,240.0,565.0,,,,,,,,2.65,,,,,,,
LiNaKNO3,sensible_thermal,"[('LiNO3', 0.3), ('NaNO3', 0.18), ('KNO3', 0.52)]",mass,LiNaKNO3,hot,molten_salt,,,Caraballo 2021,,,2087.388,,,0.0004388888888888,118.0,550.0,,,,,,,,1.61,,,,,,,
LiNaKCaNO3,sensible_thermal,"[('LiNO3', 0.155), ('NaNO3', 0.082), ('KNO3', .543), ('Ca(NO3)2', 0.22)]",mass,LiNaKCaNO3,hot,molten_salt,,,Caraballo 2021,,,1992.3,,,0.0004216666666666,93.0,450.0,,,,,,,,1.29,,,,,,,
LiNaKNO3NO2,sensible_thermal,"[('LiNO3', 0.09), ('NaNO3', 0.423), ('KNO3', 0.336), ('KNO2', 0.151)]",mass,LiNaKNO3NO2,hot,molten_salt,,,Caraballo 2021,,,2073.28,,,0.0003153808333333,97.0,450.0,,,,,,,,,,,,,,,
KMgCl,sensible_thermal,"[('KCl', 0.625), ('MgCl2', 0.375)]",mass,KMgCl,hot,molten_salt,,,Caraballo 2021,,,2124.626,,,0.0002775,430.0,700.0,,,,,,,,1.29,,,,,,,
NaKMgCl,sensible_thermal,"[('NaCl', 0.205), ('KCl', 0.309), ('MgCl2', 0.486)]",mass,NaKMgCl,hot,molten_salt,,,Caraballo 2021,,,1898.7747,,,0.0002843888888888,383.0,700.0,,,,,,,,0.68,,,,,,,
NaMgCaCl,sensible_thermal,"[('NaCl', 0.396), ('MgCl2', 0.39), ('CaCl2', 0.214)]",mass,NaMgCaCl,hot,molten_salt,,,Caraballo 2021,,,4017.8003,,,0.0003103333333333,407.0,650.0,,,,,,,,0.57,,,,,,,
NaKZnCl,sensible_thermal,"[('NaCl', 0.075), ('KCl', 0.239), ('ZnCl2', 0.686)]",mass,NaKZnCl,hot,molten_salt,,,Caraballo 2021,,,2624.514,,,0.0002531603611111,204.0,700.0,,,,,,,,1.79,,,,,,,
KMgZnCl,sensible_thermal,"[('KCl', 0.494), ('MgCl2', 0.155), ('ZnCl2', 0.351)]",mass,KMgZnCl,hot,molten_salt,,,Caraballo 2021,,,2169.0074,,,0.0002406666666666,356.0,700.0,,,,,,,,3.36,,,,,,,
LiNaKF,sensible_thermal,"[('LiF', 0.292), ('NaF', 0.117), ('KF', 0.591)]",mass,LiNaKF,hot,molten_salt,,,Caraballo 2021,,,2529.27,,,0.0002716231666666,454.0,700.0,,,,,,,,5.11,,,,,,,
NaBF,sensible_thermal,"[('NaF', 0.03), ('NaBF4', 0.97)]",mass,NaBF,hot,molten_salt,,,Caraballo 2021,,,2251.389,,,0.0004183333333333,385.0,700.0,,,,,,,,10.29,,,,,,,
KBF,sensible_thermal,"[('KF', 0.13), ('KBF4', 0.87)]",mass,KBF,hot,molten_salt,,,Caraballo 2021,,,2257.1974,,,0.0003626111111111,460.0,700.0,,,,,,,,11.75,,,,,,,
KZrF,sensible_thermal,"[('KF', 0.325), ('ZrF4', 0.675)]",mass,KZrF,hot,molten_salt,,,Caraballo 2021,,,3040.6547,,,0.0002777777777777,420.0,700.0,,,,,,,,17.32,,,,,,,
LiNaKCO3,sensible_thermal,"[('Li2CO3', 0.321), ('Na2CO3', 0.334), ('K2CO3', 0.345)]",mass,LiNaKCO3,hot,molten_salt,,,Caraballo 2021,,,2269.566,,,0.0004472222222222,397.0,670.0,,,,,,,,4.15,,,,,,,
2D TiS2 nanocrystals,pseudocapacitor,TiS2,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,395.0,1.2,,,,,
3D Co3O4 nanonetworks,pseudocapacitor,Co3O4,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,797.5,1.5,,,,,
Au-MnO2 core-shell,pseudocapacitor,"[('Au', 1), ('MnO2', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,524.0,2.0,,,,,
CNT,EDLC,CNT,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,582.0,0.7,,,,,
Carbon based,EDLC,Graphite,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,167.284375,1.38125,,,,,
Carbon/CNTs,EDLC,"[('Graphite', 1), ('CNT', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,181.0,0.9,,,,,
Co(OH)2 nanosheets,pseudocapacitor,Co(OH)2,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1805.0,0.5,,,,,
Co3O4 nanostructures,pseudocapacitor,Co3O4,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,313.0,0.8,,,,,
CoAl/PEDOT nanoarrays,pseudocapacitor,"[('Co', 0.25), ('Al', 0.25), ('PEDOT', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,548.0,0.6,,,,,
CoCl2 nanostructures,pseudocapacitor,CoCl2,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1962.0,0.45,,,,,
CoO/PPy nanowires,pseudocapacitor,"[('CoO', 1), ('PPy', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1435.0,1.6,,,,,
CuO nanowires,pseudocapacitor,CuO,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,110.0,0.45,,,,,
Fe2O3/MnO2 nanowires,pseudocapacitor,"[('Iron Ore', 1), ('MnO2', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,659.0,0.6,,,,,
GO/CNT,EDLC,"[('Graphene Oxide', 1), ('CNT', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,216.0,1.0,,,,,
GO/Carbon,EDLC,Graphene Oxide,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,122.5,3.5,,,,,
Graphene,EDLC,Graphene,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,186.5,1.65,,,,,
Graphene/CNF,EDLC,"[('Graphene', 1), ('Graphite', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,174.0,1.5,,,,,
Graphene/CNT,EDLC,"[('Graphene', 1), ('CNT', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,104.83333333333331,2.6,,,,,
Graphene/carbon,EDLC,"[('Graphene', 1), ('Graphite', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,175.0,3.5,,,,,
Hollow NiCo2S4 nanoplates,pseudocapacitor,NiCo2S4,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,334.0,0.5,,,,,
Nanoporous Ni(OH)2 films,pseudocapacitor,Ni(OH)2,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,106.0,1.6,,,,,
Ni2(CO3)(OH)2 nanosheets,pseudocapacitor,(CO3)(OH)2,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,895.0,0.4,,,,,
NiCo2(OH)6 nanotubes,pseudocapacitor,NiCo2(OH)6,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,184.5,0.5,,,,,
NiCo2O4 nanosheets,pseudocapacitor,NiCo2O4,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1693.0,0.5,,,,,
NiO nanoblocks,pseudocapacitor,NiO,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1008.0,0.6,,,,,
PANI nanofibers,pseudocapacitor,PANI,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,106.0,0.8,,,,,
PANI nanotubes,pseudocapacitor,PANI,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,686.5,0.5,,,,,
PPy nanofibrils,pseudocapacitor,PPy,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,280.0,0.7,,,,,
PPy-PANI double-wall,pseudocapacitor,"[('PPy', 1), ('PANI', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,529.5,0.6,,,,,
PPy-clay core-shell nanoarrays,pseudocapacitor,PPy,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,2046.0,1.2,,,,,
PPy-sepiolite nanocomposites,pseudocapacitor,"[('PPy', 1), ('sepiolite', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,165.0,1.0,,,,,
Polythiophene nanostructures,pseudocapacitor,Polythiophene,,,,,,,Choi 2015,,,,,,,,,,,,,,,,,162.5,4.0,,,,,
V2O5-PPy nanofibers,pseudocapacitor,"[('V2O5', 1), ('PPy', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,412.0,2.0,,,,,
ZnCo2O4 nanorods/Ni foams,pseudocapacitor,"[('ZnCo2O4', 1), ('Ni', 1)]",molar,,,,,,Choi 2015,,,,,,,,,,,,,,,,,1207.5,1.0,,,,,
Al2O3,dielectric_capacitor,Al2O3,,,bulk,,,,Haynes 2014,,,3990.0,,,,,,,,,,,,,,,,13400000.0,10.0,,,
SiO2,dielectric_capacitor,SiO2,,,bulk,,,,Haynes 2014,,,2648.0,,,,,,,,,,,,,,,,570000000.0,4.47,,,
ZrO2,dielectric_capacitor,ZrO2,,,bulk,,,,Haynes 2014,,,5680.0,,,,,,,,,,,,,,,,11400000.0,12.5,,,
NaCl,dielectric_capacitor,NaCl,,,bulk,,,,Haynes 2014,,,2170.0,,,,,,,,,,,,,,,,150000000.0,5.9,,,
KBr,dielectric_capacitor,KBr,,,bulk,,,,Haynes 2014,,,2740.0,,,,,,,,,,,,,,,,80000000.0,4.88,,,
Al 2024,pressure_tank,Al,,Al-2024,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,150.8303249097473,1.0,
Al 6061,pressure_tank,Al,,Al-6061-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,101.4760147601476,1.0,
Al 7075,pressure_tank,Al,,Al-7075-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,166.66666666666666,1.0,
Steel 4340,pressure_tank,Steel,,Steel-4340,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,59.87261146496816,1.0,
Steel 18Ni-300,pressure_tank,Steel,,Steel-18Ni-300,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,94.27860696517412,1.0,
Steel 15-7,pressure_tank,Steel,,Stainless-Steel-15-7,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,97.1316818774446,1.0,
Steel 440C,pressure_tank,Steel,,Stainless-Steel-440C,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,158.44155844155844,1.0,
Steel 455,pressure_tank,Steel,,Stainless-Steel-455,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,191.8814432989691,1.0,
Steel 1020,pressure_tank,Steel,,Carbon-Steel-1020,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,54.79591836734694,1.0,
AS4/3501-6,pressure_tank,CFRP,,AS4-3501–6,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1225.6442489000628,1.0,
AS4/8552,pressure_tank,CFRP,,AS4–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1398.8585922637922,1.0,
E-Glass,pressure_tank,GRE,,E-Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,498.5549132947977,1.0,
IM7/8551-7,pressure_tank,CFRP,,IM7-8551–7,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1626.4294790343074,1.0,
IM7/8552,pressure_tank,CFRP,,IM7–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1714.735516372796,1.0,
Kevlar,pressure_tank,KFRP,,Kevlar-49 Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,995.6647398843932,1.0,
S-2 Glass,pressure_tank,GRE,,S-2 Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1003.0105368790768,1.0,
T300-BSL914C,pressure_tank,CFRP,,T300-BSL914C,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,962.1552277100706,1.0,
T300-PR319,pressure_tank,CFRP,,T300-PR319,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,882.202304737516,1.0,
Al 2024,flywheel,Al,,Al-2024,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,150.8303249097473,1.2,
Al 6061,flywheel,Al,,Al-6061-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,101.4760147601476,1.2,
Al 7075,flywheel,Al,,Al-7075-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,166.66666666666666,1.2,
Steel 4340,flywheel,Steel,,Steel-4340,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,59.87261146496816,1.2,
Steel 18Ni-300,flywheel,Steel,,Steel-18Ni-300,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,94.27860696517412,1.2,
Steel 15-7,flywheel,Steel,,Stainless-Steel-15-7,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,97.1316818774446,1.2,
Steel 440C,flywheel,Steel,,Stainless-Steel-440C,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,158.44155844155844,1.2,
Steel 455,flywheel,Steel,,Stainless-Steel-455,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,191.8814432989691,1.2,
Steel 1020,flywheel,Steel,,Carbon-Steel-1020,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,54.79591836734694,1.2,
AS4/3501-6,flywheel,CFRP,,AS4-3501–6,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1225.6442489000628,1.2,
AS4/8552,flywheel,CFRP,,AS4–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1398.8585922637922,1.2,
E-Glass,flywheel,GRE,,E-Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,498.5549132947977,1.2,
IM7/8551-7,flywheel,CFRP,,IM7-8551–7,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1626.4294790343074,1.2,
IM7/8552,flywheel,CFRP,,IM7–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1714.735516372796,1.2,
Kevlar,flywheel,KFRP,,Kevlar-49 Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,995.6647398843932,1.2,
S-2 Glass,flywheel,GRE,,S-2 Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1003.0105368790768,1.2,
T300-BSL914C,flywheel,CFRP,,T300-BSL914C,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,962.1552277100706,1.2,
T300-PR319,flywheel,CFRP,,T300-PR319,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,882.202304737516,1.2,
Al 2024,smes,Al,,Al-2024,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,150.8303249097473,1.5,
Al 6061,smes,Al,,Al-6061-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,101.4760147601476,1.5,
Al 7075,smes,Al,,Al-7075-T6,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,166.66666666666666,1.5,
Steel 4340,smes,Steel,,Steel-4340,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,59.87261146496816,1.5,
Steel 18Ni-300,smes,Steel,,Steel-18Ni-300,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,94.27860696517412,1.5,
Steel 15-7,smes,Steel,,Stainless-Steel-15-7,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,97.1316818774446,1.5,
Steel 440C,smes,Steel,,Stainless-Steel-440C,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,158.44155844155844,1.5,
Steel 455,smes,Steel,,Stainless-Steel-455,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,191.8814432989691,1.5,
Steel 1020,smes,Steel,,Carbon-Steel-1020,,metal,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,54.79591836734694,1.5,
AS4/3501-6,smes,CFRP,,AS4-3501–6,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1225.6442489000628,1.5,
AS4/8552,smes,CFRP,,AS4–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1398.8585922637922,1.5,
E-Glass,smes,GRE,,E-Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,498.5549132947977,1.5,
IM7/8551-7,smes,CFRP,,IM7-8551–7,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1626.4294790343074,1.5,
IM7/8552,smes,CFRP,,IM7–8552,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1714.735516372796,1.5,
Kevlar,smes,KFRP,,Kevlar-49 Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,995.6647398843932,1.5,
S-2 Glass,smes,GRE,,S-2 Glass Epoxy,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,1003.0105368790768,1.5,
T300-BSL914C,smes,CFRP,,T300-BSL914C,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,962.1552277100706,1.5,
T300-PR319,smes,CFRP,,T300-PR319,,composite,,,Kale 2018,,,,,,,,,,,,,,,,,,,,,882.202304737516,1.5,
Li/Zn,coupled_battery,"[('Li', 0.5), ('Zn', 0.5)]",molar,Li/Zn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.19
Na/Zn,coupled_battery,"[('Na', 0.5), ('Zn', 0.5)]",molar,Na/Zn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
K/Zn,coupled_battery,"[('K', 0.5), ('Zn', 0.5)]",molar,K/Zn,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Mg/Zn,coupled_battery,"[('Mg', 0.6666666666666666), ('Zn', 0.33333333333333337)]",molar,Mg/Zn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.145
Ca/Zn,coupled_battery,"[('Ca', 0.6666666666666666), ('Zn', 0.33333333333333337)]",molar,Ca/Zn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.305
Ba/Zn,coupled_battery,"[('Ba', 0.6666666666666666), ('Zn', 0.33333333333333337)]",molar,Ba/Zn,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/Cd,coupled_battery,"[('Li', 0.5), ('Cd', 0.5)]",molar,Li/Cd,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.465
Na/Cd,coupled_battery,"[('Na', 0.5), ('Cd', 0.5)]",molar,Na/Cd,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.12
K/Cd,coupled_battery,"[('K', 0.5), ('Cd', 0.5)]",molar,K/Cd,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Mg/Cd,coupled_battery,"[('Mg', 0.6666666666666666), ('Cd', 0.33333333333333337)]",molar,Mg/Cd,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.15
Ca/Cd,coupled_battery,"[('Ca', 0.6666666666666666), ('Cd', 0.33333333333333337)]",molar,Ca/Cd,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ba/Cd,coupled_battery,"[('Ba', 0.6666666666666666), ('Cd', 0.33333333333333337)]",molar,Ba/Cd,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/Hg,coupled_battery,"[('Li', 0.5), ('Hg', 0.5)]",molar,Li/Hg,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Na/Hg,coupled_battery,"[('Na', 0.5), ('Hg', 0.5)]",molar,Na/Hg,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.4
K/Hg,coupled_battery,"[('K', 0.5), ('Hg', 0.5)]",molar,K/Hg,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.395
Mg/Hg,coupled_battery,"[('Mg', 0.6666666666666666), ('Hg', 0.33333333333333337)]",molar,Mg/Hg,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ca/Hg,coupled_battery,"[('Ca', 0.6666666666666666), ('Hg', 0.33333333333333337)]",molar,Ca/Hg,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Ba/Hg,coupled_battery,"[('Ba', 0.6666666666666666), ('Hg', 0.33333333333333337)]",molar,Ba/Hg,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Li/Al,coupled_battery,"[('Li', 0.5), ('Al', 0.5)]",molar,Li/Al,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.3
Na/Al,coupled_battery,"[('Na', 0.5), ('Al', 0.5)]",molar,Na/Al,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
K/Al,coupled_battery,"[('K', 0.5), ('Al', 0.5)]",molar,K/Al,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Mg/Al,coupled_battery,"[('Mg', 0.6666666666666666), ('Al', 0.33333333333333337)]",molar,Mg/Al,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.135
Ca/Al,coupled_battery,"[('Ca', 0.6666666666666666), ('Al', 0.33333333333333337)]",molar,Ca/Al,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.425
Ba/Al,coupled_battery,"[('Ba', 0.6666666666666666), ('Al', 0.33333333333333337)]",molar,Ba/Al,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.34
Li/Ga,coupled_battery,"[('Li', 0.5), ('Ga', 0.5)]",molar,Li/Ga,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.58
Na/Ga,coupled_battery,"[('Na', 0.5), ('Ga', 0.5)]",molar,Na/Ga,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.105
K/Ga,coupled_battery,"[('K', 0.5), ('Ga', 0.5)]",molar,K/Ga,liquid_metal_battery,,,1.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,
Mg/Ga,coupled_battery,"[('Mg', 0.6666666666666666), ('Ga', 0.33333333333333337)]",molar,Mg/Ga,liquid_metal_battery,,,2.0,Kim 2013,,,,,,,,,,,,,,,,,,,,,,,0.195
