,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaSO4,latent_thermal,CaSO4,,CaSO4,hot,molten_salt,,,Alva 2018,,,2320.0,1460.0,0.0563888888888888,,,,,,,,471.0,,,,,,,,,,
LiF,latent_thermal,LiF,,LiF,hot,molten_salt,,,Alva 2018,,,2640.0,850.0,0.29,,,,,,,,2756.2,,,,,,,,,,
NaF,latent_thermal,NaF,,NaF,hot,molten_salt,,,Alva 2018,,,2558.0,996.0,0.2205555555555555,,,,,,,,2031.1,,,,,,,,,,
KF,latent_thermal,KF,,KF,hot,molten_salt,,,Alva 2018,,,2370.0,858.0,0.13,,,,,,,,1109.2,,,,,,,,,,
CaF2,latent_thermal,CaF2,,CaF2,hot,molten_salt,,,Alva 2018,,,3180.0,1418.0,0.1086111111111111,,,,,,,,1243.4,,,,,,,,,,
NaOH,latent_thermal,NaOH,,NaOH,hot,hydroxide,,,Alva 2018,,,2100.0,318.0,0.0458333333333333,,,,,,,,346.5,,,,,,,,,,
KOH,latent_thermal,KOH,,KOH,hot,hydroxide,,,Alva 2018,,,2040.0,380.0,0.0416666666666666,,,,,,,,306.0,,,,,,,,,,
LiOH,latent_thermal,LiOH,,LiOH,hot,hydroxide,,,Alva 2018,,,1460.0,462.0,0.2425,,,,,,,,1274.6,,,,,,,,,,
Na,sensible_thermal,Na,,Sodium (Na),hot,metal,,,Alva 2018,,,,,,0.0003611111111111,98.0,883.0,,,,64.9,,,,,,,,,,,
NaK,sensible_thermal,"[('Na', 0.5), ('K', 0.5)]",molar,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),hot,metal,,,Alva 2018,,,,,,0.0002472222222222,-12.6,785.0,,,,26.3,,,,,,,,,,,
LBE,sensible_thermal,"[('Pb', 0.445), ('Bi', 0.555)]",mass,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),hot,metal,,,Alva 2018,,,,,,3.888888888888889e-05,125.0,1533.0,,,,14.9,,,,,,,,,,,
Zn/Mg (52/48),latent_thermal,"[('Mg', 0.52), ('Zn', 0.48)]",molar,Zn/Mg (52/48),hot,alloy,,,Alva 2018,,,,340.0,0.05,,,,,,,,,,,,,,,,,,
Zn/Al (96/4),latent_thermal,"[('Zn', 0.96) , ('Al', 0.04)]",molar,Zn/Al (96/4),hot,alloy,,,Alva 2018,,,6630.0,381.0,0.0383333333333333,,,,,,,,914.9,,,,,,,,,,
Al/Mg/Zn (60/34/6),latent_thermal,"[('Al', 0.6), ('Mg', 0.34), ('Zn', 0.06)]",molar,Al/Mg/Zn (60/34/6),hot,alloy,,,Alva 2018,,,,450.3,0.0914166666666666,,,,,,,,,,,,,,,,,,
Mg/Cu/Zn (60/25/15),latent_thermal,"[('Mg', 0.6), ('Cu', 0.25), ('Zn', 0.15)]",molar,Mg/Cu/Zn (60/25/15),hot,alloy,,,Alva 2018,,,2800.0,452.0,0.0705555555555555,,,,,,,,711.2,,,,,,,,,,
Mg/Ca (84/16),latent_thermal,"[('Mg', 0.84), ('Ca', 0.16)]",molar,Mg/Ca (84/16),hot,alloy,,,Alva 2018,,,1380.0,790.0,0.0755555555555555,,,,,,,,375.4,,,,,,,,,,
Mg/Si/Zn (47/38/15),latent_thermal,"[('Mg', 0.47), ('Metallurgical Silicon', 0.38), ('Zn', 0.15)]",molar,Mg/Si/Zn (47/38/15),hot,alloy,,,Alva 2018,,,,800.0,0.0872222222222222,,,,,,,,,,,,,,,,,,
Cu/Si (80/20),latent_thermal,"[('Cu', 0.8), ('Metallurgical Silicon', 0.2)]",molar,Cu/Si (80/20),hot,alloy,,,Alva 2018,,,6600.0,803.0,0.0547222222222222,,,,,,,,1300.2,,,,,,,,,,
Cu/P/Si (83/10/7),latent_thermal,"[('Cu', 0.83), ('P', 0.1), ('Metallurgical Silicon', 0.07)]",molar,Cu/P/Si (83/10/7),hot,alloy,,,Alva 2018,,,6880.0,840.0,0.0255555555555555,,,,,,,,633.0,,,,,,,,,,
Si/Mg/Ca (49/30/21),latent_thermal,"[('Metallurgical Silicon', 0.49), ('Mg', 0.3), ('Ca', 0.21)]",molar,Si/Mg/Ca (49/30/21),hot,alloy,,,Alva 2018,,,6880.0,865.0,0.0847222222222222,,,,,,,,2098.4,,,,,,,,,,
Si/Mg (56/44),latent_thermal,"[('Metallurgical Silicon', 0.56), ('Mg', 0.44)]",molar,Si/Mg (56/44),hot,alloy,,,Alva 2018,,,1900.0,946.0,0.2102777777777777,,,,,,,,1438.3,,,,,,,,,,
Dowtherm A,sensible_thermal,Dowtherm,,Dowtherm A,hot,molten_salt,,,Alva 2018,,,,,,0.0004527777777777,12.0,400.0,,,,0.1083,,,,,,,,,,,
HITEC,sensible_thermal,HITEC,,"HITEC, NaNO3eKNO3e NaNO2",hot,molten_salt,,,Alva 2018,,,,,,0.0004336111111111,142.0,535.0,,,,0.6,,,,,,,,,,,
Solar Salt,sensible_thermal,Solar Salt,,"Solar Salt, NaNO3e KNO3 (50-50)",hot,molten_salt,,,Alva 2018,,,,,,0.0004166666666666,220.0,600.0,,,,0.55,,,,,,,,,,,
Granite,sensible_thermal,Stone,,Granite,both,rock,,,Alva 2018,,,,,,0.0002499999999999,,,,,,2.8,,,,,,,,,,,
Quartzite,sensible_thermal,Stone,,Quartzite,both,rock,,,Alva 2018,,,,,,0.0002361111111111,,,,,,2.0,,,,,,,,,,,
Marble,sensible_thermal,Stone,,Marble,both,rock,,,Alva 2018,,,,,,0.0002361111111111,,,,,,7.7,,,,,,,,,,,
Basalt,sensible_thermal,Stone,,Basalt,both,rock,,,Alva 2018,,,,,,0.0004083333333333,,,,,,3.2,,,,,,,,,,,
HITEC XL,sensible_thermal,HITEC XL,,"HITEC XL, NaNO3e KNO3eCa(NO3)2",hot,molten_salt,,,Alva 2018,,,,,,0.0004019444444444,120.0,500.0,,,,0.519,,,,,,,,,,,
Vegetable Oil,sensible_thermal,Vegetable Oil,,Vegetable oil,hot,oil,,,Alva 2018,,,,,,0.0006969444444444,,,,,,0.11,,,,,,,,,,,
MgSO4/MgO,thermochemical,MgSO4,,MgSO4/MgO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.8048611111111111,1140.0,,,,,,,,
MnSO4/MnO,thermochemical,MnSO4,,MnSO4/MnO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.65825,1065.0,,,,,,,,
FeSO4/FeO,thermochemical,FeSO4,,FeSO4/FeO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.6332722222222222,1030.0,,,,,,,,
CoSO4/CoO,thermochemical,CoSO4,,CoSO4/CoO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.5906388888888889,1005.0,,,,,,,,
CuSO4/CuO,thermochemical,CuSO4,,CuSO4/CuO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.52275,875.0,,,,,,,,
ZnSO4/ZnO,thermochemical,ZnSO4,,ZnSO4/ZnO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.4911666666666667,1080.0,,,,,,,,
CdSO4/CdO,thermochemical,CdSO4,,CdSO4/CdO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.4723611111111111,1095.0,,,,,,,,
NiSO4/NiO,thermochemical,NiSO4,,NiSO4/NiO,,sulfates,,,Andre 2016,,,,,,,,,,,,,,0.3998333333333334,995.0,,,,,,,,
CaCO3/CaO,thermochemical,CaCO3,,CaCO3/CaO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.4602222222222222,885.0,,,,,,,,
SrCO3/SrO,thermochemical,SrCO3,,SrCO3/SrO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.3807361111111111,1220.0,,,,,,,,
MgCO3/MgO,thermochemical,MgCO3,,MgCO3/MgO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.3261111111111111,300.0,,,,,,,,
BaCO3/BaO,thermochemical,BaCO3,,BaCO3/BaO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.2323888888888889,1555.0,,,,,,,,
CdCO3/CdO,thermochemical,CdCO3,,CdCO3/CdO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.1555833333333333,290.0,,,,,,,,
ZnCO3/ZnO,thermochemical,ZnCO3,,ZnCO3/ZnO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.1513611111111111,120.0,,,,,,,,
PbCO3/PbO,thermochemical,PbO,,PbCO3/PbO,,carbonates,,,Andre 2016,,,,,,,,,,,,,,0.0872222222222222,310.0,,,,,,,,
Ca(OH)2/CaO,thermochemical,Ca(OH)2 ,,Ca(OH)2/CaO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.3755555555555555,515.0,,,,,,,,
Mg(OH)2/MgO,thermochemical,MgO,,Mg(OH)2/MgO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.3702777777777777,265.0,,,,,,,,
Be(OH)2/BeO,thermochemical,BeO,,Be(OH)2/BeO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.3308333333333333,70.0,,,,,,,,
Mn(OH)2/MnO,thermochemical,MnO2,,Mn(OH)2/MnO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.2094444444444444,190.0,,,,,,,,
Sr(OH)2/SrO,thermochemical,SrO,,Sr(OH)2/SrO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.2023055555555555,755.0,,,,,,,,
Ba(OH)2/BaO,thermochemical,Ba(OH)2,,Ba(OH)2/BaO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.1515194444444444,1005.0,,,,,,,,
Ni(OH)2/NiO,thermochemical,Ni(OH)2,,Ni(OH)2/NiO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.1433333333333333,70.0,,,,,,,,
Zn(OH)2/ZnO,thermochemical,Zn,,Zn(OH)2/ZnO,,hydroxides,,,Andre 2016,,,,,,,,,,,,,,0.1386,55.0,,,,,,,,
