,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
Ca/Al,coupled_battery,liquid_metal_battery,,6.73354967515004,0.6379047221666116,4.295363134721664,"[('Ca', 0.6666666666666666), ('Al', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, DERA, Indiamart, Kale 2018, Kim 2013, Ray 2021, SMM, Steinmann 2022, USGS",,,,,,20.0,,,,,,0.425,,,,,,35.7125128,2.0,,Ca/Al,,,,,
Ca/Bi,coupled_battery,liquid_metal_battery,,18.257606899560276,0.46996172625330696,8.580376455771635,"[('Ca', 0.6666666666666666), ('Bi', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.845,,,,,,96.37880000000001,2.0,,Ca/Bi,,,,,
Ca/Cd,coupled_battery,liquid_metal_battery,,,,,"[('Ca', 0.6666666666666666), ('Cd', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ca/Cd,,,,,
Ca/Ga,coupled_battery,liquid_metal_battery,,,,,"[('Ca', 0.6666666666666666), ('Ga', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ca/Ga,,,,,
Ca/Hg,coupled_battery,liquid_metal_battery,,,,,"[('Ca', 0.6666666666666666), ('Hg', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ca/Hg,,,,,
Ca/In,coupled_battery,liquid_metal_battery,,476.4841446879974,0.3958886825935765,188.6346803172584,"[('Ca', 0.6666666666666666), ('In', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.48,,,,,,64.99133333333334,2.0,,Ca/In,,,,,
Ca/Pb,coupled_battery,liquid_metal_battery,,9.619603698668136,0.3329701079265209,3.2030404817558886,"[('Ca', 0.6666666666666666), ('Pb', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.595,,,,,,95.78533333333334,2.0,,Ca/Pb,,,,,
Ca/Sb,coupled_battery,liquid_metal_battery,,9.796231574648191,0.7884479189365876,7.723818398452257,"[('Ca', 0.6666666666666666), ('Sb', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.99,,,,,,67.30533333333334,2.0,,Ca/Sb,,,,,
Ca/Sn,coupled_battery,liquid_metal_battery,,34.04079527552326,0.5175210107978908,17.616826779352863,"[('Ca', 0.6666666666666666), ('Sn', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, DERA, Huang 2021, Indiamart, Kim 2013, SMM, USGS",,,,,,20.0,,,,,,0.64,,,,,,66.28866666666667,2.0,,Ca/Sn,,,,,
Ca/Te,coupled_battery,liquid_metal_battery,,,,,"[('Ca', 0.6666666666666666), ('Te', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ca/Te,,,,,
Ca/Tl,coupled_battery,liquid_metal_battery,,,,,"[('Ca', 0.6666666666666666), ('Tl', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ca/Tl,,,,,
Ca/Zn,coupled_battery,liquid_metal_battery,,12.285235974645891,0.33700625045807686,4.140201311808089,"[('Ca', 0.6666666666666666), ('Zn', 0.33333333333333337)]",molar,Kim 2013,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS",,,,,,20.0,,,,,,0.305,,,,,,48.512,2.0,,Ca/Zn,,,,,
CaCO3,latent_thermal,hot,molten_salt,9.415049905047265,0.0394444444444444,0.3713714129213084,CaCO3,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, Chem Central, Echemi, Indiamart",,,,,,20.0,,,,,,,,,,,2930.0,100.086,,,CaCO3,1330.0,0.0394444444444444,,,416.1
CaCO3/CaO,thermochemical,,carbonates,0.8069393327599651,0.4602222222222222,0.3713714129213084,CaCO3,,Andre 2016,"Alibaba, Alva 2018, Chem Central, Echemi, Indiamart",,,,,,20.0,885.0,,,0.4602222222222222,,,,,,,,100.086,,,CaCO3/CaO,,,,,
CaCl2,latent_thermal,hot,molten_salt,2.0240448004990235,0.0702777777777777,0.1422453707017368,CaCl2,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, Echemi, Indiamart, Li 2017, Ray 2021",,,,,,20.0,,,,,,,,,,,2150.0,110.978,,,CaCl2,772.0,0.0702777777777777,,,544.0
CaCl2/CaSO4/CaMoO4,latent_thermal,hot,molten_salt,8.97835615049725,0.0622222222222222,0.5586532715864954,"[('CaCl2', 0.385), ('CaSO4', 0.11), ('CaMoO4', 0.04)]",mass,Ray 2021,,,,,,,20.0,,,,,,,,,,,,,,,,673.0,0.0622222222222222,,,
CaF2,latent_thermal,hot,molten_salt,4.43947487533484,0.1086111111111111,0.4821762989599784,CaF2,,"Alva 2018, Ray 2021","Alibaba, Alva 2018, DERA, Indiamart, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,3180.0,78.0748063,,,CaF2,1418.0,0.1086111111111111,,,1243.4
CaSO4,latent_thermal,hot,molten_salt,9.907151614341805,0.0563888888888888,0.5586532715864954,CaSO4,,Alva 2018,"Alibaba, Alva 2018, Indiamart, USGS",,,,,,20.0,,,,,,,,,,,2320.0,136.134,,,CaSO4,1460.0,0.0563888888888888,,,471.0
Carbon based,EDLC,,,51.98176902262669,0.04432691058688695,2.3041912276141834,Graphite,,Choi 2015,"Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS",,,,,,20.0,,,,,,,1.38125,,,,,72.066,,,,,,167.284375,,
Carbon/CNTs,EDLC,,,,,,"[('Graphite', 1), ('CNT', 1)]",molar,,,,,,,,20.0,,,,,,,0.9,,,,,,,,,,,181.0,,
Cd(OH)2/CdO,thermochemical,,hydroxides,123.84534215365254,0.1137222222222222,14.083967521584816,Cd(OH)2,,Andre 2016,"Alibaba, Li 2017",,,,,,20.0,125.0,,,0.1137222222222222,,,,,,,,146.428,,,Cd(OH)2/CdO,,,,,
CdCO3/CdO,thermochemical,,carbonates,74.2625415610825,0.1555833333333333,11.554013757878415,CdCO3,,Andre 2016,"Alibaba, Indiamart",,,,,,20.0,290.0,,,0.1555833333333333,,,,,,,,172.422,,,CdCO3/CdO,,,,,
CdSO4/CdO,thermochemical,,sulfates,,,,CdSO4,,,,,,,,,20.0,1095.0,,,0.4723611111111111,,,,,,,,,,,CdSO4/CdO,,,,,
Ce4/Zn,coupled_battery,hybrid_flow,Zn based,11.559197105326577,0.26745640591621966,3.0915813130678163,"[('Zn', 1), ('CeO2', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba, DERA, Indiamart, USGS",,,,,,20.0,,,,,,2.37,,,,,,237.494,1.0,,Cerium (Ce4+),,,,,
Clay,sensible_thermal,both,rock,,,,Clay,,,,0.0002444444444444,,,,,20.0,,,,,,,,,,,1450.0,,,,Soil (clay),,,,,
Co(OH)2 nanosheets,pseudocapacitor,,,,,,Co(OH)2,,,,,,,,,20.0,,,,,,,0.5,,,,,,,,,,,1805.0,,
Co3O4 nanostructures,pseudocapacitor,,,808.8387534406711,0.027822222222222234,22.50369154017157,Co3O4,,Choi 2015,"Alibaba, ISE",,,,,,20.0,,,,,,,0.8,,,,,240.795582,,,,,,313.0,,
Co3O4/CoO,thermochemical,,oxides,99.26882679159131,0.2266944444444444,22.50369154017157,Co3O4,,Andre 2016,"Alibaba, ISE",,,,,,20.0,935.0,,,0.2266944444444444,,,,,,,,240.795582,,,Co3O4/CoO,,,,,
CoAl/PEDOT nanoarrays,pseudocapacitor,,,103.30273037524897,0.027400000000000004,2.830494812281822,"[('Co', 0.25), ('Al', 0.25), ('PEDOT', 1)]",molar,Choi 2015,,,,,,,20.0,,,,,,,0.6,,,,,21.4786831,,,,,,548.0,,
CoCl2 nanostructures,pseudocapacitor,,,451.23976696273394,0.055181250000000015,24.89997439071237,CoCl2,,Choi 2015,"Alibaba, ISE, Indiamart",,,,,,20.0,,,,,,,0.45,,,,,129.833194,,,,,,1962.0,,
CoO/PPy nanowires,pseudocapacitor,,,74.73621199838995,0.5102222222222225,38.13207616628964,"[('CoO', 1), ('PPy', 1)]",molar,Choi 2015,,,,,,,20.0,,,,,,,1.6,,,,,74.932194,,,,,,1435.0,,
CoSO4/CoO,thermochemical,,sulfates,14.286774564581236,0.5906388888888889,8.438324654630302,CoSO4,,Andre 2016,"Alibaba, ISE, Indiamart",,,,,,20.0,1005.0,,,0.5906388888888889,,,,,,,,154.989194,,,CoSO4/CoO,,,,,
Concrete,gravitational,block_stacking,,96.47690618529542,0.0005449999999999999,0.052579913870986,Concrete,,Sterner 2019,"Concrete Network, Steinmann 2022",,,,,,20.0,,1.0,,,,,,200.0,,,,,,,,,,,,
Concrete,sensible_thermal,both,other_solid,0.2143203011046091,0.24533333333328,0.052579913870986,Concrete,,"Liang 2022, Steinmann 2022","Concrete Network, Steinmann 2022",0.0002555555555555,,,800.0,-160.0,-160.0,,,,,960.0,,,,,,2525.0,,,,"Concrete, Concrete (U)",,,,,
Cr,latent_thermal,hot,metal,110.59527789433727,0.1111111111111111,12.288364210481918,Cr,,Ray 2021,"Alibaba, ISE, Indiamart, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,,51.9961,,,,2180.0,0.1111111111111111,,,
Cr5O12/Cr2O3,thermochemical,,oxides,73.22855792963551,0.0775277777777777,5.677247366155903,Cr2O3,,Andre 2016,"Alibaba, Indiamart",,,,,,20.0,105.0,,,0.0775277777777777,,,,,,,,151.9892,,,Cr5O12/Cr2O3,,,,,
Cu,latent_thermal,hot,metal,152.17553697740135,0.0536111111111111,8.15829962128846,Cu,,Ray 2021,"Alibaba, DERA, Indiamart, Ray 2021, SMM, USGS",,,,,,20.0,,,,,,,,,,,,63.546,,,,1356.0,0.0536111111111111,,,
Cu,sensible_thermal,hot,metal,59.503544774041366,0.1371061111110064,8.15829962128846,Cu,,"Bauer 2012, Liang 2022","Alibaba, DERA, Indiamart, Ray 2021, SMM, USGS",0.0001163888888888,,,925.0,-253.0,-253.0,,,,,1178.0,,,,,,8300.0,63.546,,,"Copper, Copper (commercial)",,,,,
Cu/Cu,flow_battery,,inorganic,64.4776669203789,0.12652907604989563,8.15829962128846,"[('Cu', 2)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Ray 2021, SMM, USGS",,,,,,20.0,,,,,,0.6,,,,,,127.092,1.0,,,,,,,
Cu/P/Si (83/10/7),latent_thermal,hot,alloy,123.27401374189827,0.0255555555555555,3.1503359067373937,"[('Cu', 0.83), ('P', 0.1), ('Metallurgical Silicon', 0.07)]",molar,Alva 2018,,,,,,,20.0,,,,,,,,,,,6880.0,54.709129999999995,,,Cu/P/Si (83/10/7),840.0,0.0255555555555555,,,633.0
Cu/Si (80/20),latent_thermal,hot,alloy,139.98007577143946,0.0547222222222222,7.660020813048211,"[('Cu', 0.8), ('Metallurgical Silicon', 0.2)]",molar,Alva 2018,"0 : Alibaba, DERA, Indiamart, Ray 2021, SMM, USGS, 1 : Alibaba, Echemi, ISE, Indiamart, Ray 2021, USGS",,,,,,20.0,,,,,,,,,,,6600.0,56.4538,,,Cu/Si (80/20),803.0,0.0547222222222222,,,1300.2
CuO nanowires,pseudocapacitor,,,3430.9211022685763,0.003093750000000001,10.614412160143411,CuO,,Choi 2015,"Alibaba, Indiamart",,,,,,20.0,,,,,,,0.45,,,,,79.545,,,,,,110.0,,
CuO/Cu2O,thermochemical,,oxides,47.16351984265155,0.2250555555555555,10.614412160143411,CuO,,Andre 2016,"Alibaba, Indiamart",,,,,,20.0,1115.0,,,0.2250555555555555,,,,,,,,79.545,,,CuO/Cu2O,,,,,
CuSO4/CuO,thermochemical,,sulfates,3.53506027512912,0.52275,1.8479527588237477,CuSO4,,Andre 2016,"Alibaba, Indiamart, Li 2017",,,,,,20.0,875.0,,,0.52275,,,,,,,,159.602,,,CuSO4/CuO,,,,,
DBEAQ/K4[Fe(CN)6],flow_battery,,organic,76.02716234190734,0.07640116060036509,5.808563440074091,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, Li 2017, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,1.05,,,,,,736.6762,2.0,,"2,6-DBEAQ/K4[Fe(CN)6] 0.5M/0.3M pH 12",,,,,
DBT,synfuel,chemical,LOHC,2.0823360227623504,2.161075381745202,4.500085115312932,DBT,molar,Southhall 2022,Southhall 2022,,,,,,20.0,,,0.5886574843089574,,,,,,,,,272.391,17.86517403062086,,,,,,,
DHPS/K4[Fe(CN)6],flow_battery,,organic,57.02037175643049,0.10186821413382013,5.808563440074091,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, Li 2017, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,1.4,,,,,,736.6762,2.0,,DHPS/K4[Fe(CN)6] 1.4M/0.31M (pH 14),,,,,
DPPEAQ/K4[Fe(CN)6],flow_battery,,organic,79.8285204590027,0.0727630100955858,5.808563440074091,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, Li 2017, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,1.0,,,,,,736.6762,2.0,,"2,6-DPPEAQ/K4[Fe(CN)6] 0.5M/0.4M (pH 9)",,,,,
Dowtherm A,sensible_thermal,hot,molten_salt,,,,Dowtherm,,,,0.0004527777777777,,,400.0,12.0,12.0,,,,,388.0,,,,,,,,,,Dowtherm A,,,,,
Dowtherm G ,sensible_thermal,hot,oil,,,,Dowtherm G,,,,0.0006111111111111,,,260.0,10.0,10.0,,,,,250.0,,,,,,867.0,,,,Dowtherm G (U),,,,,
E-Glass,flywheel,,composite,196.61256075103856,0.11540622992935136,22.690314393032917,GRE,,Kale 2018,"Alibaba, Kale 2018",,,1.2,,,20.0,,,,,,,,,,,,,,,E-Glass Epoxy,,,,498.5549132947977,
E-Glass,pressure_tank,,composite,163.84380062586544,0.13848747591522165,22.690314393032917,GRE,,Kale 2018,"Alibaba, Kale 2018",,,1.0,,,20.0,,,,,,,,,,,,,,,E-Glass Epoxy,,,,498.5549132947977,
E-Glass,smes,,composite,245.7657009387982,0.09232498394348108,22.690314393032917,GRE,,Kale 2018,"Alibaba, Kale 2018",,,1.5,,,20.0,,,,,,,,,,,,,,,E-Glass Epoxy,,,,498.5549132947977,
Ethanol,sensible_thermal,cold,hydrocarbon,6.401352496505496,0.11549999999999791,0.7393562133463715,Ethanol,mass,"Antunez 2018, Liang 2022","Antunez 2018, Chemanalyst, Echemi, Huang 2021",0.0006111111111111,,,75.0,-114.0,-114.0,,,,,189.0,,,,,,850.0,46.069,,,Ethanol,,,,,
Ethylene glycol,sensible_thermal,hot,other_fluid,6.501709499986425,0.142061111111101,0.9236400756896724,Ethylene glycol,mass,Antunez 2018,"Antunez 2018, Chemanalyst, Echemi",0.0007805555555555,,,197.0,15.0,15.0,,,,,182.0,,,,,,,62.068,,,Ethylene glycol,,,,,
Fe,sensible_thermal,hot,metal,2.9563001478237863,0.180277777777686,0.5329552210935168,Fe,,"Bauer 2012, Steinmann 2022","Alibaba, Steinmann 2022, USGS",0.0001527777777777,,,1200.0,,20.0,,,,,1180.0,,,,,,7525.0,55.845,,,"Cast iron, Iron",,,,,
Fe-air,coupled_battery,metal_air,,0.43378821659083494,1.2286069577501222,0.5329552210935168,Fe,,Weinrich 2019,"Alibaba, Steinmann 2022, USGS",,,,,,20.0,,,,,,1.28,,,,,,55.845,2.0,,Fe-air,,,,,
Fe2O3/Fe3O4,thermochemical,,oxides,0.8756485734916586,0.1348888888888889,0.1181152631354304,Iron Ore,,Andre 2016,"DERA, Olympios 2021, USGS",,,,,,20.0,1360.0,,,0.1348888888888889,,,,,,,,159.687,,,Fe2O3/Fe3O4,,,,,
Fe2O3/MnO2 nanowires,pseudocapacitor,,,14.927599061436482,0.03295000000000001,0.49186438907433216,"[('Iron Ore', 1), ('MnO2', 1)]",molar,Choi 2015,"0 : DERA, Olympios 2021, USGS, 1 : Alibaba, ISE, Indiamart, Li 2017",,,,,,20.0,,,,,,,0.6,,,,,246.623043,,,,,,659.0,,
FeCl2,flow_battery,,inorganic,11.839798315590478,0.16916731319666348,2.002906869838823,"[('FeCl2', 3)]",molar,Li 2017,"0 : Alibaba, Indiamart, Li 2017",,,,,,20.0,,,,,,1.2,,,,,,380.235,2.0,,,,,,,
FeCl3Zn,coupled_battery,hybrid_flow,Zn based,11.524698834952575,0.21343461288223814,2.459769634422484,"[('Zn', 1), ('FeCl2', 1)]",molar,Sanchez-diez 2020,"0 : Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba, Indiamart, Li 2017",,,,,,20.0,,,,,,1.53,,,,,,192.125,1.0,,Iron-acidic (FeCl3),,,,,
FeSO4/FeO,thermochemical,,sulfates,0.2503680303980844,0.6332722222222222,0.1585511189835958,FeSO4,,Andre 2016,"Alibaba, Indiamart",,,,,,20.0,1030.0,,,0.6332722222222222,,,,,,,,151.901,,,FeSO4/FeO,,,,,
Fossil CH4,synfuel,feedstock,,0.02086974770383983,15.919715763884561,0.3322404515091126,Fossil CH4,molar,Standard Gibbs,EIA Henry Hub,,,,,,20.0,,,0.2554,,,,,,,,,16.043,8.0,,,,,,,
GO/CNT,EDLC,,,,,,"[('Graphene Oxide', 1), ('CNT', 1)]",molar,,,,,,,,20.0,,,,,,,1.0,,,,,,,,,,,216.0,,
GO/Carbon,EDLC,,,779675.1353602663,0.20842013888888894,162500.0,Graphene Oxide,,Choi 2015,"Alibaba, Cheaptubes, Graphene supermarket",,,,,,20.0,,,,,,,3.5,,,,,,,,,,,122.5,,
Granite,sensible_thermal,both,rock,0.05129365879422851,0.44184166666661895,0.0226636756910708,Stone,,"Alva 2018, Bauer 2012, Liang 2022, Steinmann 2022","Steinmann 2022, USGS",0.0003083333333333,,,1273.0,-160.0,-160.0,,,,,1433.0,,,,,,2663.333333333333,162.0430768,,,"Granite, Granite (U)",,,,,
Graphene,EDLC,,,13619.593454593623,0.0705203125,960.4579865408969,Graphene,,Choi 2015,"Alibaba, Cheaptubes, Graphene supermarket",,,,,,20.0,,,,,,,1.65,,,,,,,,,,,186.5,,
Graphene/CNF,EDLC,,,,,,"[('Graphene', 1), ('Graphite', 1)]",molar,,,,,,,,20.0,,,,,,,1.5,,,,,,,,,,,174.0,,
Graphene/CNT,EDLC,,,,,,"[('Graphene', 1), ('CNT', 1)]",molar,,,,,,,,20.0,,,,,,,2.6,,,,,,,,,,,104.83333333333331,,
Graphene/carbon,EDLC,,,,,,"[('Graphene', 1), ('Graphite', 1)]",molar,,,,,,,,20.0,,,,,,,3.5,,,,,,,,,,,175.0,,
Graphite,sensible_thermal,hot,other_solid,3.1684829715099143,0.727222222222056,2.3041912276141834,Graphite,,"Bauer 2012, Liang 2022, Steinmann 2022","Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS",0.0001944444444444,,,3500.0,-240.0,-240.0,,,,,3740.0,,,,,,2300.0,72.066,,,Graphite,,,,,
Gravel,gravitational,block_stacking,,63.79115814989175,0.0005449999999999999,0.034766181191691,Gravel,,Sterner 2019,USGS,,,,,,20.0,,1.0,,,,,,200.0,,,,231.339,,,,,,,,
Gravel,sensible_thermal,both,rock,0.06003600113688663,0.5790888888888763,0.034766181191691,Gravel,,"Bauer 2012, Liang 2022",USGS,0.0005111111111111,,,973.0,-160.0,-160.0,,,,,1133.0,,,,,,2329.0,231.339,,,"Gravel, quartz (U), Soil (gravelly)",,,,,
H2 (Feedstock),synfuel,feedstock,,0.0004983408775300809,3.658062725506522,0.001822962188689,"[('Water', 1)]",molar,Synfuel feedstock,"0 : Antunez 2018, Li 2017",,,,,,20.0,,,0.0659,,,,,,,,,18.015,2.0,Based on hypotheticical reversible electrochemical oxidation reaction,Synthetic H2,,,,,
H2 (LRC),synfuel,underground,,0.6798337759484068,32.68849206349206,22.222740989583336,LRC,volumetric,Cavern,"Lord 2014, Papadias 2021",,,,,,20.0,,,0.0659,,,,,,,,8.271123234843682,2.016,2.0,,,,,,,
H2 (Salt),synfuel,underground,,0.07025943350133217,32.68849206349206,2.296674934393745,Salt Cavern,volumetric,Cavern,"ETI 2018, Lord 2014, Papadias 2021",,,,,,20.0,,,0.0659,,,,,,,,8.271123234843682,2.016,2.0,,,,,,,
H2 Spherical Pressure,synfuel,tank,,20.8836892955648,32.68849206349206,682.6563117945041,Spherical Pressure,volumetric,Tietze 2016,Tietze 2016,,,,,,20.0,,,0.0659,,,,,,,,0.0899435029591919,2.016,2.0,,,,,,,
H2/Br2,flow_battery,,inorganic,8.429041927195795,0.36105292031946923,3.043330203309289,HBr,,Sanchez-diez 2020,"Alibaba, Indiamart, Li 2017",,,,,,20.0,,,,,,1.09,,,,,,80.912,1.0,,,,,,,
HITEC,latent_thermal,hot,molten_salt,60.909168124973434,0.0233333333333333,1.4212139229160448,HITEC,,Steinmann 2022,Steinmann 2022,,,,,,20.0,,,,,,,,,,,2057.0,,,,KNO3-NaNO2-NaNO3,142.0,0.0233333333333333,,,
HITEC,sensible_thermal,hot,molten_salt,8.292199676663087,0.1713916666666623,1.4212139229160448,HITEC,,"Alva 2018, Steinmann 2022",Steinmann 2022,0.0004361111111111,,,535.0,142.0,142.0,,,,,393.0,,,,,,1800.0,,,,"HITEC, HITEC, NaNO3eKNO3e NaNO2",,,,,
HITEC XL,sensible_thermal,hot,molten_salt,8.511807523818247,0.153055555555526,1.3027794293397077,HITEC XL,mass,"Alva 2018, Antunez 2018, Steinmann 2022","Alva 2018, Antunez 2018, Steinmann 2022",0.0004027777777777,,,500.0,120.0,120.0,,,,,380.0,,,,,,1900.0,5268.567885,,,"HITEC XL, HITEC XL, NaNO3e KNO3eCa(NO3)2, Hitec XL",,,,,
Hollow NiCo2S4 nanoplates,pseudocapacitor,,,,,,NiCo2S4,,,,,,,,,20.0,,,,,,,0.5,,,,,,,,,,,334.0,,
I3/Zn,coupled_battery,hybrid_flow,Zn based,160.48092399935427,0.10663829357273123,17.11341188626631,ZnI2,molar,Sanchez-diez 2020,"Alibaba, Indiamart",,,,,,20.0,,,,,,1.27,,,,,,319.18894,1.0,,Iodine (I3?),,,,,
ICB,flow_battery,,inorganic,21.144549869680123,0.29326146421808474,6.2008816550147055,"[('Cr', 1), ('Fe', 1)]",molar,Li 2017,"0 : Alibaba, ISE, Indiamart, Ray 2021, USGS, 1 : Alibaba, Steinmann 2022, USGS",,,,,,20.0,,,,,,1.18,,,,,,107.8411,1.0,,,,,,,
IM7/8551-7,flywheel,,composite,71.49822306116168,0.37648830533201577,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.2,,,20.0,,,,,,,,,,,,,,,IM7-8551–7,,,,1626.4294790343074,
IM7/8551-7,pressure_tank,,composite,59.58185255096807,0.4517859663984189,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.0,,,20.0,,,,,,,,,,,,,,,IM7-8551–7,,,,1626.4294790343074,
IM7/8551-7,smes,,composite,89.3727788264521,0.3011906442656126,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.5,,,20.0,,,,,,,,,,,,,,,IM7-8551–7,,,,1626.4294790343074,
IM7/8552,flywheel,,composite,67.8161830643288,0.3969295176788881,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.2,,,20.0,,,,,,,,,,,,,,,IM7–8552,,,,1714.735516372796,
IM7/8552,pressure_tank,,composite,56.513485886940664,0.47631542121466575,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.0,,,20.0,,,,,,,,,,,,,,,IM7–8552,,,,1714.735516372796,
IM7/8552,smes,,composite,84.770228830411,0.3175436141431105,26.91824483454721,CFRP,,Kale 2018,"Indiamart, Kale 2018, Rao 2018, Singh Gill 2022",,,1.5,,,20.0,,,,,,,,,,,,,,,IM7–8552,,,,1714.735516372796,
Iron Ore,sensible_thermal,both,other_solid,0.3645532812821926,0.324,0.1181152631354304,Iron Ore,,"Grosu 2017, Liang 2022, Molgaard 1971","DERA, Olympios 2021, USGS",0.00027,,,1000.0,-200.0,-200.0,,,,,1200.0,,,,,,5175.0,159.687,,"Taken from Fig 7 assuming approximately 500C, dx.doi.org/10.1063/1.1660785","Magnetite, Magnetite (U)",,,,,
Isopentane,sensible_thermal,cold,hydrocarbon,10.882877168326306,0.0923611111110975,1.005154627352212,Isopentane,mass,"Antunez 2018, Liang 2022","Antunez 2018, Echemi",0.0005277777777777,,,15.0,-160.0,-160.0,,,,,175.0,,,,,,750.0,72.151,,,Isopentane,,,,,
K-O2,coupled_battery,metal_air,,56.61765545382095,1.7000085539382646,96.25049857542506,K,,Weinrich 2019,"Kim 2013, SMM",,,,,,20.0,,,,,,2.48,,,,,,39.0983,1.0,,K-O2,,,,,
K/Al,coupled_battery,liquid_metal_battery,,,,,"[('K', 0.5), ('Al', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,K/Al,,,,,
K/Bi,coupled_battery,liquid_metal_battery,,161.9680157315923,0.14584837392327518,23.62277172203219,"[('K', 0.5), ('Bi', 0.5)]",molar,Kim 2013,"0 : Kim 2013, SMM, 1 : Alibaba, ISE, Indiamart, Kim 2013, USGS",,,,,,20.0,,,,,,0.675,,,,,,124.03935,1.0,,K/Bi,,,,,
K/Cd,coupled_battery,liquid_metal_battery,,,,,"[('K', 0.5), ('Cd', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,K/Cd,,,,,
K/Ga,coupled_battery,liquid_metal_battery,,,,,"[('K', 0.5), ('Ga', 0.5)]",molar,,,,,,,,20.0,,,,,,,,,,,,,1.0,,K/Ga,,,,,
