,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
TiO2,3.294836160000001,,,DERA,TITAN,,,,,
TiO2,1.3195839300000003,,,DERA,TITAN,,,,,
V,42.51,,,DERA,VANADIUM,,,,,
W,32.48,,,DERA,WOLFRAM,,,,,
W,35.76,,,DERA,WOLFRAM,,,,,
Zn,2.72685,,,DERA,ZINK,,,,,
Sn,21.72517,,,DERA,ZINN,,,,,
Zr,1.37196,,,DERA,ZIRKON,,,,,
Ag,608.4850295578531,Ag,,USGS,Silver Bullion,,,,,
Al,2.3906927711328128,Al,,USGS,Aluminum Ingot,,,,,
Al2O3,0.5335186744874038,Al2O3,,USGS,Bauxite and Alumina Alumina,,,,,
AlSc,340.0,AlSc,,USGS,Scandium Mtl_Alloy,,,,,
As,1.542,As,,USGS,Arsenic Mtl-CN,,,,,
As2O3,0.609,As2O3,,USGS,"Arsenic Triox-CN, Arsenic Triox-MA",,,,,
Asbestos,2.0326620573445715,Mg3Si2O5(OH)4,,USGS,Asbestos Customs,,,,,
Au,48238.98015156943,Au,,USGS,Gold ,,,,,
B,0.4274763263764776,B,,USGS,Boron CIF,,,,,
Barite,0.1977546491798352,BaSO4,,USGS,Barite ,,,,,
Bauxite,0.0335102638521013,AlHO2,,USGS,Bauxite and Alumina Bauxite,,,,,
Be,616.0,Be,,USGS,Beryllium Alloy,,,,,
Bi,8.421658415462323,Bi,,USGS,Bismuth ,,,,,
Br2,2.442,Br2,,USGS,Bromine Imports,,,,,
C6H12O6Sc,44200.0,C6H12O6Sc,,USGS,Scandium Cmpds_Acetate,,,,,
CaF2,0.2847270116117694,CaF2,,USGS,"Fluorspar Acid, Fluorspar Metallurgical",,,,,
CaO,0.1560983047400025,CaO,,USGS,"Lime Hydrated, Lime Quicklime",,,,,
CaSO4,0.0198416035966389,CaSO4,,USGS,"Gypsum Mine, Gypsum Plant",,,,,
Cd,2.418,Cd,,USGS,Cadmium Metal,,,,,
CeO2,2.0,CeO2,,USGS,Rare Earths CeO2,,,,,
Celestite,0.0892872161848754,SrSO4,,USGS,Strontium ,,,,,
Cement,0.1344819799327753,CaAl2O6Si,,USGS,Cement Avg,,,,,
Clay,0.0792929269658276,Al2O5Si,,USGS,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin",,,,,
Co,50.56522445472352,Co,,USGS,"Cobalt LME, Cobalt Spot",,,,,
Cr,10.32711374752622,Cr,,USGS,Chromium Metal,,,,,
CrFeO4,0.2590431580672311,CrFeO4,,USGS,Chromium Ore,,,,,
Cu,6.868575265790589,Cu,,USGS,"Copper COMEX, Copper LME, Copper US",,,,,
Diamond,21410.0,C,,USGS,"Diamond (Industrial) Bort_Imports, Diamond (Industrial) Stones_Imports",,,,,
Diatomite,0.3725812230924431,SiO2,,USGS,Diatomite ,,,,,
Dy2O3,253.2,Dy2O3,,USGS,Rare Earths Dy2O3,,,,,
Eu2O3,45.4,Eu2O3,,USGS,Rare Earths Eu2O3,,,,,
Fe,0.180117668205045,Fe,,USGS,"Iron and Steel Scrap , Iron and Steel Slag ",,,,,
FeCr,2.5282612227361763,FeCr,,USGS,Chromium Ferrrochromium,,,,,
FeSi2,2.260730267574827,FeSi2,,USGS,"Silicon FeSi2_50, Silicon FeSi2_75",,,,,
FeTiO3,0.3802974022689138,FeTiO3,,USGS,"Titanium Mineral Concentrates Ilmenite, Titanium Mineral Concentrates Ilmente_Leucoxene",,,,,
Feldspar,0.1067037348974807,AlKO8Si3,,USGS,Feldspar and Nepheline Syenite Feldspar,,,,,
Ga,236.69626852115405,Ga,,USGS,"Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import",,,,,
Ge,1221.4,Ge,,USGS,Germanium Metal,,,,,
GeO2,844.4,GeO2,,USGS,Germanium GeO2,,,,,
Graphite,1.601658334773136,C6,,USGS,"Graphite (Natural) Amorphous, Graphite (Natural) Flake, Graphite (Natural) Lump",,,,,
Gravel,0.0291803850227903,C15H21NO,,USGS,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) ",,,,,
H3N,0.3291501574420222,H3N,,USGS,Nitrogen (Fixed)--Ammonia ,,,,,
Hf,0.9038952749579982,Hf,,USGS,Zirconium and Hafnium Hf_unwrought,,,,,
Hg,47.11101440866455,Hg,,USGS,"Mercury EU, Mercury Global",,,,,
I2,26.392000000000003,I2,,USGS,Iodine Crude_CIF,,,,,
In,265.9166666666667,In,,USGS,"Indium FOB, Indium NY, Indium Rotterdam",,,,,
