,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
Cr,11.574268764706073,Cr,,Ray 2021,Chromium (Cr),,,,,
V,451.947637478999,V,,Ray 2021,Vanadium (V),,,,,
Metallurgical Silicon,2.9762405394958478,Si,,Ray 2021,Silicon (Si),,,,,
B,49.60400899159745,B,,Ray 2021,Boron (B),,,,,
Al,3.858089588235357,Al,,Ray 2021,Aluminium (Al),,,,,
Toluene,0.32,C7H6,,Southhall 2022,Toluene,,,,,
Naphthalene,0.64,C10H18,,Southhall 2022,Naphthalene,,,,,
DBT,4.229,C21H20,,Southhall 2022,dibenzyltoluene,,,,,
NEC,42.29,C14H25N,,Southhall 2022,N-ethylcarbazole,,,,,
Al,1.9477500000000003,,,Steinmann 2022,Aluminium,,,,,
Al2O3,1.1130000000000002,,,Steinmann 2022,Al2O3,,,,,
Concrete,0.027825,,,Steinmann 2022,Concrete,,,,,
Fe,0.5008500000000001,,,Steinmann 2022,Cast iron,,,,,
Graphite,3.6172500000000007,,,Steinmann 2022,Graphite,,,,,
HITEC,1.3356000000000003,,,Steinmann 2022,HITEC,,,,,
HITEC XL,1.2243000000000004,,,Steinmann 2022,HITEC XL,,,,,
KNO3,0.8904000000000002,,,Steinmann 2022,KNO3,,,,,
LiF,6.010200000000001,,,Steinmann 2022,LiF,,,,,
MgO,0.7791000000000002,,,Steinmann 2022,MgO,,,,,
Mobiltherm 605,3.339000000000001,,,Steinmann 2022,Mobiltherm 605,,,,,
Na,2.2260000000000004,,,Steinmann 2022,Sodium,,,,,
NaCl,0.027825,,,Steinmann 2022,NaCl,,,,,
NaNO3,0.6678000000000002,,,Steinmann 2022,NaNO3,,,,,
S,0.4452000000000001,,,Steinmann 2022,Sulfur,,,,,
SiO2,0.6678000000000002,,,Steinmann 2022,SiO2,,,,,
Solar Salt,0.7791000000000002,,,Steinmann 2022,Solar Salt,,,,,
Stone,0.027825,,,Steinmann 2022,"Basalt, Granite, Limestone, Sandstone",,,,,
Vegetable Oil,0.6678000000000002,,,Steinmann 2022,Sunflower oil,,,,,
H2 Spherical Pressure,682.656311794504,H2,,Tietze 2016,,,,,,
CH4 Spherical Pressure,85.78415038195598,CH4,,Tietze 2016,,,,,,
CO2,0.04,CO2,,Knighton 2020,Cyrogenic Carbon Capture,,,,,
CO2,0.195,CO2,,Zhao 2019,DAC Carbon Capture,,,,,
N2,0.1612,N2,,Rutherford & Titan,Liquid Nitrogen,Converted to mass with density 0.8064 g/ml,,,,
N2,0.1401,N2,,Salerno 2002,Liquid Nitrogen,Converted to mass with density 0.8064 g/ml,,,,
AQDS,9.5,,,Alibaba,,,,,,
Al,1.52,Al,,Alibaba,,,,,,
Al2O3,8.0,Al2O3,,Alibaba,,,,,,
B,220.0,B,,Alibaba,,,,,,
Ba,89.0,Ba,,Alibaba,,,,,,
Ba(OH)2,0.4676,Ba(OH)2,,Alibaba,,,,,,
BaCO3,0.4105,BaCO3,,Alibaba,,,,,,
BaO,2.0,BaO,,Alibaba,,,,,,
BaO2,10.0,,,Alibaba,,,,,,
Bi,12.0,Bi,,Alibaba,,,,,,
Bipyridine,8.5,(C5H4N)2,,Alibaba,,,,,,
CNT,100.0,,,Alibaba,,,,,,
Ca,4.5,Ca,,Alibaba,,,,,,
Ca(OH)2 ,0.08,Ca(OH)2 ,,Alibaba,,,,,,
CaCO3,0.349,CaCO3,,Alibaba,,,,,,
CaCl2,0.14,CaCl2,,Alibaba,,,,,,
CaF2,0.25,CaF2,,Alibaba,,,,,,
CaSO4,0.4,CaSO4,,Alibaba,,,,,,
Cd,23.0,Cd,,Alibaba,,,,,,
Cd(OH)2,22.5,Cd(OH)2,,Alibaba,,,,,,
CdCO3,0.5,CdCO3,,Alibaba,,,,,,
CdSO4 ,10.0,CdSO4 ,,Alibaba,,,,,,
CeO2,3.4,CeO2,,Alibaba,,,,,,
Clay,0.15,,,Alibaba,,,,,,
Co,15.0,Co,,Alibaba,,,,,,
Co3O4,17.5,Co3O4,,Alibaba,,,,,,
CoCl2,26.021922828148245,CoCl2,,Alibaba,,,,,,
CoO,35.835,CoO,,Alibaba,,,,,,
CoSO4,20.7,CoSO4,,Alibaba,,,,,,
Cr,16.0,Cr,,Alibaba,,,,,,
Cr2O3,3.8,Cr2O3,,Alibaba,,,,,,
Cu,6.25,Cu,,Alibaba,,,,,,
CuO,11.5,CuO,,Alibaba,,,,,,
CuSO4,1.5,CuSO4,,Alibaba,,,,,,
Fe,0.5575,Fe,,Alibaba,,,,,,
FeCl2,1.8822517653556352,FeCl2,,Alibaba,,,,,,
FeSO4,0.09,FeSO4,,Alibaba,,,,,,
GRE,14.5,,,Alibaba,,,,,,
Ga,414.3,Ga,,Alibaba,,,,,,
Graphene,902.6,,,Alibaba,,,,,,
Graphene Oxide,200.49,,,Alibaba,,,,,,
Graphite,0.8,,,Alibaba,,,,,,
HBr,1.8,HBr,,Alibaba,,,,,,
In,210.0,In,,Alibaba,,,,,,
K2CO3,0.79,K2CO3,,Alibaba,,,,,,
K2SO4,0.35,K2SO4,,Alibaba,,,,,,
K4Fe(CN)6,4.462072311320166,C6FeK4N6,,Alibaba,,,,,,
KCl,0.5575,KCl,,Alibaba,,,,,,
KNO3,0.45,KNO3,,Alibaba,,,,,,
KOH,0.78,KOH,,Alibaba,,,,,,
LFP,20.0,,,Alibaba,,,,,,
LMNO,50.0,,,Alibaba,,,,,,
LMO,12.5,,,Alibaba,,,,,,
LTO,45.0,,,Alibaba,,,,,,
LaNi5,80.0,LaNi5,,Alibaba,,,,,,
Li,0.5,Li,,Alibaba,,,,,,
Li2CO3,51.295,Li2CO3,,Alibaba,,,,,,
Li2O,100.0,Li2O,,Alibaba,,,,,,
Li2S,2400.0,Li2S,,Alibaba,,,,,,
Li2SO4,5.0,Li2SO4,,Alibaba,,,,,,
LiCl,5.5,LiCl,,Alibaba,,,,,,
LiF,20.0,LiF,,Alibaba,,,,,,
LiOH,6.045387731239822,LiOH,,Alibaba,,,,,,
Metallurgical Silicon,1.35,Si,,Alibaba,,,,,,
Mg,6.8,Mg,,Alibaba,,,,,,
Mg(NO3)2,0.22,Mg(NO3)2,,Alibaba,,,,,,
Mg(OH)2,0.3,Mg(OH)2,,Alibaba,,,,,,
MgCO3,0.5,MgCO3,,Alibaba,,,,,,
MgCl2,0.165,MgCl2,,Alibaba,,,,,,
MgF2,82.0,MgF2,,Alibaba,,,,,,
MgO,0.1,MgO,,Alibaba,,,,,,
MgSO4,0.1433406169772601,MgSO4,,Alibaba,,,,,,
MnO2,0.35,MnO2,,Alibaba,,,,,,
MnSO4,0.4,MnSO4,,Alibaba,,,,,,
MoS2,34.45,MoS2,,Alibaba,,,,,,
NCA,80.0,,,Alibaba,,,,,,
NCM111,59.0,,,Alibaba,,,,,,
NCM622,60.0,,,Alibaba,,,,,,
Na,3.0,Na,,Alibaba,,,,,,
Na2CO3,0.245,Na2CO3,,Alibaba,,,,,,
Na2SO4,0.0775,Na2SO4,,Alibaba,,,,,,
NaBr,1.825,NaBr,,Alibaba,,,,,,
NaCl,0.045,NaCl,,Alibaba,,,,,,
NaOH,0.64,NaOH,,Alibaba,,,,,,
Ni,35.0,Ni,,Alibaba,,,,,,
NiCl2,14.489155003264056,NiCl2,,Alibaba,,,,,,
NiSO4,5.0,NiSO4,,Alibaba,,,,,,
Pb,1.64,Pb,,Alibaba,,,,,,
PbCO3,4.5,PbCO3,,Alibaba,,,,,,
PbO,1.945,PbO,,Alibaba,,,,,,
Polysilicon,1.512,Si,,Alibaba,,,,,,
PtO2,15.0,PtO2,,Alibaba,,,,,,
Sand,0.0849999999999999,SiO2,,Alibaba,,,,,,
Sb,4.2,Sb,,Alibaba,,,,,,
Sb2O3,7.5,Sb2O3,,Alibaba,,,,,,
SiO2,6.5,SiO2,,Alibaba,,,,,,
Sn,46.45,Sn,,Alibaba,,,,,,
SrCO3,0.95,SrCO3,,Alibaba,,,,,,
Steel,0.6,Fe,,Alibaba,,,,,,
Te,120.0,Te,,Alibaba,,,,,,
V,290.0,V,,Alibaba,,,,,,
V2O5,5.0,V2O5,,Alibaba,,,,,,
Zn,0.51051,Zn,,Alibaba,,,,,,
ZnBr2,2.5,ZnBr2,,Alibaba,,,,,,
ZnCO3,1.95,ZnCO3,,Alibaba,,,,,,
ZnCl2,0.95,ZnCl2,,Alibaba,,,,,,
ZnI2,10.0,ZnI2,,Alibaba,,,,,,
ZnSO4,0.6234009142942094,ZnSO4,,Alibaba,,,,,,
CNT,1042.857142857143,,,Cheaptubes,,,,,,
Graphene,450.0,,,Cheaptubes,,,,,,
Graphene Oxide,162500.0,,,Cheaptubes,,,,,,
N-hexane,1.734,C6H14,,Chemanalyst,,,,,,
Ethanol,0.8225,C2H6O,,Chemanalyst,,,,,,
N-Propane,0.97,C3H8,,Chemanalyst,,,,,,
Methanol,0.638,CH3OH,,Chemanalyst,,,,,,
Naphthalene,1.307,C10H8,,Chemanalyst,,,,,,
Toluene,1.166,C7H8,,Chemanalyst,,,,,,
Ethylene glycol,0.868,C2H6O2,,Chemanalyst,,,,,,
Al2O3,1.005073,Al2O3,,Echemi,,,,,,
Barite,0.385,BaSO4,,Echemi,,,,,,
BaCO3,0.48,BaCO3,,Echemi,,,,,,
CaCO3,0.311559,CaCO3,,Echemi,,,,,,
CaCl2,0.101678,CaCl2,,Echemi,,,,,,
C,1.5277500000000002,C,,Echemi,,,,,,
MgCO3,0.895402,MgCO3,,Echemi,,,,,,
MgO,1.527539,MgO,,Echemi,,,,,,
NaHCO3,0.364,NaHCO3,,Echemi,,,,,,
Na2SO4,0.116384,Na2SO4,,Echemi,,,,,,
ZnCl2,2.178017,ZnCl2,,Echemi,,,,,,
LiOH,72.56666760000002,LiOH,,Echemi,,,,,,
Li2CO3,78.96000000000001,Li2CO3,,Echemi,,,,,,
KOH,1.39637036,KOH,,Echemi,,,,,,
Ethanol,0.94675,C2H6O,,Echemi,,,,,,
Methanol,0.367017,CH3OH,,Echemi,,,,,,
N-propanol,1.15733338,C3H80,,Echemi,,,,,,
N-hexane,1.4280000000000002,C6H14,,Echemi,,,,,,
Br2,6.879023,Br2,,Echemi,,,,,,
NaOH,0.272412,NaOH,,Echemi,,,,,,
Metallurgical Silicon,3.0058,Si,,Echemi,,,,,,
Na2CO3,0.369425,Na2CO3,,Echemi,,,,,,
S,0.1773338,S,,Echemi,,,,,,
K2SO4,0.5576662,K2SO4,,Echemi,,,,,,
K2CO3,1.2950000000000002,K2CO3,,Echemi,,,,,,
KCl,0.5366662000000001,KCl,,Echemi,,,,,,
Bipyridine,44.933375,(C5H4N)2,,Echemi,,,,,,
Toluene,1.00485,C7H8,,Echemi,,,,,,
Ethylene glycol,0.5502,C2H6O2,,Echemi,,,,,,
Isopentane,0.484551,C5H12,,Echemi,,,,,,
CNT,1000.0,,,Graphene supermarket,"Multi-Walled Carbon Nanotube Powder, 100 grams",https://www.graphene-supermarket.com/collections/carbon-materials/products/multi-walled-carbon-nanotube-powder-100-grams,,,,
Graphene Oxide,193548.0,,,Graphene supermarket,Ultra Highly Concentrated Single-Layer Graphene Oxide,converted with concentration of 6.2 g/L   https://www.graphene-supermarket.com/collections/graphene-oxide-go/products/copy-of-ultra-highly-concentrated-single-layer-graphene-oxide-60-ml,,,,
Graphene,1000.0,,,Graphene supermarket,Electrically Conductive Granulated Graphene: 100 Grams,https://www.graphene-supermarket.com/collections/graphene-nanoplatelets-gnp/products/electrically-conductive-granulated-graphene-100-grams,,,,
Al,2.405,Al,,Indiamart,,,,,,
Al2O3,0.52,Al2O3,,Indiamart,,,,,,
Ba(OH)2,1.066,Ba(OH)2,,Indiamart,,,,,,
BaCO3,3.133,BaCO3,,Indiamart,,,,,,
Bi,7.8,Bi,,Indiamart,,,,,,
CFRP,57.6875,,,Indiamart,,,,,,
Ca,7.3125,Ca,,Indiamart,,,,,,
Ca(NO3)2,0.325,Ca(NO3)2,,Indiamart,,,,,,
Ca(OH)2 ,0.0844999999999999,Ca(OH)2 ,,Indiamart,,,,,,
CaCO3,0.2001999999999999,CaCO3,,Indiamart,,,,,,
CaCl2,0.0974999999999999,CaCl2,,Indiamart,,,,,,
CaF2,2.86,CaF2,,Indiamart,,,,,,
CaSO4,0.6499999999999999,CaSO4,,Indiamart,,,,,,
Cd,4.55,Cd,,Indiamart,,,,,,
CdCO3,21.216,CdCO3,,Indiamart,,,,,,
CeO2,9.5875,CeO2,,Indiamart,,,,,,
Clay,2.8600000000000003,,,Indiamart,,,,,,
CoCl2,23.4,CoCl2,,Indiamart,,,,,,
CoO,42.25,CoO,,Indiamart,,,,,,
CoSO4,7.93,CoSO4,,Indiamart,,,,,,
Cr,10.4,Cr,,Indiamart,,,,,,
Cr2O3,6.8705,Cr2O3,,Indiamart,,,,,,
Cu,7.409999999999999,Cu,,Indiamart,,,,,,
CuO,8.45,CuO,,Indiamart,,,,,,
CuSO4,3.12,CuSO4,,Indiamart,,,,,,
FeCl2,0.1949999999999999,FeCl2,,Indiamart,,,,,,
FeSO4,0.208,FeSO4,,Indiamart,,,,,,
Ga,5.59,Ga,,Indiamart,,,,,,
Graphite,0.8125,,,Indiamart,,,,,,
HBr,2.86,HBr,,Indiamart,,,,,,
In,325.0,In,,Indiamart,,,,,,
K2CO3,1.3,K2CO3,,Indiamart,,,,,,
K2SO4,0.54925,K2SO4,,Indiamart,,,,,,
KCl,0.3964999999999999,KCl,,Indiamart,,,,,,
KNO3,0.676,KNO3,,Indiamart,,,,,,
KOH,1.4300000000000002,KOH,,Indiamart,,,,,,
Li2CO3,46.8,Li2CO3,,Indiamart,,,,,,
LiCl,52.0,LiCl,,Indiamart,,,,,,
LiOH,43.225,LiOH,,Indiamart,,,,,,
Metallurgical Silicon,3.8675,Si,,Indiamart,,,,,,
Mg,3.3475,Mg,,Indiamart,,,,,,
Mg(NO3)2,0.52,Mg(NO3)2,,Indiamart,,,,,,
Mg(OH)2,1.482,Mg(OH)2,,Indiamart,,,,,,
MgCO3,1.69,MgCO3,,Indiamart,,,,,,
MgCl2,0.091,MgCl2,,Indiamart,,,,,,
MgF2,1.885,MgF2,,Indiamart,,,,,,
MgO,0.299,MgO,,Indiamart,,,,,,
MgSO4,0.182,MgSO4,,Indiamart,,,,,,
MnO2,0.4549999999999999,MnO2,,Indiamart,,,,,,
MnSO4,0.52,MnSO4,,Indiamart,,,,,,
MoS2,37.05,MoS2,,Indiamart,,,,,,
Mobiltherm 605,2.406456,,,Indiamart,,,,,,
Na,3.25,Na,,Indiamart,,,,,,
Na2CO3,0.52,Na2CO3,,Indiamart,,,,,,
Na2SO4,0.091,Na2SO4,,Indiamart,,,,,,
NaBr,3.25,NaBr,,Indiamart,,,,,,
NaCl,0.0285999999999999,NaCl,,Indiamart,,,,,,
NaF,2.405,NaF,,Indiamart,,,,,,
NaNO3,1.105,NaNO3,,Indiamart,,,,,,
NaOH,0.728,NaOH,,Indiamart,,,,,,
NiCl2,7.93,NiCl2,,Indiamart,,,,,,
NiSO4,5.785,NiSO4,,Indiamart,,,,,,
Pb,2.925,Pb,,Indiamart,,,,,,
S,0.4679999999999999,S,,Indiamart,,,,,,
Sand,0.0299,SiO2,,Indiamart,,,,,,
Sb,11.18,Sb,,Indiamart,,,,,,
Sb2O3,13.26,Sb2O3,,Indiamart,,,,,,
SiO2,0.64675,SiO2,,Indiamart,,,,,,
Sn,22.7435,Sn,,Indiamart,,,,,,
SrCO3,4.68,SrCO3,,Indiamart,,,,,,
Steel,6.175000000000001,Fe,,Indiamart,,,,,,
V,25.8375,V,,Indiamart,,,,,,
V2O5,16.9,V2O5,,Indiamart,,,,,,
Zn,4.173,Zn,,Indiamart,,,,,,
ZnBr2,2.6,ZnBr2,,Indiamart,,,,,,
ZnCO3,2.0475000000000003,ZnCO3,,Indiamart,,,,,,
ZnCl2,1.3325,ZnCl2,,Indiamart,,,,,,
ZnI2,22.165,ZnI2,,Indiamart,,,,,,
ZnSO4,0.91,ZnSO4,,Indiamart,,,,,,
Ammonium Heptamolybdate,19.018,H50Mo7N6O28 ,,ISE,Ammonium heptamolybdate,,,,,
Ammonium Paratungstate,20.13233333333333,(NH4)10(H2W12O42)(H2O)4,,ISE,Tungsten APT,,,,,
Ammonium Tetrathiomolybdate,18.728,H10MoN2S4,,ISE,Ammonium Tetrathiomolybdate,,,,,
Antimony Ethylene Glycoxide,5.299,,,ISE,Antimony ethelyene_glycol,,,,,
As,1.145,As,,ISE,Arsenic metal,,,,,
As2O3,0.43,As2O3,,ISE,Arsenic trioxide,,,,,
Bi,6.333515876680751,Bi,,ISE,Bismuth ingot,,,,,
Bi2O3,6.497,Bi2O3,,ISE,Bismuth oxides,,,,,
CCoO3,14.445,CCoO3,,ISE,Cobalt Carbonates,,,,,
CW,28.475,CW,,ISE,Tungsten carbide,,,,,
Ca,3.773600000000001,Ca,,ISE,"Calcium Granule, Calcium Ingot",,,,,
Cd,2.7847394487955484,Cd,,ISE,Cadmium Ingot,,,,,
ClLi,9.7995,ClLi,,ISE,Lithium chlorides,,,,,
Co,27.90081991332564,Co,,ISE,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal",,,,,
Co3O4,22.2,Co3O4,,ISE,"Cobalt Tetroxide, Cobalt oxides",,,,,
CoCl2,6.388,CoCl2,,ISE,Cobalt Chloride,,,,,
CoO,31.6,CoO,,ISE,Cobalt Monoxide,,,,,
CoSO4,5.3715,CoSO4,,ISE,Cobalt sulphates,,,,,
Cr,8.244,Cr,,ISE,Chromium metal,,,,,
CrFeO4,0.1229772727272727,CrFeO4,,ISE,"Chrome Conc., Chrome lump",,,,,
FeTiO3,0.3993333333333334,FeTiO3,,ISE,"Ilmenite Conc, Ilmenite Reduced, Rutile Conc, Titanium Slag",,,,,
Ga,151.625,Ga,,ISE,Gallium metal,,,,,
Ge,1152.75,Ge,,ISE,Germanium metal,,,,,
GeO2,720.5,GeO2,,ISE,Germanium dioxides,,,,,
In,168.75,In,,ISE,Indium ingot,,,,,
LCO,28.950000000000003,LiCoO2,,ISE,Lithium Cobaltate,,,,,
LMO,6.968500000000001,LiMn2O4,,ISE,Lithium manganates,,,,,
La,5.143,La,,ISE,Lanthanum metal,,,,,
Li,100.17275,Li,,ISE,Lithium metal,,,,,
Li2CO3,11.243,Li2CO3,,ISE,Lithium Carbonates,,,,,
LiOH,23.09732377750867,LiOH,,ISE,Lithium hydroxides_monohydrates,,,,,
Metallurgical Silicon,1.765666728000003,,,ISE,Silicon metal,,,,,
Mg,7.123875000000001,Mg,,ISE,"Magnesium Ingot, Magnesium Powder, Manganese flakes, Mercury metal",,,,,
Mn,2.005,Mn,,ISE,"Manganese Briquette, Manganese Lump",,,,,
MnO2,1.60425,MnO2,,ISE,Manganese dioxides,,,,,
MnSO4,0.9875,MnSO4,,ISE,Manganese sulphates,,,,,
Mo,43.63333333333333,Mo,,ISE,"Molybdenum Powder, Molybdenum Rod, Molybdenum bar",,,,,
MoO3,25.66737438890782,MoO3,,ISE,Molybdenum oxides,,,,,
MoS2,26.35,MoS2,,ISE,Molybdenum Conc.,,,,,
NH4VO3,16.913,NH4VO3,,ISE,Ammonium metavanadate,,,,,
NV,27.0755,NV,,ISE,Vanadium nitrides,,,,,
Na2WO4,14.9535,Na2WO4,,ISE,Sodium Tungstate,,,,,
NaMo2O4,12.485,NaMo2O4,,ISE,Sodium Molybdate,,,,,
Nb2O5,35.47264430285721,Nb2O5,,ISE,"Niobium Conc., Niobium pentoxides",,,,,
Polysilicon,10.55,,,ISE,Silicon polysilicon,,,,,
Re,1502.5,Re,,ISE,Rhenium APR,,,,,
Sb,5.963108856403383,Sb,,ISE,Antimony Ingot,,,,,
Sb2O3,5.37909715663868,Sb2O3,,ISE,Antimony Trioxide,,,,,
Se,20.271760276302707,Se,,ISE,Selenium Powder,,,,,
SeO2,12.7,SeO2,,ISE,Selenium dioxides,,,,,
Sr,6.80275,Sr,,ISE,Strontium metal,,,,,
Ta,281.6666666666667,Ta,,ISE,Tantalum metal,,,,,
Ta2O5,197.93038657815163,Ta2O5,,ISE,"Tantalum Conc., Tantalum pentoxide",,,,,
Te,55.96666666666667,Te,,ISE,Tellurium metal,,,,,
Ti,15.731000000000002,Ti,,ISE,"Titan Sponge, Titanium pipe, Titanium plate",,,,,
TiCl4,1.1685,TiCl4,,ISE,Titanium tetrachloride,,,,,
TiO2,1.9813333333333332,TiO2,,ISE,Titanium Dioxide,,,,,
V2O5,17.306960589916155,V2O5,,ISE,Vanadium pentoxides,,,,,
W,24.34285714285715,W,,ISE,"Tungsten powder, Tungsten scrap, Wolfram Bar",,,,,
WO3,18.81775,WO3,,ISE,"Tungsten oxides, Wolfram Ore",,,,,
Zr,35.85,Zr,,ISE,Zirconium Sponge,,,,,
Zr(CO3)2,3.3825000000000003,Zr(CO3)2,,ISE,Zirconium Carbonates,,,,,
ZrCl2H2O,2.272,ZrCl2H2O,,ISE,Zirconium Oxychloride,,,,,
ZrO2,4.3555,ZrO2,,ISE,Zirconium fused_cubic,,,,,
ZrSiO4,1.6375,ZrSiO4,,ISE,"Zircon sand, Zirconium silicate",,,,,
Au,56948.62,Au,,Kitco,,,,,,
Ag,697.51,Ag,,Kitco,,,,,,
Pt,33018.82,Pt,,Kitco,,,,,,
Pd,63722.78,Pd,,Kitco,,,,,,
Rh,400276.79,Rh,,Kitco,,,,,,
Al,3.806663333333333,Al,,SMM,"Aluminum Ingot - Chong Qing, Aluminum Ingot - Fo Shan, Aluminum Ingot - Hang Zhou, Aluminum Ingot - Lin Yi, Aluminum Ingot - Shen Yang, Aluminum Ingot - Tian Jin, Aluminum Ingot - Wu Xi, High purity aluminium(99.99%), High purity aluminium(99.996%), Low Carbon Aluminum, SMM A00 Aluminum Ingot, SMM Aluminum Ingot - Gong Yi",,,,,
Al2O3,0.7717111111111111,Al2O3,,SMM,"Alumina (Averaged), Alumina - Bayuquan, Alumina - Guangxi, Alumina - Guizhou, Alumina - Henan, Alumina - Lianyungang, Alumina - Shandong, Alumina - Shanxi, Australian Alumina FOB Price",,,,,
Ammonium Heptamolybdate,27.79134,(NH4)6Mo7O24,,SMM,Hexaammonium molybdate,,,,,
Ammonium Tetrathiomolybdate,27.39769,H8N2MoS4,,SMM,Ammoinum Tetramolybdate,,,,,
As,1.44074,As,,SMM,Arsenic Metal,,,,,
Bauxite,0.1479649999999999,AlHO2,,SMM,"Australia Bauxite CIF, Bauxite(4.5≤Al/Si<5.5)Henan, Bauxite(4.5≤Al/Si<5.5)Shanxi, Bauxite(5.5≤Al/Si<6.5)Guangxi, Bauxite(5.5≤Al/Si<6.5)Guizhou, Bauxite(6.0≤Al/Si<7.0)Henan, Bauxite(6.0≤Al/Si<7.0)Shanxi, Bauxite(6.5≤Al/Si<7.5)Guangxi, Bauxite(6.5≤Al/Si<7.5)Guizhou, Guinea Bauxite CIF, Indonesia Bauxite CIF, Malaysia Bauxite CIF",,,,,
Be,944.75,Be,,SMM,Beryllium,,,,,
Ca,8.975105000000001,Ca,,SMM,"Calcium 98.5%, Calcium 99%",,,,,
Cd,3.09405,Cd,,SMM,Cadmium Ingot,,,,,
Cs,110222.3126019514,Cs,,SMM,Cesium(Cs≥99.5%),,,,,
Cs2CO3,141.71,Cs2CO3,,SMM,Cesium Carbonate(Cs2CO3≥99%),,,,,
Cu,11.38723,Cu,,SMM,"Guixi Copper, High-Grade Copper, Low-Quality Copper, SMM Copper Cathode, SMM bonded copper spot price, Standard-Grade Copper",,,,,
FeMo,28.18498,FeMo,,SMM,Ferro-molybdenum 60%,,,,,
FeNb,36.21534,FeNb,,SMM,"Ferroniobium 60A, Ferroniobium 60B",,,,,
FeV,25.35074,FeV,,SMM,50 Ferrovanadium,,,,,
K,21.65047,K,,SMM,Potassium,,,,,
Li,496.11079,Li,,SMM,Lithium Metal,,,,,
Li2CO3,79.12264,Li2CO3,,SMM,Lithium Carbonate (99.5% Battery Grade),,,,,
Mo,55.9,Mo,,SMM,"Brushed molybdenum strip, Molybdenum, Molybdenum Fine (second grade), Molybdenum Fines (first grade), Molybdenum strip",,,,,
MoO3,60.82109910420256,MoO3,,SMM,"High-purity Molybdenum Trioxide, Molybdenum Oxide, FOB, China, Molybdenum ores and concentrates, roasted 45%, Molybdenum ores and concentrates, roasted 50%, Molybdenum oxides and hydroxides",,,,,
Na,3.93645,Na,,SMM,Sodium,,,,,
Nb,102.35,Nb,,SMM,Niobium,,,,,
Nb2O5,47.24,Nb2O5,,SMM,Niobium Pentoxide 99.5%,,,,,
Ni,35.01472,Ni,,SMM,"Import Nickel, JinChuan Nickel, Nickel Briquettes, SMM Nickel",,,,,
Pb,2.4337125000000004,Pb,,SMM,"Lead - Guangdong, Lead - Henan, Lead -Tianjin, SMM Lead",,,,,
Rb,125968.60921624408,Rb,,SMM,Rubidium(Rb≥99.5%),,,,,
Rb2CO3,1062.84,Rb2CO3,,SMM,Rubidium Carbonate(Rb2CO3≥99%),,,,,
Re,3542.8,Re,,SMM,Rhenium,,,,,
Sn,54.71665,Sn,,SMM,SMM Tin Ingot,,,,,
Ta,433.01,Ta,,SMM,Tantalum Powders for metallurgy(Ta≥99.95%),,,,,
Ta2O5,299.17,Ta2O5,,SMM,"Tantalum Pentoxide(Ta2O5≥99.5%), Tantalum Pentoxide(Ta2O5≥99.95%)",,,,,
Ti,12.6,Ti,,SMM,Titanium Sponge,,,,,
TiCl4,1.29903,TiCl4,,SMM,Titanium tetrachloride(99.9%),,,,,
TiO2,1.702908,TiO2,,SMM,"Anatase Titanium Dioxide, High Titanium Slag(TiO2≥90%), Rutile Titanium Dioxide, Titanium Concentrate(TiO2≥46%), Titanium Concentrate(TiO2≥47%)",,,,,
V,393.64,V,,SMM,Vanadium,,,,,
V2O5,23.30378,V2O5,,SMM,Vanadium pentoxide( Flake V2O5>=98%),,,,,
VN,34.87695,VN,,SMM,Vanadium nitrogen alloy,,,,,
Zn,8.118285714285713,Zn,,SMM,"Zinc-HX, Zinc-Ibis, Zinc-Nanhua, Zinc-Qilin (Guangdong), Zinc-Shuangyan, Zinc-Torch, Zirconium Sponge",,,,,
