SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
AQDS/Br,flow_battery,0.04668718739756992,528.1379999999999,4.330592829904306,"0 : Alibaba (Manual Entry), Li 2017, 1 : USGS",Li 2017,92.75762947608438
AQDS/FeSO4,flow_battery,0.03194131282278663,520.231,3.6760924899845318,"0 : Alibaba (Manual Entry), Li 2017, 1 : Alibaba (Bulk), Alibaba (Manual Search)",Diez 2020,115.08896050640855
AQDS/HBr/Br2 ,flow_battery,0.04414984025639764,528.1379999999999,4.330592829904306,"0 : Alibaba (Manual Entry), Li 2017, 1 : USGS",Diez 2020,98.08852772183634
Al-O2,metal_air,2.0859787841699444,26.9815384,2.2725,"Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, Steinmann 2022, USGS",Weinrich 2019,1.089416640881262
Al-air,metal_air,2.6919059548097852,26.9815384,2.2725,"Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, Steinmann 2022, USGS",Weinrich 2019,0.8441973969928599
BTMAP-Vi/BTMAP-Fc,flow_battery,0.1286977339274891,156.188,4.0,Alibaba (Manual Entry),Diez 2020,31.08057832823755
BTMAP-Vi/TMAP-TEMPO,flow_battery,0.09710766413480183,328.436,4.786673811640624,"0 : Alibaba (Manual Entry), 1 : Liu 2019",Diez 2020,49.29244106825506
Ba/Al,liquid_metal_battery,0.055459517265246526,164.3085384,53.01572049048182,"0 : Alibaba (Manual Entry), Kim 2013, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, Steinmann 2022, USGS",Kim 2013,955.9354842005431
Ba/Bi,liquid_metal_battery,0.08783981049463248,346.30740000000003,32.204377193067025,"0 : Alibaba (Manual Entry), Kim 2013, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,366.6262143750287
Ba/Pb,liquid_metal_battery,0.06534514469596481,344.527,26.439872502451177,"0 : Alibaba (Manual Entry), Kim 2013, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,404.6187765819408
Ba/Sb,liquid_metal_battery,0.13189303528673121,259.087,36.70191906824568,"0 : Alibaba (Manual Entry), Kim 2013, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,278.2703346576026
Ba/Sn,liquid_metal_battery,0.09368662754037721,256.037,46.28088909024867,"0 : Alibaba (Manual Entry), Kim 2013, 1 : Kim 2013, SMM, USGS",Kim 2013,493.9967453765209
C6/LCO,solid_electrode,0.6623966812899907,169.937194,17.43638221012405,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Alibaba (Bulk), ISE, Li 2017",Li 2017,26.323172658666408
C6/LFP,solid_electrode,0.42565810239739976,229.820762,7.428686621446326,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,17.452238262601686
C6/LMNO,solid_electrode,0.494459970415224,254.7557645,14.851534753004579,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,30.035868708508325
C6/LMO,solid_electrode,0.4451387429962331,252.878086,6.579351208176654,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : ISE, Li 2017",Li 2017,14.780450616117973
C6/LMP,solid_electrode,0.4683228062875262,228.913805,7.418499072172603,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,15.840567601181533
C6/LRMO LMNO,solid_electrode,0.7618485636567226,174.1381179,12.468040795334677,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,16.365510667225706
C6/NCA,solid_electrode,0.6694458648881167,168.14777600000002,20.199489192173434,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,30.173446803722268
C6/NCM111,solid_electrode,0.6702328789665776,167.9503302,12.190541105586943,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,18.188515496857395
C6/NCM622,solid_electrode,0.6660925352281069,168.99428740000002,15.106581555371553,"0 : Alibaba (Bulk), Li 2017, Liu 2016, Steinmann 2022, USGS, 1 : Li 2017",Li 2017,22.679403771126523
Ca-O2,metal_air,2.2603097570847956,40.078,3.773600000000001,"ISE, Kim 2013, SMM",Weinrich 2019,1.6695056897276555
Ca/Al,liquid_metal_battery,0.1698578688364156,67.05953840000001,3.169629435057371,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, Steinmann 2022, USGS",Kim 2013,18.660480416776775
Ca/Bi,liquid_metal_battery,0.09093117763187714,249.0584,10.657068684093135,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,117.19928149657173
Ca/In,liquid_metal_battery,0.0830535757325345,154.89600000000002,162.0765998312846,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,1951.4704623102036
Ca/Pb,liquid_metal_battery,0.06448946687084531,247.278,2.4703705726024894,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,38.30657458449708
Ca/Sb,liquid_metal_battery,0.16395021564774648,161.83800000000002,6.244568311735002,"0 : ISE, Kim 2013, SMM, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,38.08819821958456
Ca/Sn,liquid_metal_battery,0.10802383611412,158.788,21.105110844648213,"0 : ISE, Kim 2013, SMM, 1 : Kim 2013, SMM, USGS",Kim 2013,195.3745729077059
