,year,C_kwh_orig,ancat,type,deltaV,materials,energy_type,source,original_name
Li/Cd,,,,Liquid Metal,0.465,"['Li', 'Cd']",electrochemical,Kim 2013,Li/Cd
Na/Cd,,,,Liquid Metal,0.12,"['Na', 'Cd']",electrochemical,Kim 2013,Na/Cd
K/Cd,,,,Liquid Metal,,"['K', 'Cd']",electrochemical,Kim 2013,K/Cd
Mg/Cd,,,,Liquid Metal,0.15,"['Mg', 'Cd']",electrochemical,Kim 2013,Mg/Cd
Ca/Cd,,,,Liquid Metal,,"['Ca', 'Cd']",electrochemical,Kim 2013,Ca/Cd
Ba/Cd,,,,Liquid Metal,,"['Ba', 'Cd']",electrochemical,Kim 2013,Ba/Cd
Li/Hg,,,,Liquid Metal,,"['Li', 'Hg']",electrochemical,Kim 2013,Li/Hg
Na/Hg,,,,Liquid Metal,0.4,"['Na', 'Hg']",electrochemical,Kim 2013,Na/Hg
K/Hg,,,,Liquid Metal,0.395,"['K', 'Hg']",electrochemical,Kim 2013,K/Hg
Mg/Hg,,,,Liquid Metal,,"['Mg', 'Hg']",electrochemical,Kim 2013,Mg/Hg
Ca/Hg,,,,Liquid Metal,,"['Ca', 'Hg']",electrochemical,Kim 2013,Ca/Hg
Ba/Hg,,,,Liquid Metal,,"['Ba', 'Hg']",electrochemical,Kim 2013,Ba/Hg
Li/Al,,,,Liquid Metal,0.3,"['Li', 'Al']",electrochemical,Kim 2013,Li/Al
Na/Al,,,,Liquid Metal,,"['Na', 'Al']",electrochemical,Kim 2013,Na/Al
K/Al,,,,Liquid Metal,,"['K', 'Al']",electrochemical,Kim 2013,K/Al
Mg/Al,,,,Liquid Metal,0.135,"['Mg', 'Al']",electrochemical,Kim 2013,Mg/Al
Ca/Al,,,,Liquid Metal,0.425,"['Ca', 'Al']",electrochemical,Kim 2013,Ca/Al
Ba/Al,,,,Liquid Metal,0.34,"['Ba', 'Al']",electrochemical,Kim 2013,Ba/Al
Li/Ga,,,,Liquid Metal,0.58,"['Li', 'Ga']",electrochemical,Kim 2013,Li/Ga
Na/Ga,,,,Liquid Metal,0.105,"['Na', 'Ga']",electrochemical,Kim 2013,Na/Ga
K/Ga,,,,Liquid Metal,,"['K', 'Ga']",electrochemical,Kim 2013,K/Ga
