material_name,pubchem_formulas,pubchem_top_formula
manganese,"{'Mn': 40, 'Mn+2': 2, 'C18H11ClMnN2O6S': 1}",Mn
antimony ethylene glycoxide,{},
niobium ,"{'Nb': 36, 'Nb+5': 1}",Nb
stone,{},
lithium,"{'Li': 31, 'Li+': 3, 'Li2': 1, 'CLi2O3': 1, 'BF4Li': 1, 'C6H6LiN': 1, 'C6H3Cl2Li': 1, 'C6H9Li': 1, 'C3H5LiO': 1, 'C8H7Li': 1, 'C6H11LiSi': 1, 'BH2LiN': 1, 'C7H15Li': 1, 'C9H18LiN': 1, 'LiMn2O4': 1, 'La': 1, 'C32H22CoLiN6O8S2': 1, 'C27H19ClCrLiN9NaO9S-': 1}",Li
lithium carbonate,"{'CLi2O3': 77, 'CH2LiO3+': 4, 'CLiO3-': 4, 'CH2Li2O3': 1, 'CHLi2O3': 1}",CLi2O3
potassium chloride,"{'ClK': 101, 'Cl2K2': 1, 'C27H50CaCl6KMgN6Na5O27PS2': 1, 'C10H24CaCl6KMgNa2O14': 1, 'C8H19CaCl6KMgNa2O10': 1, 'C14H24CaCl6KMgNa5O17': 1, 'C11H24CaCl6KMgNa3O13': 1, 'C7H33CaCl4KMgNa4O26PS': 1, 'C8H19CaCl4KNa2O10': 1, 'C6H16CaCl4KNaO8': 1, 'C9H21CaCl4KNa2O11': 1, 'C2H7CaCl6KMgNa2O4': 1, 'C8H12CaCl6KMgNa5O11': 1, 'C5H12CaCl6KMgNa3O7': 1, 'CaCl6H4KMgNaO2': 1, 'C2H7CaCl4KNa2O4': 1, 'CaCl4H4KNaO2': 1, 'C3H9CaCl4KNa2O5': 1, 'C8H31Cl4K2MgNa5O24P2': 1, 'C8H14Cl4KMgNa3O9': 1, 'Cl2H2K2MgNa4O12P2S': 1, 'Cl2KNa': 1, 'C8H16Cl3K3MgNaO12P': 1, 'C9H20Cl4K3MgNa3O17P2': 1, 'C9H19Cl4K2MgNa2O13P': 1, 'C9H21Cl3K2MgNa2O17P2': 1, 'C8H15Cl4KMgNa2O8': 1, 'C14H26Cl4KMgNa3O15': 1, 'C6H12ClKO6': 1, 'C9H19Cl2K2Na2O13P': 1, 'C8H16Cl2K3Na2O12P': 1, 'C6H12Cl2KNaO6': 1, 'C4H11Cl2KNNaO3': 1, 'Cl-': 1, 'ClNa': 1, 'C14H10N4O2S2': 1}",ClK
sulfur,"{'H2S': 30, 'S': 14, 'S8': 6, 'S6': 3, 'S3': 2, 'S2': 2, 'S5': 1, 'S4': 1, 'S7': 1, 'S-2': 1, 'HNaS': 1, 'C18H17N3O2S4': 1}",H2S
lead,"{'Pb': 49, 'H2Pb': 2, 'Pb+2': 1}",Pb
cobalt tetroxide,{},
