index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
ClLi,"ISE, Alva 2018 (Latent), Liu 2016, Alok 2021",Lithium chloride,"latent_thermal, latent_thermal",4,20.149875,13.7390163,20.149875,Ref(s)
ClNa,"USGS, Alva 2018 (Latent), Liu 2016, Alok 2021",Sodium Chloride,"latent_thermal, latent_thermal",4,0.7699673,1.2299194,0.7699673,Ref(s)
Clay,USGS,,,1,0.0792929,,0.0792929,Ref(s)
Co,"USGS, ISE",,,2,39.2330222,32.8,39.2330222,Ref(s)
Co3O4,"ISE, Andre 2016",,thermochemical,2,22.15,24.1237054,22.15,Ref(s)
CoO,ISE,,,1,31.6,25.8296535,31.6,Ref(s)
CoO4S,"ISE, Andre 2016",,thermochemical,2,5.3715,12.5546359,5.3715,Ref(s)
Cobalt Tetroxide,ISE,,,1,22.25,,22.25,Ref(s)
Cr,"USGS, ISE, Alok 2021",,latent_thermal,3,7.9403712,9.4,7.9403712,Ref(s)
Cr5O12,Andre 2016,,thermochemical,1,,5.4724673,5.4724673,Element
CrCl3(H2O)6,Li 2017,,,1,2.04,1.985769,2.04,Ref(s)
CrFeO4,"USGS, ISE",,,2,0.1910102,3.0394892,0.1910102,Ref(s)
Cu,"USGS, Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",3,31.3728584,6.0,31.3728584,Ref(s)
Cu4Si,Alva 2018 (Latent),,latent_thermal,1,,5.5721617,5.5721617,Element
Cu5Mg12Zn3,Alva 2018 (Latent),,latent_thermal,1,,3.8275275,3.8275275,Element
Cu83P10Si7,Alva 2018 (Latent),,latent_thermal,1,,5.6764049,5.6764049,Element
CuCl,Li 2017,,,1,4.55,3.8807922,4.55,Ref(s)
CuO,Andre 2016,,thermochemical,1,,4.8241856,4.8241856,Element
CuO4S,Andre 2016,,thermochemical,1,,2.4692682,2.4692682,Element
Diamond,USGS,,,1,21410.0,,21410.0,Ref(s)
