index,source,num_source,molecular_formula,mu,Cp,kth,sp_latent_heat,phase_change_T,deltaH_thermochem,specific_strength,deltaG_chem,mass_density,dielectric_breakdown,dielectric_constant
CuCl,Li 2017,1,CuCl,98.99600000000001,,,,,,,,,,
CuO,"Andre 2016, alibaba",2,,,,,,,0.2250555555555555,,,,,
CuO4S,"Andre 2016, alibaba",2,,,,,,,0.52275,,,,,
Diamond,USGS,1,CH4,16.043,,,,,,,,,,
Diatomite,USGS,1,O2Si,60.083,,,,,,,,,,
Dowtherm,Alva 2018,1,C24H20O,324.42300000000006,0.0004527777777777,0.1083,,,,,,,,
Dy2O3,USGS,1,Dy2O3,372.997,,,,,,,,,,
Eu2O3,USGS,1,Eu2O3,351.925,,,,,,,,,,
F2Mg,Alok 2021,1,F2Mg,62.301806326,,,0.2605555555555555,,,,,,,
F3Sc,USGS,1,F3Sc,101.951117489,,,,,,,,,,
FLi,"Alok 2021, Alva 2018",2,FLi,25.938403163,,,0.2895833333333333,850.0,,,,,,
FNa,"Alok 2021, Alva 2018",2,FNa,41.988172442999996,,,0.2205555555555555,996.0,,,,,,
Fe,USGS,1,Fe,55.845,,,,,,,,,,
FeCl2,Li 2017,1,FeCl2,126.745,,,,,,,,,,
FeCr,USGS,1,FeCr,107.8411,,,,,,,,,,
FeH6O3Ti,"ISE, USGS",2,FeH6O3Ti,157.757,,,,,,,,,,
FeO4S,"Andre 2016, alibaba",2,,,,,,,0.6332722222222222,,,,,
FeSi2,USGS,1,FeSi2,112.015,,,,,,,,,,
Feldspar,USGS,1,AlKO8Si3,278.3268384,,,,,,,,,,
GRE,Kale 2018,1,,,,,,,,571.1028459917998,,,,
Ga,"ISE, Kim 2013, USGS",3,Ga,69.723,,,,,,,,,,
Ge,"ISE, USGS",2,Ge,72.63,,,,,,,,,,
GeO2,"ISE, USGS",2,GeO2,104.628,,,,,,,,,,
Granite,Alva 2018,1,SiO2,60.083,0.0002499999999999,2.8,,,,,,,,
Graphene,Graphene Lab,1,,,,,,,,,,,,
Graphene Oxide,alibaba,1,,,,,,,,,,,,
Graphite,"Li 2017, Liu 2016, USGS",3,"C, C6, CH4",12.011,,,,,,,,,,
Gravel,USGS,1,C15H21NO,231.339,,,,,,,,,,
H10MoN2S4,ISE,1,H10MoN2S4,262.284,,,,,,,,,,
H2MgO2,"Andre 2016, alibaba",2,,,,,,,0.3702777777777777,,,,,
H2MnO2,Andre 2016,1,,,,,,,0.2094444444444444,,,,,
H2NiO2,"Andre 2016, alibaba",2,,,,,,,0.1433333333333333,,,,,
H2O2Sr,"Andre 2016, alibaba",2,,,,,,,0.2023055555555555,,,,,
H2O2Zn,"Andre 2016, alibaba",2,,,,,,,0.1386,,,,,
H2S,USGS,1,H2S,34.076,,,,,,,,,,
H2SO4,Li 2017,1,H2SO4,98.072,,,,,,,,,,
H3N,"Liu 2016, USGS",2,H3N,17.031,,,,,,,,,,
H4NO3V,ISE,1,H4NO3V,116.97749999999999,,,,,,,,,,
H8N2O4W,ISE,1,H8N2O4W,283.914,,,,,,,,,,
