index,source,num_source,specific_price_refs,molecular_formula,mu,specific_price_element,specific_price,price_type
Diamond,USGS,1,21410.0,,,,21410.0,Ref(s)
Diatomite,USGS,1,0.3725812,,,,0.3725812,Ref(s)
Dy2O3,USGS,1,253.2,,,267.5152656,253.2,Ref(s)
Eu2O3,USGS,1,45.4,,,27.1385401,45.4,Ref(s)
F2Mg,Alok 2021,1,0.87,,,2.1248375,0.87,Ref(s)
F3Sc,USGS,1,224400.0,,,1526.8241872,224400.0,Ref(s)
FLi,"Alok 2021, Alva 2018",2,110.01625,,,23.8058913,110.01625,Ref(s)
FNa,"Alok 2021, Alva 2018",2,4.605,,,2.5475296,4.605,Ref(s)
Fe,USGS,1,0.1801177,,,0.424,0.1801177,Ref(s)
FeCl2,Li 2017,1,2.53,FeCl2,126.745,0.2326883,2.53,Ref(s)
FeCr,USGS,1,2.5282612,,,4.7518212,2.5282612,Ref(s)
FeH6O3Ti,"ISE, USGS",2,0.3898154,,,3.7092512,0.3898154,Ref(s)
FeO4S,alibaba,1,0.0947143,,,0.240304,0.0947143,Ref(s)
FeSi2,USGS,1,2.2607303,,,1.0638511,2.2607303,Ref(s)
Feldspar,USGS,1,0.1067037,,,,0.1067037,Ref(s)
GRE,Kale 2018,1,24.815,,,,24.815,Ref(s)
Ga,"ISE, Kim 2013, USGS",3,373.2624041,Ga,69.723,148.0,373.2624041,Ref(s)
Ge,"ISE, USGS",2,1187.075,,,962.0,1187.075,Ref(s)
GeO2,"ISE, USGS",2,782.45,,,667.8421426,782.45,Ref(s)
Graphene,Graphene Lab,1,90.0,,,,90.0,Ref(s)
Graphene Oxide,alibaba,1,400.0,,,,400.0,Ref(s)
Graphite,"Li 2017, Liu 2016, USGS",3,5.2505528,C6,72.066,,5.2505528,Ref(s)
Gravel,USGS,1,0.0291804,,,,0.0291804,Ref(s)
H10MoN2S4,ISE,1,18.728,,,14.7832242,18.728,Ref(s)
H2MgO2,alibaba,1,0.73375,,,1.0994278,0.73375,Ref(s)
H2NiO2,alibaba,1,0.482,,,8.8835216,0.482,Ref(s)
H2O2Sr,alibaba,1,1.3,,,4.821514,1.3,Ref(s)
H2O2Zn,alibaba,1,1.0,,,1.7551254,1.0,Ref(s)
H2SO4,Li 2017,1,0.2,H2SO4,98.072,0.1593358,0.2,Ref(s)
H3N,"Liu 2016, USGS",2,0.7130501,,,0.3619482,0.7130501,Ref(s)
H4NO3V,ISE,1,16.913,,,161.6913808,16.913,Ref(s)
H8N2O4W,ISE,1,20.1323333,,,22.9454634,20.1323333,Ref(s)
HBr,Li 2017,1,3.33,HBr,80.91199999999999,4.3526261,3.33,Ref(s)
HCl,Li 2017,1,0.65,HCl,36.458000000000006,0.1181639,0.65,Ref(s)
HITEC XL,Alva 2018,1,1.19,,,,1.19,Ref(s)
HLiO,Alva 2018,1,165.0,,,24.3602525,165.0,Ref(s)
HNaO,Alva 2018,1,4.1,,,1.8210039,4.1,Ref(s)
Hf,USGS,1,0.9038953,,,900.0,0.9038953,Ref(s)
Hg,"Kim 2013, USGS",2,24.2285151,Hg,200.592,30.2,24.2285151,Ref(s)
Hitec,Liu 2016,1,0.93,,,,0.93,Ref(s)
Hitec XL,Liu 2016,1,1.43,,,,1.43,Ref(s)
I2,USGS,1,26.392,,,35.0,26.392,Ref(s)
I3Sc,USGS,1,165400.0,,,396.7220654,165400.0,Ref(s)
In,"ISE, Kim 2013, USGS",3,359.7216387,In,114.818,167.0,359.7216387,Ref(s)
Ir,USGS,1,2.3635605,,,55850.0,2.3635605,Ref(s)
Iron Ore,"Olympios 2021, USGS",2,0.1190765,,,,0.1190765,Ref(s)
Iron Oxide Pigment,USGS,1,1.03,,,,1.03,Ref(s)
K,Kim 2013,1,130.4404539,K,39.0983,12.85,130.4404539,Ref(s)
K2CO3,Liu 2016,1,1.1,,,7.3346559,1.1,Ref(s)
K2O,USGS,1,0.9193276,,,10.6936009,0.9193276,Ref(s)
K2O4S,Alva 2018,1,8.25,,,5.8400876,8.25,Ref(s)
KF,"Alok 2021, Alva 2018",2,104.15,,,9.3019041,104.15,Ref(s)
KFRP,Kale 2018,1,27.1,,,,27.1,Ref(s)
KNO3,Alva 2018,1,7.0,,,5.0618598,7.0,Ref(s)
KOH,"Alva 2018, Li 2017",2,2.91,KOH,56.10530000000001,9.0237129,2.91,Ref(s)
LFP,Li 2017,1,10.0,LiFePO4,157.754761998,,10.0,Ref(s)
LMNO,Li 2017,1,20.0,LiMn1.5Ni0.5O4,182.6897645,,20.0,Ref(s)
LMO,Li 2017,1,10.0,LiMn2O4,180.812086,,10.0,Ref(s)
LMP,Li 2017,1,10.0,LiMnPO4,156.84780499800002,,10.0,Ref(s)
LRMO LMNO,Li 2017,1,20.0,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,102.07211794999998,,20.0,Ref(s)
LTO,Li 2017,1,12.0,Li4Ti5O12,459.08299999999997,,12.0,Ref(s)
La2O3,USGS,1,2.0,,,4.1582001,2.0,Ref(s)
LaNi5,Li 2017,1,10.05,LaNi5,432.37247,10.9925658,10.05,Ref(s)
Li,"ISE, Kim 2013, Li 2017",3,70.7274681,Li,6.94,83.5,70.7274681,Ref(s)
Li2CO3,Liu 2016,1,7.0,,,15.8055013,7.0,Ref(s)
Li2O4S,Alva 2018,1,180.0,,,10.6589665,180.0,Ref(s)
Li2S,Li 2017,1,1.87,Li2S,45.940000000000005,25.2927461,1.87,Ref(s)
Li2SO4,Li 2017,1,0.85,Li2SO4,109.936,10.6589665,0.85,Ref(s)
Lithium Cobaltate,"ISE, Li 2017",2,34.475,LiCoO2,97.871194,,34.475,Ref(s)
