index,original_name,Cp,kth,sp_latent_heat,phase_change_T,source,deltaH_thermochem,type,specific_strength,dielectric_constant,deltaG_chem,dielectric_breakdown,delta_height,mass_density
HNaO,NaOH,,,0.0458333333333333,318.0,Alva 2018,,,,,,,,
KOH,KOH,,,0.0416666666666666,380.0,Alva 2018,,,,,,,,
HLiO,LiOH,,,0.2425,462.0,Alva 2018,,,,,,,,
Cu,Cu,,401.0,0.0577777777777777,1084.0,Alva 2018,,,,,,,,
Zn,Zn,,116.0,0.0313888888888888,419.0,Alva 2018,,,,,,,,
Al,Al,,204.0,0.1102777777777777,660.0,Alva 2018,,,,,,,,
Mg23Zn27,Zn54Mg46,,,0.0513888888888888,340.0,Alva 2018,,,,,,,,
Mg12Zn13,Zn52Mg48,,,0.05,340.0,Alva 2018,,,,,,,,
AlZn24,Zn96Al4,,,0.0383333333333333,381.0,Alva 2018,,,,,,,,
Al59Mg33Zn6,Al59Mg33Zn6,,,0.0861111111111111,443.0,Alva 2018,,,,,,,,
Al30Mg17Zn3,Al60Mg34Zn6,,,0.0914166666666666,450.3,Alva 2018,,,,,,,,
Cu5Mg12Zn3,Mg60Cu25Zn15,,,0.0705555555555555,452.0,Alva 2018,,,,,,,,
Ca4Mg21,Mg84Ca16,,,0.0755555555555555,790.0,Alva 2018,,,,,,,,
Mg47Si38Zn15,Mg47Si38Zn15,,,0.0872222222222222,800.0,Alva 2018,,,,,,,,
Cu4Si,Cu80Si20,,,0.0547222222222222,803.0,Alva 2018,,,,,,,,
Cu83P10Si7,Cu83P10Si7,,,0.0255555555555555,840.0,Alva 2018,,,,,,,,
Ca21Mg30Si49,Si49Mg30Ca21,,,0.0847222222222222,865.0,Alva 2018,,,,,,,,
Mg11Si14,Si56Mg44,,,0.2102777777777777,946.0,Alva 2018,,,,,,,,
Syltherm XLT,Syltherm XLT,0.0006030555555555,0.06,,,Alva 2018,,,,,,,,
Dowtherm,Dowtherm A,0.0004527777777777,0.1083,,,Alva 2018,,,,,,,,
Vegetable Oil,Vegetable oil,0.0006969444444444,0.11,,,Alva 2018,,,,,,,,
HITEC,"HITEC, NaNO3eKNO3e NaNO2",0.0004336111111111,0.6,,,Alva 2018,,,,,,,,
HITEC XL,"HITEC XL, NaNO3e KNO3eCa(NO3)2",0.0004019444444444,0.519,,,Alva 2018,,,,,,,,
Solar Salt,"Solar Salt, NaNO3e KNO3 (50-50)",0.0004166666666666,0.55,,,Alva 2018,,,,,,,,
