index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
Mg,47.6282911,Kim 2013,,,Mg,,,Ref(s)
Ca,3.8465316,Kim 2013,,,Ca,,,Ref(s)
Ba,5.9711492,Kim 2013,,,Ba,,,Ref(s)
Zn,4.5281673,Kim 2013,,,Zn,,,Ref(s)
Cd,2.8309995,Kim 2013,,,Cd,,,Ref(s)
Hg,24.2285151,Kim 2013,,,Hg,,,Ref(s)
Al,6.931362,Kim 2013,,,Al,,,Ref(s)
Ga,373.2624041,Kim 2013,,,Ga,,,Ref(s)
In,359.7216387,Kim 2013,,,In,,,Ref(s)
Tl,6969.0413282,Kim 2013,,,Tl,,,Ref(s)
Sn,24.5983407,Kim 2013,,,Sn,,,Ref(s)
Pb,2.0759813,Kim 2013,,,Pb,,,Ref(s)
Sb,9.6329944,Kim 2013,,,Sb,,,Ref(s)
Bi,12.7341164,Kim 2013,,,Bi,,,Ref(s)
Te,153.3314176,Kim 2013,,,Te,,,Ref(s)
Iron Ore,0.1190765,Olympios 2021,Magnetite,Iron Ore,Fe3O4,,,Ref(s)
Solar Salt,0.745,Olympios 2021,Molten Salt,Solar Salt,,,,Ref(s)
Iron Ore,0.1190765,Grosu 2017,Magnetite,Iron Ore,Fe3O4,0.125,Sensible Thermal,Ref(s)
Metallurgical Silicon,1.9104838,Ray 2021,Silicon,Metallurgical Silicon,Si,0.516,Latent Thermal,Ref(s)
FLi,110.01625,Alok 2021,LiF,,FLi,0.2891666666666667,Latent Thermal,Ref(s)
FNa,4.605,Alok 2021,NaF,,FNa,0.2205555555555555,Latent Thermal,Ref(s)
KF,104.15,Alok 2021,KF,,KF,0.1408333333333333,Latent Thermal,Ref(s)
F2Mg,0.87,Alok 2021,MgF2,,F2Mg,0.2605555555555555,Latent Thermal,Ref(s)
CaF2,3.934909,Alok 2021,CaF2,,CaF2,0.1058333333333333,Latent Thermal,Ref(s)
ClLi,20.149875,Alok 2021,LiCl,,ClLi,0.1155555555555555,Latent Thermal,Ref(s)
ClNa,0.7699673,Alok 2021,NaCl,,ClNa,0.1338888888888889,Latent Thermal,Ref(s)
ClK,2.2296693,Alok 2021,KCl,,ClK,0.0980555555555555,Latent Thermal,Ref(s)
Cl2Mg,18.514,Alok 2021,MgCl2,,Cl2Mg,0.1261111111111111,Latent Thermal,Ref(s)
CaCl2,1.87,Alok 2021,CaCl2,,CaCl2,0.0702777777777777,Latent Thermal,Ref(s)
CLi2O3,36.1648049,Alok 2021,Li2CO3,,CLi2O3,0.1413888888888889,Latent Thermal,Ref(s)
CNa2O3,1.1604921,Alok 2021,Na2CO3,,CNa2O3,0.0458333333333333,Latent Thermal,Ref(s)
CK2O3,4.05,Alok 2021,K2CO3,,CK2O3,0.0561111111111111,Latent Thermal,Ref(s)
CMg2O3,1.1198151,Alok 2021,Mg2CO3,,CMg2O3,0.1938888888888889,Latent Thermal,Element
CCaO3,8.0,Alok 2021,CaCO3,,CCaO3,,Latent Thermal,Ref(s)
Cu,31.3728584,Alok 2021,Copper (Cu),,Cu,0.0536111111111111,Latent Thermal,Ref(s)
Ni,6.9402936,Alok 2021,Nickel (Ni),,Ni,0.0833333333333333,Latent Thermal,Ref(s)
Cr,7.9403712,Alok 2021,Chromium (Cr),,Cr,0.1111111111111111,Latent Thermal,Ref(s)
V,205.0,Alok 2021,Vanadium (V),,V,0.125,Latent Thermal,Ref(s)
Metallurgical Silicon,1.9104838,Alok 2021,Silicon (Si),Metallurgical Silicon,Si,0.4972222222222222,Latent Thermal,Ref(s)
B,11.4637382,Alok 2021,Boron (B),,B,1.2777777777777777,Latent Thermal,Ref(s)
Al,6.931362,Alok 2021,Aluminium (Al),,Al,0.1102777777777777,Latent Thermal,Ref(s)
Mg,47.6282911,Alok 2021,Magnesium (Mg),,Mg,0.1077777777777777,Latent Thermal,Ref(s)
Zn,4.5281673,Alok 2021,Zinc (Zn),,Zn,0.0405555555555555,Latent Thermal,Ref(s)
