index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
Cl2H2OZr,2.272,ISE,Zirconium Oxychloride,,,,,Ref(s)
Cl4Ti,1.1685,ISE,Titanium tetrachloride,,,,,Ref(s)
ClLi,20.149875,ISE,Lithium chlorides,,,,,Ref(s)
Co,39.2330222,ISE,Cobalt Conc.,,,,,Ref(s)
Co3O4,22.15,ISE,Cobalt oxides,,,,,Ref(s)
CoO,31.6,ISE,Cobalt Monoxide,,,,,Ref(s)
CoO4S,5.3715,ISE,Cobalt sulphates,,,,,Ref(s)
Cobalt Tetroxide,22.25,ISE,Cobalt Tetroxide,,,,,Ref(s)
Cr,7.9403712,ISE,Chromium metal,,,,,Ref(s)
CrFeO4,0.1910102,ISE,Chrome Conc.,,,,,Ref(s)
FeH6O3Ti,0.3898154,ISE,Ilmenite Conc,,,,,Ref(s)
Ga,373.2624041,ISE,Gallium metal,,,,,Ref(s)
Ge,1187.075,ISE,Germanium metal,,,,,Ref(s)
GeO2,782.45,ISE,Germanium dioxides,,,,,Ref(s)
H10MoN2S4,18.728,ISE,Ammonium Tetrathiomolybdate,,,,,Ref(s)
H4NO3V,16.913,ISE,Ammonium metavanadate,,,,,Ref(s)
H8N2O4W,20.1323333,ISE,Tungsten APT,,,,,Ref(s)
HLiO,89.090625,ISE,Lithium hydroxides_monohydrates,,,,,Ref(s)
In,359.7216387,ISE,Indium ingot,,,,,Ref(s)
Li,70.7274681,ISE,Lithium metal,,,,,Ref(s)
Li2MnO4,6.9685,ISE,Lithium manganates,,,,,Ref(s)
Lithium Cobaltate,28.95,ISE,Lithium Cobaltate,,,,,Ref(s)
Metallurgical Silicon,1.9104838,ISE,Silicon metal,,,,,Ref(s)
Mg,47.6282911,ISE,Magnesium Ingot,,,,,Ref(s)
Mo,34.5666667,ISE,Molybdenum Powder,,,,,Ref(s)
MoNa2O4,12.485,ISE,Sodium Molybdate,,,,,Ref(s)
MoO3,25.6673744,ISE,Molybdenum oxides,,,,,Ref(s)
MoS2,28.185,ISE,Molybdenum Conc.,,,,,Ref(s)
NV,27.0755,ISE,Vanadium nitrides,,,,,Ref(s)
Na2O4W,14.9535,ISE,Sodium Tungstate,,,,,Ref(s)
Nb2O5,35.4726443,ISE,Niobium Conc.,,,,,Ref(s)
O2Se,12.7,ISE,Selenium dioxides,,,,,Ref(s)
O2Zr,4.3555,ISE,Zirconium fused_cubic,,,,,Ref(s)
O3Sb2,5.3790972,ISE,Antimony Trioxide,,,,,Ref(s)
O3W,9.5611042,ISE,Wolfram Ore,,,,,Ref(s)
O4SiZr,215.1474688,ISE,Zircon sand,,,,,Ref(s)
O5Ta2,187.3651933,ISE,Tantalum Conc.,,,,,Ref(s)
O5V2,17.3069606,ISE,Vanadium pentoxides,,,,,Ref(s)
