index,source,num_source,specific_price_refs,specific_price_element,specific_price,price_type,molecular_formula,mu
CuO,alibaba,1,17.8,4.824185630775033,17.8,Ref(s),CuO,79.545
CuSO4,alibaba,1,1.088625,2.4692681795967473,1.088625,Ref(s),CuSO4,159.602
Diamond,USGS,1,21410.0,,21410.0,Ref(s),C,12.011
Diatomite,USGS,1,0.3725812,,0.3725812230924431,Ref(s),SiO2,60.083
Dy2O3,USGS,1,253.2,267.5152656402062,253.2,Ref(s),Dy2O3,372.997
Eu2O3,USGS,1,45.4,27.13854013781345,45.4,Ref(s),Eu2O3,351.925
Fe,USGS,1,0.1801177,0.424,0.180117668205045,Ref(s),Fe,55.845
FeCl2,Li 2017,1,2.53,0.2326883111759833,2.53,Ref(s),FeCl2,126.745
FeCr,USGS,1,2.5282612,4.751821151675939,2.5282612227361763,Ref(s),FeCr,107.8411
FeSO4,alibaba,1,0.0947143,0.24030401379846084,0.0947142857142857,Ref(s),FeSO4,151.901
FeSi2,USGS,1,2.2607303,1.0638510913716912,2.260730267574827,Ref(s),FeSi2,112.015
FeTiO3,"ISE, USGS",2,0.3898154,3.801709971063023,0.3898153678011236,Ref(s),FeTiO3,151.709
Feldspar,USGS,1,0.1067037,,0.1067037348974807,Ref(s),AlKO8Si3,278.3268384
GRE,Kale 2018,1,24.815,,24.815,Ref(s),,
Ga,"ISE, Kim 2013, USGS",3,373.2624041,148.0,373.2624041091196,Ref(s),Ga,69.723
Ge,"ISE, USGS",2,1187.075,961.9999999999999,1187.075,Ref(s),Ge,72.63
GeO2,"ISE, USGS",2,782.45,667.8421425622204,782.45,Ref(s),GeO2,104.628
Graphene,Graphene Lab,1,90.0,,90.0,Ref(s),C6,72.066
Graphene Oxide,alibaba,1,400.0,,400.0,Ref(s),C7H2O,102.092
Graphite,"Li 2017, Liu 2016, USGS",3,5.2505528,,5.250552778257712,Ref(s),C6,72.066
Gravel,USGS,1,0.0291804,,0.0291803850227903,Ref(s),C15H21NO,231.339
H2SO4,Li 2017,1,0.2,0.1593357941104495,0.2,Ref(s),H2SO4,98.072
H3N,"Liu 2016, USGS",2,0.7130501,0.3619482120838471,0.713050052480674,Ref(s),H3N,17.031
HBr,Li 2017,1,3.33,4.3526260628831315,3.33,Ref(s),HBr,80.91199999999999
HCl,Li 2017,1,0.65,0.11816391464150529,0.65,Ref(s),HCl,36.458000000000006
Hf,USGS,1,0.9038953,900.0,0.9038952749579982,Ref(s),Hf,178.486
Hg,"Kim 2013, USGS",2,24.2285151,30.2,24.228515100958262,Ref(s),Hg,200.592
Hitec,Liu 2016,1,0.93,,0.93,Ref(s),,
Hitec XL,"Alva 2018, Liu 2016",2,1.31,,1.31,Ref(s),(NaNO3)7(KNO3)45(Ca(NO3)2)48,5268.567884960001
I2,USGS,1,26.392,35.0,26.392000000000003,Ref(s),I2,253.80894
In,"ISE, Kim 2013, USGS",3,359.7216387,167.0,359.72163869002344,Ref(s),In,114.818
Ir,USGS,1,2.3635605,55850.0,2.36356048052572,Ref(s),Ir,192.217
Iron Ore,"Olympios 2021, USGS",2,0.1190765,,0.11907645120882435,Ref(s),Fe2O3,159.687
Iron Oxide Pigment,USGS,1,1.03,,1.03,Ref(s),Fe2O3,159.687
K,Kim 2013,1,130.4404539,12.850000000000001,130.44045393277966,Ref(s),K,39.0983
K2CO3,"Alok 2021, Alva 2018, Liu 2016",3,3.0666667,7.33465593764607,3.0666666666666664,Ref(s),K2CO3,138.2046
K2O,USGS,1,0.9193276,10.693600932527634,0.9193276333109396,Ref(s),K2O,94.1956
K2SO4,Alva 2018,1,8.25,5.840087608448885,8.25,Ref(s),K2SO4,174.2526
