SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
Al-air,metal_air,2.6919059548097852,26.9815384,2.3315963855664066,"Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, USGS",Weinrich 2019,0.8661507588704603
"Aq-S/air  (Li, H+)",flow_battery,0.1615096080514929,165.943,3.852680780420282,"0 : Alibaba (Bulk), Alva 2018, Li 2017, 1 : Alibaba (Bulk), Li 2017, USGS, 2 : Alibaba (Bulk), Alva 2018",Li 2017,23.854189400248938
"Aq-S/air  (Na, H+)",flow_battery,0.1251861365397934,214.09230789999998,0.14740586962919447,"0 : Alibaba (Bulk), Alva 2018, Li 2017, 1 : Alibaba (Bulk), Li 2017, USGS, 2 : Alva 2018, Li 2017",Li 2017,1.1774935604178343
"Aq-S/air  (Na, OH-)",flow_battery,0.09174415323078748,292.1318465,0.12285396568523119,"0 : Alibaba (Bulk), Alva 2018, Li 2017, 1 : Alibaba (Bulk), Li 2017, 2 : Alibaba (Bulk), Li 2017, USGS, 3 : Alva 2018, Li 2017",Li 2017,1.3390931341007122
"Aq-S/air (Li, OH-)",flow_battery,0.1264914546654941,211.883,3.0607027389804564,"0 : Alibaba (Bulk), Alva 2018, Li 2017, 1 : Li 2017, 2 : Alibaba (Bulk), Li 2017, USGS, 3 : Alibaba (Bulk), Alva 2018",Li 2017,24.196913120135005
Ba/Al,liquid_metal_battery,0.055459517265246526,164.3085384,26.51271243190141,"0 : Alibaba (Manual), Kim 2013, 1 : Alibaba (Bulk), Alok 2021, Kale 2018, Kim 2013, SMM, USGS",Kim 2013,478.055232704225
Ba/Bi,liquid_metal_battery,0.08783981049463248,346.30740000000003,16.102188596533512,"0 : Alibaba (Manual), Kim 2013, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,183.31310718751436
Ba/Pb,liquid_metal_battery,0.06534514469596481,344.527,13.219936251225588,"0 : Alibaba (Manual), Kim 2013, 1 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS",Kim 2013,202.3093882909704
Ba/Sb,liquid_metal_battery,0.13189303528673121,259.087,18.35095953412284,"0 : Alibaba (Manual), Kim 2013, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Kim 2013,139.1351673288013
Ba/Sn,liquid_metal_battery,0.09368662754037721,256.037,23.140444545124335,"0 : Alibaba (Manual), Kim 2013, 1 : Kim 2013, SMM, USGS",Kim 2013,246.99837268826045
C6/LCO,solid_electrode,0.6623966812899907,169.937194,8.697163203356412,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Alibaba (Bulk), ISE, Li 2017",Li 2017,13.12984114959489
C6/LFP,solid_electrode,0.42565810239739976,229.820762,3.6987945736096735,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,8.689590431327987
C6/LMNO,solid_electrode,0.494459970415224,254.7557645,7.411740519765315,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,14.98956632129652
C6/LMO,solid_electrode,0.4451387429962331,252.878086,3.2755445946834243,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : ISE, Li 2017",Li 2017,7.358480128320672
C6/LMP,solid_electrode,0.4683228062875262,228.913805,3.6936391948420946,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,7.8869513618655365
C6/LRMO LMNO,solid_electrode,0.7618485636567226,174.1381179,6.213499774987749,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,8.155820029592466
C6/NCA,solid_electrode,0.6694458648881167,168.14777600000002,10.078492916780773,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,15.05497822212282
C6/NCM111,solid_electrode,0.6702328789665776,167.9503302,6.073993889584149,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,9.062512568690382
C6/NCM622,solid_electrode,0.6660925352281069,168.99428740000002,7.532145550432611,"0 : Alibaba (Bulk), Li 2017, Liu 2016, USGS, 1 : Li 2017",Li 2017,11.307956705824948
Ca-O2,metal_air,2.2603097570847956,40.078,3.773600000000001,"ISE, Kim 2013, SMM",Weinrich 2019,1.6695056897276555
