SM_name,SM_type,Cp,phase_change_T,sp_latent_heat,mass_density,kth,vol_latent_heat,C_kwh_orig,deltaV,deltaH_thermochem,specific_strength,dielectric_breakdown,dielectric_constant,deltaG_chem,delta_height,specific_capacitance,deltaV_electrolyte,materials,SM_sources,type,original_name,notes
Na/Hg,liquid_metal_battery,,,,,,,,0.4,,,,,,,,,"[('Na', 0.5), ('Hg', 0.5)]",Kim 2013,,Na/Hg,
Na/In,liquid_metal_battery,,,,,,,,0.18,,,,,,,,,"[('Na', 0.5), ('In', 0.5)]",Kim 2013,,Na/In,
Na/NiCl2,integrated_battery,,,,,,,6.6,1.0,,,,,,,,,"[('Na', 0.5), ('NiCl2(H2O)6', 0.5)]",Li 2017,High temperature,,
Na/P2-NMO,integrated_battery,,,,,,,38.9,3.0,,,,,,,,,"[('Na', 0.5), ('P2_NMO', 0.5)]",Li 2017,Na ion (nonaqueous),,
Na/Pb,liquid_metal_battery,,,,,,,,0.3349999999999999,,,,,,,,,"[('Na', 0.5), ('Pb', 0.5)]",Kim 2013,,Na/Pb,
Na/S,integrated_battery,,,,,,,1.6,1.0,,,,,,,,,"[('Na', 0.5), ('S', 0.5)]",Li 2017,High temperature,,
Na/Sb,liquid_metal_battery,,,,,,,,0.735,,,,,,,,,"[('Na', 0.5), ('Sb', 0.5)]",Kim 2013,,Na/Sb,
Na/Sn,liquid_metal_battery,,,,,,,,0.335,,,,,,,,,"[('Na', 0.5), ('Sn', 0.5)]",Kim 2013,,Na/Sn,
Na/Te,liquid_metal_battery,,,,,,,,1.595,,,,,,,,,"[('Na', 0.5), ('Te', 0.5)]",Kim 2013,,Na/Te,
Na/Tl,liquid_metal_battery,,,,,,,,0.265,,,,,,,,,"[('Na', 0.5), ('Tl', 0.5)]",Kim 2013,,Na/Tl,
Na/Zn,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Na', 0.5), ('Zn', 0.5)]",Kim 2013,,Na/Zn,
Na2CO3,latent_thermal,,854.0,0.06124999999999996,2533.0,,699.1,,,,,,,,,,,Na2CO3,"Alok 2021, Alva 2018",,,
Na2SO4,latent_thermal,,884.0,0.0458333333333333,2680.0,,442.2,,,,,,,,,,,Na2SO4,Alva 2018,,,
NaCl,latent_thermal,,802.0,0.12527777777777774,2160.0,,907.2,,,,,,,,,,,NaCl,"Alok 2021, Alva 2018",,,
NaF,latent_thermal,,996.0,0.2205555555555555,2558.0,,2031.1,,,,,,,,,,,NaF,"Alok 2021, Alva 2018",,,
NaNO3,latent_thermal,,306.0,0.0477777777777777,2261.0,,388.9,,,,,,,,,,,NaNO3,Alva 2018,,,
NaOH,latent_thermal,,318.0,0.0458333333333333,2100.0,,346.5,,,,,,,,,,,NaOH,Alva 2018,,,
Nanofibers/mesoporous carbon,ELDC,,,,,,,,,,,,,,,85.5,0.8,Graphite,Choi 2015,,,
Nanoporous Ni(OH)2 films,pseudocapacitor,,,,,,,,,,,,,,,106.0,1.6,Ni(OH)2,Choi 2015,,,
Nanoporous carbon,ELDC,,,,,,,,,,,,,,,129.0,3.5,Graphite,Choi 2015,,,
Nanoporous carbon foams,ELDC,,,,,,,,,,,,,,,252.0,1.1,Graphite,Choi 2015,,,
Ni(OH)2/NiO,thermochemical,,,,,,,,,0.1433333333333333,,,,,,,,Ni(OH)2,Andre 2016,hydroxides,,
Ni2(CO3)(OH)2 nanosheets,pseudocapacitor,,,,,,,,,,,,,,,895.0,0.4,(CO3)(OH)2,Choi 2015,,,
NiCd,integrated_battery,,,,,,,66.0,1.0,,,,,,,,,"[('Cd(OH)2', 0.5), ('Ni(OH)2', 0.5)]",Li 2017,NiCd,,
NiCo2(OH)6 nanotubes,pseudocapacitor,,,,,,,,,,,,,,,184.5,0.5,NiCo2(OH)6,Choi 2015,,,
NiCo2O4 nanosheets,pseudocapacitor,,,,,,,,,,,,,,,1693.0,0.5,NiCo2O4,Choi 2015,,,
NiMH,integrated_battery,,,,,,,82.8,1.0,,,,,,,,,"[('LaNi5', 0.5), ('Ni(OH)2', 0.5)]",Li 2017,NiMH,,
NiO nanoblocks,pseudocapacitor,,,,,,,,,,,,,,,1008.0,0.6,NiO,Choi 2015,,,
NiSO4/NiO,thermochemical,,,,,,,,,0.3998333333333334,,,,,,,,NiSO4,Andre 2016,sulfates,,
Nickel (Ni),latent_thermal,,1728.0,0.0833333333333333,,,,,,,,,,,,,,Ni,Alok 2021,,,
Oxygen-rich nanoporous carbon,ELDC,,,,,,,,,,,,,,,253.5,1.0,Graphite,Choi 2015,,,
PANI nanofibers,pseudocapacitor,,,,,,,,,,,,,,,106.0,0.8,PANI,Choi 2015,,,
PANI nanotubes,pseudocapacitor,,,,,,,,,,,,,,,686.5,0.5,PANI,Choi 2015,,,
PPy nanofibrils,pseudocapacitor,,,,,,,,,,,,,,,280.0,0.7,PPy,Choi 2015,,,
PPy-PANI double-wall,pseudocapacitor,,,,,,,,,,,,,,,529.5,0.6,"[('PPy', 0.5), ('PANI', 0.5)]",Choi 2015,,,
PPy-clay core-shell nanoarrays,pseudocapacitor,,,,,,,,,,,,,,,2046.0,1.2,PPy,Choi 2015,,,
PPy-sepiolite nanocomposites,pseudocapacitor,,,,,,,,,,,,,,,165.0,1.0,"[('PPy', 0.5), ('sepiolite', 0.5)]",Choi 2015,,,
PSB,flow_battery,,,,,,,7.4,1.0,,,,,,,,,"[('S',0.5), ('Br2', 0.5)]",Li 2017,Redox flow,,
Pb acid,integrated_battery,,,,,,,12.4,1.0,,,,,,,,,Pb,Li 2017,Pb acid,,
PbCO3/PbO,thermochemical,,,,,,,,,0.0872222222222222,,,,,,,,PbCO3,Andre 2016,carbonates,,
PbO2/PbO,thermochemical,,,,,,,,,0.0641388888888888,,,,,,,,PbO,Andre 2016,oxides,,
Polythiophene nanostructures,pseudocapacitor,,,,,,,,,,,,,,,162.5,4.0,Polythiophene,Choi 2015,,,
Porous CNTs,ELDC,,,,,,,,,,,,,,,582.0,0.7,CNT,Choi 2015,,,
Porous carbon nanowhiskers,ELDC,,,,,,,,,,,,,,,167.5,1.0,Graphite,Choi 2015,,,
Porous carbon/CNTs,ELDC,,,,,,,,,,,,,,,181.0,0.9,"[('Graphite', 0.5), ('CNT', 0.5)]",Choi 2015,,,
PtO2/PtO,thermochemical,,,,,,,,,0.0768055555555555,,,,,,,,PtO2,Andre 2016,oxides,,
Pumped Hydro,gravitational,,,,,,,,,,,,,,300.0,,,Water Reservoir Excavation,,,Pumped Hydro,
Quartzite,sensible_thermal,0.0002361111111111,,,,2.0,,,,,,,,,,,,Stone,Alva 2018,,,
RGO/CNT,ELDC,,,,,,,,,,,,,,,216.0,1.0,"[('Graphene Oxide', 0.5), ('CNT', 0.5)]",Choi 2015,,,
Rh2O3/Rh2O,thermochemical,,,,,,,,,0.2728055555555556,,,,,,,,Rh2O3,Andre 2016,oxides,,
S-2 Glass Epoxy,virial,,,,,,,,,,743.6026091319618,,,,,,,GRE,Kale 2018,,,
Sb2O5/SbO2,thermochemical,,,,,,,,,0.0584444444444444,,,,,,,,Sb2O5,Andre 2016,oxides,,
Si/LCO,integrated_battery,,,,,,,97.2,3.0,,,,,,,,,"[('Polysilicon', 0.5), ('LCO', 0.5)]",Li 2017,Li ion  (Si anode),,
Si/Li2S,integrated_battery,,,,,,,12.5,3.0,,,,,,,,,"[('Polysilicon', 0.5), ('Li2S', 0.5)]",Li 2017,Li ion  (Si anode),,
Si/Mg (56/44),latent_thermal,,946.0,0.2102777777777777,1900.0,,1438.3,,,,,,,,,,,"[('Metallurgical Silicon', 0.56), ('Mg', 0.44)]",Alva 2018,,,
Si/Mg/Ca (49/30/21),latent_thermal,,865.0,0.0847222222222222,6880.0,,2098.4,,,,,,,,,,,"[('Metallurgical Silicon', 0.49), ('Mg', 0.3), ('Ca', 0.21)]",Alva 2018,,,
Silicon (Si),latent_thermal,,1410.0,0.4972222222222222,,,,,,,,,,,,,,Si,Alok 2021,,,
Sodium (Na),sensible_thermal,0.0003611111111111,,,,64.9,,,,,,,,,,,,Na,Alva 2018,,,
Sodium(22.2%)epotassium (77.8%) eutectic (NaK),sensible_thermal,0.0002472222222222,,,,26.3,,,,,,,,,,,,"[('Na', 0.5), ('K', 0.5)]",Alva 2018,,,
"Solar Salt, NaNO3e KNO3 (50-50)",sensible_thermal,0.0004166666666666,,,,0.55,,,,,,,,,,,,Solar Salt,Alva 2018,,,
Sr(OH)2/SrO,thermochemical,,,,,,,,,0.2023055555555555,,,,,,,,Sr(OH)2,Andre 2016,hydroxides,,
SrCO3/SrO,thermochemical,,,,,,,,,0.3807361111111111,,,,,,,,SrCO3,Andre 2016,carbonates,,
Stainless-Steel-15-7,virial,,,,,,,,,,97.1316818774446,,,,,,,Steel,Kale 2018,,,
Stainless-Steel-440C,virial,,,,,,,,,,158.44155844155844,,,,,,,Steel,Kale 2018,,,
Stainless-Steel-455,virial,,,,,,,,,,191.8814432989691,,,,,,,Steel,Kale 2018,,,
Steel-18Ni-300,virial,,,,,,,,,,94.27860696517412,,,,,,,Steel,Kale 2018,,,
Steel-4340,virial,,,,,,,,,,59.87261146496816,,,,,,,Steel,Kale 2018,,,
Synthetic CH4 (Sabatier),synfuel,,,,,,,,,,,,,15.4,,,,Synthetic CH4 (Sabatier),TODO,,Synthetic CH4 (Sabatier),
Synthetic H2,synfuel,,,,,,,,,,,,,39.4,,,,Synthetic H2,TODO,,Synthetic H2,
Synthetic H2 (Cavern),synfuel,,,,,,,,,,,,,39.4,,,,Synthetic H2 (Cavern),TODO,,Synthetic H2 (Cavern),
Synthetic NH3 (Haber-Bosch),synfuel,,,,,,,,,,,,,6.25,,,,Synthetic NH3 (Haber-Bosch),TODO,,Synthetic NH3 (Haber-Bosch),
T300-BSL914C,virial,,,,,,,,,,769.7241821680565,,,,,,,CFRP,Kale 2018,,,
T300-PR319,virial,,,,,,,,,,745.1984635083227,,,,,,,CFRP,Kale 2018,,,
V2O5-PPy nanofibers,pseudocapacitor,,,,,,,,,,,,,,,412.0,2.0,"[('V2O5', 0.5), ('PPy', 0.5)]",Choi 2015,,,
V2O5/V2O4,thermochemical,,,,,,,,,0.2696944444444444,,,,,,,,V2O5,Andre 2016,oxides,,
VRFB,flow_battery,,,,,,,124.4,1.0,,,,,,,,,V,Li 2017,Redox flow,,
Vanadium (V),latent_thermal,,2183.0,0.125,,,,,,,,,,,,,,V,Alok 2021,,,
Vegetable oil,sensible_thermal,0.0006969444444444,,,,0.11,,,,,,,,,,,,Vegetable Oil,Alva 2018,,,
Zinc (Zn),latent_thermal,,419.0,0.0405555555555555,,,,,,,,,,,,,,Zn,Alok 2021,,,
Zn(OH)2/ZnO,thermochemical,,,,,,,,,0.1386,,,,,,,,Zn(OH)2,Andre 2016,hydroxides,,
Zn/Al (96/4),latent_thermal,,381.0,0.0383333333333333,6630.0,,914.9,,,,,,,,,,,"[('Zn', 0.96) , ('Al', 0.04)]",Alva 2018,,,
Zn/Br2,integrated_battery,,,,,,,8.0,1.0,,,,,,,,,"[('Zn', 0.5), ('Br2', 0.5)]",Li 2017,Zn2+ based,,
Zn/Fe,integrated_battery,,,,,,,9.3,1.0,,,,,,,,,"[('Zn', 0.5), ('Fe', 0.5)]",Li 2017,Zn2+ based,,
Zn/Mg (52/48),latent_thermal,,340.0,0.05,,,,,,,,,,,,,,"[('Mg', 0.52), ('Zn', 0.48)]",Alva 2018,,,
Zn/Mg (53.7/46.3),latent_thermal,,340.0,0.0513888888888888,4600.0,,851.0,,,,,,,,,,,"[('Mg', 0.537), ('Zn', 0.463)]",Alva 2018,,,
Zn/MnO2,integrated_battery,,,,,,,9.0,1.0,,,,,,,,,"[('Zn', 0.5), ('MnO2', 0.5)]",Li 2017,Zn2+ based,,
Zn/NiOOH,integrated_battery,,,,,,,44.2,1.0,,,,,,,,,"[('Zn', 0.5), ('Ni(OH)2', 0.5)]",Li 2017,Zn2+ based,,
Zn/Zn0.25V2O5,integrated_battery,,,,,,,50.7,1.0,,,,,,,,,"[('Zn', 0.5), ('V2O5', 0.5)]",Li 2017,Zn2+ based,,
Zn/air,integrated_battery,,,,,,,5.8,1.0,,,,,,,,,Zn,Li 2017,Zn2+ based,,
ZnCO3/ZnO,thermochemical,,,,,,,,,0.1513611111111111,,,,,,,,ZnCO3,Andre 2016,carbonates,,
ZnCl2,latent_thermal,,280.0,0.0208333333333333,2907.0,0.5,218.0,,,,,,,,,,,ZnCl2,Alva 2018,,,
ZnCo2O4 nanorods/Ni foams,pseudocapacitor,,,,,,,,,,,,,,,1207.5,1.0,"[('ZnCo2O4', 0.5), ('Ni', 0.5)]",Choi 2015,,,
ZnSO4/ZnO,thermochemical,,,,,,,,,0.4911666666666667,,,,,,,,ZnSO4,Andre 2016,sulfates,,
α-F-2O3/MnO2 nanowires,pseudocapacitor,,,,,,,,,,,,,,,659.0,0.6,"[('Iron Ore', 0.5), ('MnO2', 0.5)]",Choi 2015,,,
β-Co(OH)2 nanosheets,pseudocapacitor,,,,,,,,,,,,,,,1805.0,0.5,Co(OH)2,Choi 2015,,,
