molecular_formula_norm,source,material_names_refs,specific_price_refs,specific_price_UI,material_name_UI,specific_price_element
ClH,Li 2017,,0.65,,,0.11816391464150529
ClH4N,Li 2017,,0.14,,,0.1957853016508067
ClK,"Alva 2018 (Latent), Liu 2016",potassium chloride,3.9749999999999996,0.5136770708907648,potassium chloride,6.778424927194853
ClLi,"Alva 2018 (Latent), Liu 2016",lithium chloride,31.4,9.7995,lithium chloride,13.73901627742392
ClNa,"Alva 2018 (Latent), Li 2017, Liu 2016",sodium chloride,0.9866666666666667,0.11086936934146396,sodium chloride,1.229919432015937
Co33Li100Mn33Ni33O200,Li 2017,,20.0,,,15.899709524411977
Co3O4,Andre 2016,,,22.15,cobalt tetraoxide,24.123705365989643
CoLi5MnNi3O10,Li 2017,,25.0,,,15.274383650071588
CoLiO2,Li 2017,,40.0,,,25.72183246482106
CoO4S,Andre 2016,,,5.3715,cobalt sulphate,12.55463592642465
Cr5O12,Andre 2016,,,,,5.472467333453549
Cu,Alva 2018 (Latent),,84.0,6.8685752657905885,copper,6.0
Cu4Si,Alva 2018 (Latent),,,,,5.572161661393919
Cu5Mg12Zn3,Alva 2018 (Latent),,,,,3.827527466388589
Cu83P10Si7,Alva 2018 (Latent),,,,,5.676404933439782
CuO,Andre 2016,,,,,4.824185630775033
CuO4S,Andre 2016,,,,,2.4692681795967477
Dy2O3,USGS,,253.2,,,267.5152656402062
Eu2O3,USGS,,45.4,,,27.13854013781345
FLi,Alva 2018 (Latent),,220.0,,,23.805891305090743
FNa,Alva 2018 (Latent),,7.6,,,2.5475296480505123
Fe2O3,Andre 2016,,,0.09915290241764864,iron ore,0.3428463055853012
FeLiO4P,Li 2017,,10.0,,,4.414085983556225
FeO4S,Andre 2016,,,,,0.24030401379846084
H14O11SZn,Li 2017,,0.41,,,0.7526082958604162
H2MgO2,Andre 2016,,,,,1.0994278365541246
H2MnO2,Andre 2016,,,,,1.210957799586458
H2NiO2,"Li 2017, Andre 2016",,20.0,,,8.88352161747606
H2O,Li 2017,water,0.001,,,0.2923167360532889
H2O2Sr,Andre 2016,,,,,4.821513984576682
H2O2Zn,Andre 2016,,,,,1.7551253798015978
H2O4S,Li 2017,,0.2,,,0.15933579411044943
H3LiO2,Li 2017,,1.52,,,14.027478480530002
H3N,"Liu 2016, Liu 2016","ammonia, silica",0.905,0.32915015744202225,ammonia,0.3619482120838471
H4Na2O4Zn,Li 2017,,0.68,,,1.7845023252433436
H8O9SV,Li 2017,,10.2,,,80.55786089727366
HLiO,Alva 2018 (Latent),,165.0,13.18125,lithium hydroxide,24.36025247421389
HNaO,"Alva 2018 (Latent), Li 2017",,2.2199999999999998,,,1.8210039248450025
K2O4S,Alva 2018 (Latent),,8.25,,,5.840087608448885
K53N100Na47O260,Alva 2018 (Sensible),hitec,,,,3.5241084438470165
KF,Alva 2018 (Latent),,203.0,,,9.301904099614562
KN2NaO6,Alva 2018 (Sensible),solar salt,,,,3.1708756725654146
KNO3,Alva 2018 (Latent),,7.0,,,5.061859848885733
KNa,Alva 2018 (Sensible),sodium potassium alloy,2.0,,,9.202773889830965
KOH,"Alva 2018 (Latent), Li 2017",,2.91,,,9.023712929081569
La2O3,USGS,,2.0,,,4.158200064123667
LaNi5,Li 2017,,10.05,,,10.992565806745281
Li,Li 2017,lithium,50.05,100.17275000000001,lithium,83.49999999999999
Li2Mn3NiO8,Li 2017,,20.0,,,6.279746293011395
Li2O4S,"Alva 2018 (Latent), Li 2017",,90.425,,,10.658966489593944
Li2S,Li 2017,,1.87,,,25.292746103613403
Li4O12Ti5,Li 2017,,12.0,,,11.056704674318151
LiMn2O4,Li 2017,,10.0,,,4.3654153767132575
LiMnO4P,Li 2017,,10.0,,,4.926125947662909
