index,type,A,B,mu_A,mu_B,deltaV,specific_energy,source,SP_A,SP_B,specific_price,energy_type,original_name,price_type
C6/LMP,Li ion  (C6 anode),C6,LiMnPO4,72.066,156.84780499800002,3.0,0.3512421047187134,Li 2017,,10.0,,Chemical (EC Couple),C6/LMP,TODO
C6/NCA,Li ion  (C6 anode),C6,LiNi0.8Co0.15Al0.05O2,72.066,96.08177602,3.0,0.4781756177203506,Li 2017,,34.0,,Chemical (EC Couple),C6/NCA,TODO
C6/LRMO LMNO,Li ion  (C6 anode),C6,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,72.066,102.07211794999998,3.0,0.4617264020836207,Li 2017,,20.0,,Chemical (EC Couple),C6/LRMO LMNO,TODO
C6/NCM622,Li ion  (C6 anode),C6,LiNi0.6Co0.2Mn0.2O2,72.066,96.9282874,3.0,0.4757803823057907,Li 2017,,25.0,,Chemical (EC Couple),C6/NCM622,TODO
Si/LCO,Li ion  (Si anode),Polysilicon,LiCoO2,28.085,97.871194,3.0,0.638350239978406,Li 2017,25.275,,,Chemical (EC Couple),Si/LCO,TODO
Si/Li2S,Li ion  (Si anode),Polysilicon,Li2S,28.085,45.940000000000005,3.0,1.0861758414949905,Li 2017,25.275,1.87,10.749830124957784,Chemical (EC Couple),Si/Li2S,TODO
Na/P2-NMO,Na ion (nonaqueous),Na,Na0.67Mn0.67Ni0.33O2,22.98976928,103.5784562276,3.0,0.635263442654797,Li 2017,2.4931212,15.0,12.72825875632065,Chemical (EC Couple),Na/P2-NMO,TODO
NTP/NMO,Na ion (aqueous),NaTi2(PO4)3,Na0.44MnO2,403.633055274,97.0515414832,1.0,0.0535294855533289,Li 2017,10.0,5.0,9.030811591650945,Chemical (EC Couple),NTP/NMO,TODO
Li/Zn,Liquid Metal,Li,Zn,6.94,65.38,0.19,0.0704129409414946,Kim 2013,70.7274681,4.5281673,10.880810380088496,Chemical (EC Couple),Li/Zn,TODO
Na/Zn,Liquid Metal,Na,Zn,22.98976928,65.38,,,Kim 2013,2.4931212,4.5281673,3.998741448893332,Chemical (EC Couple),Na/Zn,TODO
K/Zn,Liquid Metal,K,Zn,39.0983,65.38,,,Kim 2013,130.4404539,4.5281673,51.647582098793436,Chemical (EC Couple),K/Zn,TODO
Mg/Zn,Liquid Metal,Mg,Zn,24.305,65.38,0.145,0.0433316762991457,Kim 2013,48.0126082,4.5281673,16.312627756871272,Chemical (EC Couple),Mg/Zn,TODO
Ca/Zn,Liquid Metal,Ca,Zn,40.078,65.38,0.305,0.0775135467305573,Kim 2013,3.6333941,4.5281673,4.18811988482429,Chemical (EC Couple),Ca/Zn,TODO
Ba/Zn,Liquid Metal,Ba,Zn,137.327,65.38,,,Kim 2013,5.9711492,4.5281673,5.505737760720646,Chemical (EC Couple),Ba/Zn,TODO
Li/Cd,Liquid Metal,Li,Cd,6.94,112.414,0.465,0.1044174961319548,Kim 2013,70.7274681,2.8906861,6.835147677157029,Chemical (EC Couple),Li/Cd,TODO
Na/Cd,Liquid Metal,Na,Cd,22.98976928,112.414,0.12,0.0237524160794666,Kim 2013,2.4931212,2.8906861,2.8231848378606434,Chemical (EC Couple),Na/Cd,TODO
K/Cd,Liquid Metal,K,Cd,39.0983,112.414,,,Kim 2013,130.4404539,2.8906861,35.80536752437769,Chemical (EC Couple),K/Cd,TODO
Mg/Cd,Liquid Metal,Mg,Cd,24.305,112.414,0.15,0.0294048986119949,Kim 2013,48.0126082,2.8906861,10.912163119583965,Chemical (EC Couple),Mg/Cd,TODO
Ca/Cd,Liquid Metal,Ca,Cd,40.078,112.414,,,Kim 2013,3.6333941,2.8906861,3.0858848725520027,Chemical (EC Couple),Ca/Cd,TODO
Ba/Cd,Liquid Metal,Ba,Cd,137.327,112.414,,,Kim 2013,5.9711492,2.8906861,4.5845639820205735,Chemical (EC Couple),Ba/Cd,TODO
Li/Hg,Liquid Metal,Li,Hg,6.94,200.592,,,Kim 2013,70.7274681,24.2285151,25.78346919777769,Chemical (EC Couple),Li/Hg,TODO
Na/Hg,Liquid Metal,Na,Hg,22.98976928,200.592,0.4,0.0479491489403583,Kim 2013,2.4931212,24.2285151,21.993575764024285,Chemical (EC Couple),Na/Hg,TODO
K/Hg,Liquid Metal,K,Hg,39.0983,200.592,0.395,0.0441676138379864,Kim 2013,130.4404539,24.2285151,41.553814650228105,Chemical (EC Couple),K/Hg,TODO
Mg/Hg,Liquid Metal,Mg,Hg,24.305,200.592,,,Kim 2013,48.0126082,24.2285151,26.798902356368473,Chemical (EC Couple),Mg/Hg,TODO
Ca/Hg,Liquid Metal,Ca,Hg,40.078,200.592,,,Kim 2013,3.6333941,24.2285151,20.79887592836249,Chemical (EC Couple),Ca/Hg,TODO
Ba/Hg,Liquid Metal,Ba,Hg,137.327,200.592,,,Kim 2013,5.9711492,24.2285151,16.80889889922615,Chemical (EC Couple),Ba/Hg,TODO
Li/Al,Liquid Metal,Li,Al,6.94,26.9815384,0.3,0.2370298354943319,Kim 2013,70.7274681,6.931362,19.983393164188,Chemical (EC Couple),Li/Al,TODO
Na/Al,Liquid Metal,Na,Al,22.98976928,26.9815384,,,Kim 2013,2.4931212,6.931362,4.889507649209823,Chemical (EC Couple),Na/Al,TODO
K/Al,Liquid Metal,K,Al,39.0983,26.9815384,,,Kim 2013,130.4404539,6.931362,80.00956020324757,Chemical (EC Couple),K/Al,TODO
Mg/Al,Liquid Metal,Mg,Al,24.305,26.9815384,0.135,0.0705484833423657,Kim 2013,48.0126082,6.931362,26.400012449822523,Chemical (EC Couple),Mg/Al,TODO
Ca/Al,Liquid Metal,Ca,Al,40.078,26.9815384,0.425,0.1698578688364156,Kim 2013,3.6333941,6.931362,4.9603380316006,Chemical (EC Couple),Ca/Al,TODO
Ba/Al,Liquid Metal,Ba,Al,137.327,26.9815384,0.34,0.0554595172652465,Kim 2013,5.9711492,6.931362,6.128828276131149,Chemical (EC Couple),Ba/Al,TODO
Li/Ga,Liquid Metal,Li,Ga,6.94,69.723,0.58,0.2027680309348128,Kim 2013,70.7274681,373.2624041,345.87510571825135,Chemical (EC Couple),Li/Ga,TODO
Na/Ga,Liquid Metal,Na,Ga,22.98976928,69.723,0.105,0.0303533790996403,Kim 2013,2.4931212,373.2624041,281.32360930206676,Chemical (EC Couple),Na/Ga,TODO
K/Ga,Liquid Metal,K,Ga,39.0983,69.723,,,Kim 2013,130.4404539,373.2624041,286.01913963335,Chemical (EC Couple),K/Ga,TODO
Mg/Ga,Liquid Metal,Mg,Ga,24.305,69.723,0.195,0.0555820695253896,Kim 2013,48.0126082,373.2624041,289.1896141932755,Chemical (EC Couple),Mg/Ga,TODO
Ca/Ga,Liquid Metal,Ca,Ga,40.078,69.723,,,Kim 2013,3.6333941,373.2624041,238.3456778153578,Chemical (EC Couple),Ca/Ga,TODO
Ba/Ga,Liquid Metal,Ba,Ga,137.327,69.723,,,Kim 2013,5.9711492,373.2624041,129.65455014369815,Chemical (EC Couple),Ba/Ga,TODO
Li/In,Liquid Metal,Li,In,6.94,114.818,0.525,0.1155630773063508,Kim 2013,70.7274681,359.7216387,343.2494599194353,Chemical (EC Couple),Li/In,TODO
Na/In,Liquid Metal,Na,In,22.98976928,114.818,0.18,0.0350070973879419,Kim 2013,2.4931212,359.7216387,300.12702193441726,Chemical (EC Couple),Na/In,TODO
K/In,Liquid Metal,K,In,39.0983,114.818,0.13,0.0226368523382874,Kim 2013,130.4404539,359.7216387,301.47891491008403,Chemical (EC Couple),K/In,TODO
Mg/In,Liquid Metal,Mg,In,24.305,114.818,0.175,0.0337129234961548,Kim 2013,48.0126082,359.7216387,305.26559630368524,Chemical (EC Couple),Mg/In,TODO
Ca/In,Liquid Metal,Ca,In,40.078,114.818,0.48,0.0830535757325345,Kim 2013,3.6333941,359.7216387,267.58688591697916,Chemical (EC Couple),Ca/In,TODO
Ba/In,Liquid Metal,Ba,In,137.327,114.818,,,Kim 2013,5.9711492,359.7216387,167.0567297326737,Chemical (EC Couple),Ba/In,TODO
Li/Tl,Liquid Metal,Li,Tl,6.94,204.38,,,Kim 2013,70.7274681,6969.0413282,6742.492500880798,Chemical (EC Couple),Li/Tl,TODO
Na/Tl,Liquid Metal,Na,Tl,22.98976928,204.38,0.265,0.0312370816843692,Kim 2013,2.4931212,6969.0413282,6264.641018237528,Chemical (EC Couple),Na/Tl,TODO
K/Tl,Liquid Metal,K,Tl,39.0983,204.38,0.255,0.0280696643876134,Kim 2013,130.4404539,6969.0413282,5870.883223089016,Chemical (EC Couple),K/Tl,TODO
Mg/Tl,Liquid Metal,Mg,Tl,24.305,204.38,0.175,0.0205096226493016,Kim 2013,48.0126082,6969.0413282,6233.463555107755,Chemical (EC Couple),Mg/Tl,TODO
Ca/Tl,Liquid Metal,Ca,Tl,40.078,204.38,,,Kim 2013,3.6333941,6969.0413282,5827.088030771159,Chemical (EC Couple),Ca/Tl,TODO
Ba/Tl,Liquid Metal,Ba,Tl,137.327,204.38,,,Kim 2013,5.9711492,6969.0413282,4170.686192157915,Chemical (EC Couple),Ba/Tl,TODO
Li/Sn,Liquid Metal,Li,Sn,6.94,118.71,0.635,0.1354467325463147,Kim 2013,70.7274681,24.5983407,27.146181083255076,Chemical (EC Couple),Li/Sn,TODO
Na/Sn,Liquid Metal,Na,Sn,22.98976928,118.71,0.335,0.063362596307664,Kim 2013,2.4931212,24.5983407,21.011927689089863,Chemical (EC Couple),Na/Sn,TODO
K/Sn,Liquid Metal,K,Sn,39.0983,118.71,,,Kim 2013,130.4404539,24.5983407,50.8215919138307,Chemical (EC Couple),K/Sn,TODO
Mg/Sn,Liquid Metal,Mg,Sn,24.305,118.71,0.27,0.050598713421669,Kim 2013,48.0126082,24.5983407,28.577530096829012,Chemical (EC Couple),Mg/Sn,TODO
Ca/Sn,Liquid Metal,Ca,Sn,40.078,118.71,0.64,0.10802383611412,Kim 2013,3.6333941,24.5983407,19.306800219391892,Chemical (EC Couple),Ca/Sn,TODO
Ba/Sn,Liquid Metal,Ba,Sn,137.327,118.71,0.895,0.0936866275403772,Kim 2013,5.9711492,24.5983407,14.607533406052253,Chemical (EC Couple),Ba/Sn,TODO
Li/Pb,Liquid Metal,Li,Pb,6.94,207.2,0.55,0.0688370406691365,Kim 2013,70.7274681,2.0759813,4.300887055076119,Chemical (EC Couple),Li/Pb,TODO
Na/Pb,Liquid Metal,Na,Pb,22.98976928,207.2,0.3349999999999999,0.0390046234715865,Kim 2013,2.4931212,2.0759813,2.1176423611691315,Chemical (EC Couple),Na/Pb,TODO
K/Pb,Liquid Metal,K,Pb,39.0983,207.2,0.33,0.0359095386908205,Kim 2013,130.4404539,2.0759813,22.453030833255326,Chemical (EC Couple),K/Pb,TODO
Mg/Pb,Liquid Metal,Mg,Pb,24.305,207.2,0.1699999999999999,0.0196809404164536,Kim 2013,48.0126082,2.0759813,6.898726885643939,Chemical (EC Couple),Mg/Pb,TODO
Ca/Pb,Liquid Metal,Ca,Pb,40.078,207.2,0.595,0.0644894668708453,Kim 2013,3.6333941,2.0759813,2.3284016131633227,Chemical (EC Couple),Ca/Pb,TODO
Ba/Pb,Liquid Metal,Ba,Pb,137.327,207.2,0.8400000000000001,0.0653451446959648,Kim 2013,5.9711492,2.0759813,3.628578693537517,Chemical (EC Couple),Ba/Pb,TODO
Li/Sb,Liquid Metal,Li,Sb,6.94,121.76,0.92,0.1915872399205732,Kim 2013,70.7274681,9.6329944,12.927443875353534,Chemical (EC Couple),Li/Sb,TODO
Na/Sb,Liquid Metal,Na,Sb,22.98976928,121.76,0.735,0.1360901708605012,Kim 2013,2.4931212,9.6329944,8.499009604218118,Chemical (EC Couple),Na/Sb,TODO
K/Sb,Liquid Metal,K,Sb,39.0983,121.76,0.775,0.1291265442248792,Kim 2013,130.4404539,9.6329944,38.99651679063107,Chemical (EC Couple),K/Sb,TODO
Mg/Sb,Liquid Metal,Mg,Sb,24.305,121.76,0.45,0.0825702598158354,Kim 2013,48.0126082,9.6329944,16.019305380789376,Chemical (EC Couple),Mg/Sb,TODO
Ca/Sb,Liquid Metal,Ca,Sb,40.078,121.76,0.99,0.1639502156477464,Kim 2013,3.6333941,9.6329944,8.147237156191993,Chemical (EC Couple),Ca/Sb,TODO
Ba/Sb,Liquid Metal,Ba,Sb,137.327,121.76,1.275,0.1318930352867312,Kim 2013,5.9711492,9.6329944,7.6920625285421504,Chemical (EC Couple),Ba/Sb,TODO
