,materials,mat_basis,original_name,SM_type,sub_type,mass_density
unit_row,N/U,N/U,N/U,N/U,N/U,kg/m**3
SM_name,,,,,,
Pumped Hydro,Water Reservoir Excavation,,,gravitational,pumped_hydro,1000
