year,factor
1990,2.0732211170619745
1991,1.9895007342143909
1992,1.93136136849608
1993,1.8752249134948098
1994,1.828407557354926
1995,1.7780183727034122
1996,1.727023581899299
1997,1.688286604361371
1998,1.66239263803681
1999,1.6264705882352943
2000,1.573577235772358
2001,1.5300395256916999
2002,1.5062256809338523
2003,1.472663043478261
2004,1.4344626786659609
2005,1.3874551971326166
2006,1.3440972222222225
2007,1.3068746322500988
2008,1.2585519012740187
2009,1.2630455352689747
2010,1.2426624353377114
2011,1.2046377017769263
2012,1.1802137686524912
2013,1.16317603677932
2014,1.144608340091917
2015,1.143251327963817
2016,1.1290087372451638
2017,1.1054585509138382
2018,1.079101737506322
2019,1.059896658413421
2020,1.0469802288156225
2021,1.0
