index,molecular_formula,search_text,must_contain,split_hydrate,original_names
MnO2,MnO2,mno2 manganese dioxide,"mno2, manganese dioxide",,"Manganese dioxides, MnO2"
MoS2,MoS2,mos2 molybdenum disulfide,"mos2, molybdenum disulfide",,"MoS2, Molybdenum Conc."
Mobiltherm 605,,,,,Mobiltherm 605
NCA,,,NCA,,NCA
NCM111,,,,,NCM111
NCM622,,,NCM622,,NCM622
NMO,,,,,NMO
NTP,,,,,NTP
Na,Na,sodium metal,sodium metal,,"Na, Sodium, Sodium (Na)"
Na2CO3,Na2CO3,na2co3 sodium carbonate,"na2co3, sodium carbonate",,"Na2CO3, Soda Ash "
Na2SO4,Na2SO4,na2so4 sodum sulphate,"na2so4, sodum sulphate",,Na2SO4
NaBr,NaBr,nabr sodium bromide,"nabr, sodium bromide",,NaBr
NaCl,NaCl,sodium cloride nacl,"sodium cloride, nacl",,"NaCl, Salt Brine, Salt Rock, Salt Solar, Salt Vacuum"
NaF,NaF,naf sodium fluoride,"naf, sodium fluoride",,NaF
NaNO3,NaNO3,nano3 sodium nitrate,"nano3, sodium nitrate",,NaNO3
NaOH,NaOH,naoh sodium hydroxide,"naoh, sodium hydroxide, lye, caustic soda",,NaOH
Ni,Ni,nickel metal,"nickel metal, nickel plate",,"Import Nickel, JinChuan Nickel, Nickel Briquettes, SMM Nickel, Nickel , Nickel (Ni)"
Ni(OH)2,Ni(OH)2,,Ni(OH)2,,Ni(OH)2
NiCl2,NiCl2,nicl2 nickel chloride,"nicl2, nickel chloride",y,NiCl2 6H2O
PPy-AC,,,,,PPy-AC
Pb,Pb,lead metal,"lead metal, lead ingot",,"Lead - Guangdong, Lead - Henan, Lead -Tianjin, SMM Lead, Lead LME, Lead North_American, Pb"
Polysilicon,Si,,Polysilicon,,"Si, Silicon polysilicon"
S,S,sulphur sulfur,"sulphur, sulfur",,"S, Sulfur, Sulfur Sulfur"
Sand,SiO2,Sand,Sand,,"Dune Sand, Sand"
Sb,Sb,antimony metal,"antimony metal, antimony ingot",,"Antimony Ingot, Antimony Metal, Sb"
SiO2,SiO2,sio2 silica,silica,,SiO2
Sn,Sn,tin metal Sn,"tin metal, tin ingot",,"SMM Tin Ingot, Sn, Tin LME, Tin NY"
Solar Salt,,,,,"Molten Salt, Solar Salt"
TEMPO,,,,,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-oxyl (4-OH-TEMPO)"
Te,Te,tellurium metal,tellurium metal,,"Te, Tellurium , Tellurium metal"
TiS2,TiS2,,,,TiS2
Tl,Tl,,,,"Thallium Metal, Tl"
V,V,vanadium metal,vanadium metal,,"Vanadium, Vanadium (V)"
V2O5,V2O5,V2O5,"V2O5, Vanadium Oxide",,"Vanadium pentoxide( Flake V2O5>=98%), Vanadium pentoxides"
Vegetable Oil,,,,,"Sunflower oil, Vegetable oil"
Water,H2O,,,,DI H2O
Zn,Zn,zinc metal,"zinc metal, zinc ingot",,"Zinc , Zinc LME, Zinc-HX, Zinc-Ibis, Zinc-Nanhua, Zinc-Qilin (Guangdong), Zinc-Shuangyan, Zinc-Torch, Zirconium Sponge, Zn"
ZnCl2,ZnCl2,zncl2 zinc chloride,"zncl2, zinc chloride",,ZnCl2
CuSO4,CuSO4,Copper Sulfate CuSO4,"Copper Sulfate, CuSO4",y,
"CdSO4 ","CdSO4 ",CdSO4 cadmium sulphate,"CdSO4, cadmium sulphate",,
ZnSO4,ZnSO4,ZnSO4 zinc sulphate,"ZnSO4, zinc sulphate",y,
NiSO4,NiSO4,NiSO4 nickel sulphate,"NiSO4, nickel sulphate",,
SrCO3,SrCO3,SrCO3 strontium carbonate,"SrCO3, strontium carbonate",,
MgCO3,MgCO3,MgCO3 magnesium carbonate,"MgCO3, magnesium carbonate",,
BaCO3,BaCO3,BaCO3 barium carbonate,"BaCO3, barium carbonate",,
ZnCO3,ZnCO3,ZnCO3 zinc carbonate,"ZnCO3, zinc carbonate",,
PbCO3,PbCO3,PbCO3 lead carbonate,"PbCO3, lead carbonate",,
"Ca(OH)2 ","Ca(OH)2 ",Ca(OH)2 calcium hydroxide,"Ca(OH)2, calcium hydroxide, hydrated lime",,
Mg(OH)2,Mg(OH)2,Mg(OH)2 magnesium hydroxide,"Mg(OH)2, magnesium hydroxide",,
Ba(OH)2,Ba(OH)2,ba(oh)2 barium hydroxide,"ba(oh)2, barium hydroxide",,
Sr(OH)2,Sr(OH)2,,Sr(OH)2,,
Rh2O3,Rh2O3,,rhodium,,
CuO,CuO,Copper Oxide CuO,"Copper Oxide, CuO",,
Li2O,Li2O,,Li2O,,
MgO,MgO,MgO magnesium oxide,"MgO, magnesium oxide",,
Cr2O3,Cr2O3,Cr2O3 chromium oxide,"Cr2O3, chromium oxide, chromic oxide",,
PtO2,PtO2,pto2 platinum oxide,"pto2, platinum oxide",,
PbO,PbO,PbO lead oxide,"PbO, lead oxide",,
Sb2O3,Sb2O3,Sb2O3 antimony oxide,"sb2o3, antimony trioxide",,
BaO,BaO,barium oxide,barium oxide,,
CoCl2,CoCl2,cobalt chloride cocl2,"cobalt chloride, cocl2",y,
CoSO4,CoSO4,cobalt sulfate coso4,"cobalt sulfate, coso4",y,
CdCO3,CdCO3,CdCO3 cadmium carbonate,"CdCO3, cadmium carbonate",,
Mg(NO3)2,Mg(NO3)2,Mg(NO3)2 magnesium nitrate,"Mg(NO3)2, magnesium nitrate",,
MnSO4,MnSO4,MnSO4 manganese sulphate,"MnSO4, manganese sulphate",y,
Steel,Fe,stainless steel,stainless steel,,
HBr,HBr,hbr Hydrobromic acid,"hbr, Hydrobromic acid",,
ZnBr2,ZnBr2,znbr2 zinc bromide,"znbr2, zinc bromide",,
ZnI2,ZnI2,zni2 zinc iodide,"zni2, zinc iodide",,
