,class,original_name,phase_change_T,sp_latent_heat,density,kth,vol_latent_heat,specific_price
79,Organic Eutectic,Na2HPO4$12H2O,36.0,280.0,1520(S),"0.514(S), 0.476(L)",425.6,5.0
80,Organic Eutectic,Na2CO3$10H2O,36.0,247.0,,,,15.0
81,Organic Eutectic,Na2SO4$10H2O,32.0,251.0,,,,6.0
82,Organic Eutectic,CaCl2$6H2O,29.0,190.8,"1802 (S, 24 degC)","0.540 (L, 38.7 degC)",343.8,6.0
83,Organic Eutectic,,,,"1562 (L, 32 degC)","1.088 (S, 23 degC)",,
84,Nitrate salts,NaNO3,306.0,172.0,2261 (S),,388.9,6.0
85,Nitrate salts,KNO3,335.0,266.0,2109(S),0.5,561,7.0
86,Nitrate salts,Ca(NO3)2,560.0,145.0,2113(S),,306.4,
87,Nitrate salts,Mg (NO3)2,426.0,,,,,226.0
88,Carbonate salts,Na2CO3,854.0,276.0,2533(S),,699.1,3.0
89,Carbonate salts,,,,1972(L),,,
90,Carbonate salts,K2CO3,897.0,236.0,2290(S),,540.4,7.0
91,Carbonate salts,CaCO3,1330.0,142.0,2930(S),,416.1,8.0
92,Carbonate salts,Li2CO3,732.0,509.0,2110(S),,1074,111.0
93,Chloride salts,ZnCl2,280.0,75.0,2907(S),0.5,218,14.0
94,Chloride salts,AlC13,192.0,280.0,,,,
95,Chloride salts,NaCl,802.0,420.0,2160(S),,907.2,2.8
96,Chloride salts,KCl,771.0,353.0,1980(S),,698.9,7.6
97,Chloride salts,,,,1527(L),,,
98,Chloride salts,MgCl2,714.0,452.0,2320(S),,1048.6,55.0
99,Chloride salts,,,,1680(L),,,
100,Chloride salts,LiCl,610.0,441.0,2070(S),,912.9,55.0
101,Chloride salts,,,,1502(L),,,
102,Chloride salts,CaCl2,772.0,253.0,2150(S),,544,5.3
103,Chloride salts,,,,2085(L),,,
104,Sulfate salts,Na2SO4,884.0,165.0,2680(S),,442.2,3.4
105,Sulfate salts,Li2SO4,858.0,84.0,2220(S),,186.5,180.0
106,Sulfate salts,,,,2003(L),,,
107,Sulfate salts,K2SO4,1069.0,212.0,2660(S),,563.9,8.25
108,Sulfate salts,MgSO4,1130.0,122.0,2660(S),,324.5,13.7
109,Sulfate salts,CaSO4,1460.0,203.0,2320(S),,471,27.0
110,Fluoride salts,LiF,850.0,1044.0,2640(S),,2756.2,220.0
111,Fluoride salts,,,,1810(L),,,
112,Fluoride salts,NaF,996.0,794.0,2558(S),,2031.1,7.6
113,Fluoride salts,,,,1948(L),,,
114,Fluoride salts,KF,858.0,468.0,2370(S),,1109.2,203.0
115,Fluoride salts,,,,1910(L),,,
116,Fluoride salts,CaF2,1418.0,391.0,3180(S),,1243.4,11.4
117,Fluoride salts,,,,1910(L),,,
118,Hydroxides,NaOH,318.0,165.0,2100(S),,346.5,4.1
119,Hydroxides,KOH,380.0,150.0,2040(S),,306,5.0
120,Hydroxides,LiOH,462.0,873.0,1460(S),,1274.6,165.0
121,Metals,Copper,1084.0,208.0,8960(S),401,1863.7,84.0
122,Metals,,,,8020(L),,,
