,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD/kg
index,,,
Toluene,Toluene,C7H6,0.32
Naphthalene,Naphthalene,C10H18,0.64
Dibenzyltoluene,dibenzyltoluene,C21H20,4.229
NEC,N-ethylcarbazole,C14H25N,42.29
