SM_name,materials,mat_basis,N_H2,deltaH,wt_pct,MF_host
Toluene,Toluene,molar,3,68.3,6.2,C7H8
Naphthalene,Naphthalene,molar,5,69.3,7.3,C10H18
DBT,DBT,molar,9,65.4,6.2,C21H20
NEC,NEC,molar,6,50,5.8,C14H25N
