,molecular_formula,specific_price,year
unit_row,N/U,USD / kilogram,N/U
index,,,
N-hexane,C6H14,1.734,2022
Ethanol,C2H6O,0.8225,2022
N-Propane,C3H8,1.185,2022
Methanol,CH3OH,0.638,2022
Naphthalene,C10H8,1.307,2021
Toluene,C7H8,1.166,2022
Ethylene glycol,C2H6O2,0.868,2022
