index,molecular_formula,price,price_unit
N-hexane,C6H14,1734,USD/metric_ton
Ethanol,C2H6O,775-870,USD/metric_ton
Propane,C3H8,970,USD/metric_ton
Methanol,CH3OH,616-660,USD/metric_ton
