,Commodity,Commodity_info,Specification,price_per_kg
116,Ammonium,heptamolybdate,54% min EXW China,19.018
117,Sodium,Molybdate,99% min EXW China,12.485
118,Molybdenum,Powder,99.95% min EXW China,37.7
119,Molybdenum,bar,99.9% min EXW China,40.45
120,Molybdenum,Rod,?0.40mm EXW China,52.75
121,Niobium,Concrete,"Nb2O5 50% min, Ta2O5 5% min, CIF China",20.613221514286053
122,Niobium,pentoxides,99.5% min EXW China,33.45
123,Niobium,pentoxides,99.5% min FOB China,33.5
124,Niobium,pentoxides,99.99% min EXW China,45.0
125,Niobium,pentoxides,99.99% min FOB China,44.8
126,Rhenium,APR,99.99% min EXW China,1502.5
127,Selenium,Powder,99.5% min in the warehouse Rotterdam,18.629061154622153
128,Selenium,Powder,99.9% min delivered in China,20.700000000000003
129,Selenium,Powder,99.9% min CIF China,19.400679072269227
131,Selenium,Powder,99.9% min FOB Russia,24.0
132,Selenium,Powder,99.9% min delivered in US,18.629061154622153
133,Selenium,dioxides,98% min delivered in China,12.7
134,Silicon,metal,5-5-3 delivered in China,1.4955
135,Silicon,metal,5-5-3 FOB China,1.54
136,Silicon,metal,5-5-3 Ex-VAT FOB China,1.42
139,Silicon,metal,4-4-1 delivered in China,1.6405
140,Silicon,metal,4-4-1 FOB China,1.72
141,Silicon,metal,4-4-1 Ex-VAT FOB China,1.565
144,Silicon,metal,4-2-1 delivered in China,1.7855
145,Silicon,metal,4-1-1 delivered in China,1.8145
146,Silicon,metal,3-3-03 delivered in China,1.7275
147,Silicon,metal,3-3-03 FOB China,1.7550000000000001
148,Silicon,metal,3-3-03 P 50ppm max delivered in China,1.7565
149,Silicon,metal,3-3-03 P 50ppm max FOB China,1.8
150,Silicon,metal,2-2-02 delivered in China,1.9015
151,Silicon,metal,2-2-02 FOB China,1.94
152,Silicon,metal,98.5% min delivered in US,2.6235009200000428
153,Silicon,polysilicon,6N delivered in China,10.55
154,Strontium,metal,99% min EXW China,6.6055
155,Strontium,metal,99% min FOB China,7.0
156,Tantalum,Concrete,Ta2O5 30% min CIF China,120.15193289075827
157,Tantalum,metal,99.95% min EXW China,305.0
158,Tantalum,metal,99.95% min FOB China,260.0
159,Tantalum,metal,99.95% min delivered in US,280.0
160,Tantalum,pentoxide,99.5% min EXW China,185.0
