index,material_name,commodity,commodity_info,Specification,specific_price
Mg,Magnesium,Magnesium,Ingot,99.9% min in the warehouse Rotterdam,2.355
Mg,Magnesium,Magnesium,Powder,99.9% min EXW China,2.41
Mg,Magnesium,Magnesium,Powder,99.9% min FOB China,2.455
Mg,Magnesium,Magnesium,Alloy,AZ91D EXW China,2.5260000000000002
Mg,Magnesium,Magnesium,Alloy,AZ91D FOB China,2.625
Mg,Magnesium,Manganese,flakes,99.7% min EXW China,1.9015
Mg,Magnesium,Manganese,flakes,99.7% min FOB China,1.945
Mg,Magnesium,Manganese,flakes,99.7% min Ex-VAT FOB China,1.865
Mg,Magnesium,Manganese,flakes,99.7% min in the warehouse Rotterdam,1.95
Mg,Magnesium,Manganese,flakes,99.7% min CIF India,1.975
Mg,Magnesium,Manganese,Lump,96.5% min FOB China,2.015
Mg,Magnesium,Manganese,Briquette,97% min FOB China,1.995
Mg,Magnesium,Manganese,dioxides,Alkaline 91% min EXW China,1.713
Mg,Magnesium,Manganese,dioxides,Carbon 91% min EXW China,1.4955
Mg,Magnesium,Manganese,sulphates,Mn 32% min EXW China,0.9875
Mg,Magnesium,Mercury,metal,99.999% min EXW China,61.7
MoS2,molybdenite ,Molybdenum,Conc.,45% min EXW China,26.35
MoO3,Molybdenum oxide,Molybdenum,oxides,50% min EXW China,27.1
MoO3,Molybdenum oxide,Molybdenum,oxides,57% min in the warehouse Rotterdam,26.12477806890799
MoO3,Molybdenum oxide,Molybdenum,oxides,57% min in the port of South Korea,26.014546937815556
MoO3,Molybdenum oxide,Molybdenum,oxides,57% min in the port of India,26.014546937815556
MoO3,Molybdenum oxide,Molybdenum,oxides,99.9% min EXW China,23.083000000000002
H10MoN2S4,Ammonium Tetrathiomolybdate,Ammonium,Tetrathiomolybdate,56% min EXW China,18.728
H66Mo7N6O24,Ammonium heptamolybdate,Ammonium,heptamolybdate,54% min EXW China,19.018
MoNa2O4,Sodium Molybdate,Sodium,Molybdate,99% min EXW China,12.485
Mo,Molybdenum,Molybdenum,Powder,99.95% min EXW China,37.7
Mo,Molybdenum,Molybdenum,bar,99.9% min EXW China,40.45
Mo,Molybdenum,Molybdenum,Rod,?0.40mm EXW China,52.75
Nb2O5,Niobium pentoxide,Niobium,Conc.,"Nb2O5 50% min, Ta2O5 5% min, CIF China",20.613221514286053
Nb2O5,Niobium pentoxide,Niobium,pentoxides,99.5% min EXW China,33.45
Nb2O5,Niobium pentoxide,Niobium,pentoxides,99.5% min FOB China,33.5
Nb2O5,Niobium pentoxide,Niobium,pentoxides,99.99% min EXW China,45.0
Nb2O5,Niobium pentoxide,Niobium,pentoxides,99.99% min FOB China,44.8
Re,Rhenium,Rhenium,APR,99.99% min EXW China,1502.5
Se,Selenium,Selenium,Powder,99.5% min in the warehouse Rotterdam,18.629061154622153
Se,Selenium,Selenium,Powder,99.9% min delivered in China,20.700000000000003
Se,Selenium,Selenium,Powder,99.9% min CIF China,19.400679072269227
Se,Selenium,Selenium,Powder,99.9% min FOB Russia,24.0
Se,Selenium,Selenium,Powder,99.9% min delivered in US,18.629061154622153
O2Se,Selenium dioxide,Selenium,dioxides,98% min delivered in China,12.7
Si,Silicon,Silicon,metal,5-5-3 delivered in China,1.4955
Si,Silicon,Silicon,metal,5-5-3 FOB China,1.54
Si,Silicon,Silicon,metal,5-5-3 Ex-VAT FOB China,1.42
Si,Silicon,Silicon,metal,4-4-1 delivered in China,1.6405
Si,Silicon,Silicon,metal,4-4-1 FOB China,1.72
Si,Silicon,Silicon,metal,4-4-1 Ex-VAT FOB China,1.565
Si,Silicon,Silicon,metal,4-2-1 delivered in China,1.7855
Si,Silicon,Silicon,metal,4-1-1 delivered in China,1.8145
Si,Silicon,Silicon,metal,3-3-03 delivered in China,1.7275
Si,Silicon,Silicon,metal,3-3-03 FOB China,1.7550000000000001
Si,Silicon,Silicon,metal,3-3-03 P 50ppm max delivered in China,1.7565
Si,Silicon,Silicon,metal,3-3-03 P 50ppm max FOB China,1.8
Si,Silicon,Silicon,metal,2-2-02 delivered in China,1.9015
Si,Silicon,Silicon,metal,2-2-02 FOB China,1.94
Si,Silicon,Silicon,metal,98.5% min delivered in US,2.6235009200000428
Si,Silicon,Silicon,polysilicon,6N delivered in China,10.55
Sr,Strontium,Strontium,metal,99% min EXW China,6.6055
Sr,Strontium,Strontium,metal,99% min FOB China,7.0
O5Ta2,Tantalum oxide,Tantalum,Conc.,Ta2O5 30% min CIF China,120.15193289075827
Ta,Tantalum,Tantalum,metal,99.95% min EXW China,305.0
Ta,Tantalum,Tantalum,metal,99.95% min FOB China,260.0
Ta,Tantalum,Tantalum,metal,99.95% min delivered in US,280.0
O5Ta2,Tantalum pentoxide,Tantalum,pentoxide,99.5% min EXW China,185.0
O5Ta2,Tantalum pentoxide,Tantalum,pentoxide,99.5% min FOB China,185.0
O5Ta2,Tantalum pentoxide,Tantalum,pentoxide,99.99% min EXW China,252.0
O5Ta2,Tantalum pentoxide,Tantalum,pentoxide,99.99% min FOB China,247.5
Te,Tellurium,Tellurium,metal,99.9% min in the warehouse Rotterdam,51.0
Te,Tellurium,Tellurium,metal,99.99% min EXW China,55.900000000000006
Te,Tellurium,Tellurium,metal,99.99% min in the warehouse Rotterdam,61.0
FeH6O3Ti,Ilmenite,Ilmenite,Conc,TiO2 46% min; Fe2O3 8% max; Ex-VAT EXW China,0.1645
FeH6O3Ti,Ilmenite,Ilmenite,Conc,TiO2 50% min; Fe2O3 14% max; in the port of China,0.234
FeH6O3Ti,Ilmenite,Ilmenite,Conc,TiO2 50% min; Fe 30% min; in the port of China,0.188
FeH6O3Ti,Ilmenite,Ilmenite,Conc,"Mozambican TiO2 52% min, Fe2O3 25% max CIF China",0.1975
FeH6O3Ti,Ilmenite,Ilmenite,Conc,"Australian TiO2 55-58% min, Fe 27% min CIF China",0.178
FeH6O3Ti,Ilmenite,Ilmenite,Conc,"Kenyan TiO2 48% min, Fe2O3 20% max CIF China",0.1855
FeH6O3Ti,Ilmenite,Ilmenite,Conc,"TiO2 52% min, Fe2O3 25% max FOB Vietnam",0.1645
FeH6O3Ti,Ilmenite,Ilmenite,Conc,"TiO2 49% min, Fe2O3 11% max FOB India",0.216
FeH6O3Ti,Ilmenite,Ilmenite,Reduced,TiO2 56% min EXW China,0.542
FeH6O3Ti,Ilmenite,Rutile,Conc,TiO2 95% min in the port of China,1.314
FeH6O3Ti,Ilmenite,Titanium,Slag,TiO2 74% min EXW China,0.5225
FeH6O3Ti,Ilmenite,Titanium,Slag,TiO2 90% min EXW China,0.8855000000000001
Cl4Ti,Titanium tetrachloride,Titanium,tetrachloride,99.99% min EXW China,1.1685
Ti,Titanium,Titan,Sponge,99.7% min EXW China,10.743
Ti,Titanium,Titanium,plate,TA2 2mm EXW China,16.35
Ti,Titanium,Titanium,pipe,TA2 25.4x1mm EXW China,20.1
Ti,Titanium,Titanium,Dioxide,R TiO2 93% min EXW China,2.069
Ti,Titanium,Titanium,Dioxide,R TiO2 93% min FOB China,2.14
Ti,Titanium,Titanium,Dioxide,A TiO2 98% min EXW China,1.735
O3W,Tungsten trioxide,Wolfram,Ore,WO3 65% min EXW China,10.743
O3W,Tungsten trioxide,Wolfram,Ore,WO3 50% min FOB Africa,20.75
H8N2O4W,ammonium paratungstate,Tungsten,APT,88.5% min EXW China,15.897
H8N2O4W,ammonium paratungstate,Tungsten,APT,88.5% min FOB China,22.0
H8N2O4W,ammonium paratungstate,Tungsten,APT,88.5% min in the warehouse Rotterdam,22.5
Na2O4W,Sodium Tungstate,Sodium,Tungstate,WO3 68% min EXW China,14.9535
O3W,Tungsten oxide,Tungsten,oxides,WO3 99.95% min EXW China,20.978
O3W,Tungsten oxide,Tungsten,oxides,WO3 99.95% min FOB China,22.8
