full_name,chemical
Antimony Ingot,Antimony
Antimony Trioxide,Antimony Trioxide
Antimony ethelyene_glycol,antimony ethylene glycoxide
Arsenic metal,Arsenic
Arsenic trioxide,Arsenic Trioxide
Bismuth ingot,Bismuth
Bismuth oxides,Bismuth oxide
Cadmium Ingot,Cadmium
Calcium Ingot,Cadmium
Calcium Granule,Calcium
Chrome Conc.,Chromite
Chrome lump,Chromite
Chromium metal,Chromium
Cobalt Conc.,Cobalt
Cobalt Intermediate,Cobalt
Cobalt metal,Cobalt
Cobalt Carbonates,Cobalt Carbonate
Cobalt Chloride,Cobalt Chloride
Cobalt Monoxide,Cobalt monoxide
Cobalt oxides,Cobalt tetraoxide
Cobalt Powder,Cobalt
Cobalt sulphates,Cobalt Sulphate
Cobalt Tetroxide,Cobalt Tetroxide
Gallium metal,Gallium
Germanium metal,Germanium
Germanium dioxides,Germanium dioxide
Indium ingot,Indium
Lithium metal,Lithium
Lithium Carbonates,Lithium Carbonate
Lithium Cobaltate,Lithium Cobaltate
Lithium manganates,Lithium manganate
Lithium hydroxides_monohydrates,Lithium Hydroxide
Lithium chlorides,Lithium chloride
Magnesium Ingot,Magnesium
Magnesium Powder,Magnesium
Magnesium Alloy,Magnesium
Manganese flakes,Magnesium
Manganese Lump,Magnesium
Manganese Briquette,Magnesium
Manganese dioxides,Magnesium
Manganese sulphates,Magnesium
Mercury metal,Magnesium
Molybdenum Conc.,molybdenite 
Molybdenum oxides,Molybdenum oxide
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate
Ammonium heptamolybdate,Ammonium heptamolybdate
Sodium Molybdate,Sodium Molybdate
Molybdenum Powder,Molybdenum
Molybdenum bar,Molybdenum
Molybdenum Rod,Molybdenum
Niobium Conc.,Niobium pentoxide
Niobium pentoxides,Niobium pentoxide
Rhenium APR,Rhenium
Selenium Powder,Selenium
Selenium dioxides,Selenium dioxide
Silicon metal,Silicon
Silicon polysilicon,Silicon
Strontium metal,Strontium
Tantalum Conc.,Tantalum oxide
Tantalum metal,Tantalum
Tantalum pentoxide,Tantalum oxide
Tellurium metal,Tellurium
Ilmenite Conc,Ilmenite
Ilmenite Reduced,Ilmenite
Rutile Conc,Ilmenite
Titanium Slag,Ilmenite
Titanium tetrachloride,Titanium tetrachloride
Titan Sponge,Titanium
Titanium plate,Titanium
Titanium pipe,Titanium
Titanium Dioxide,Titanium
Wolfram Ore,Tungsten trioxide
Tungsten APT,ammonium paratungstate
Sodium Tungstate,Sodium Tungstate
Tungsten oxides,Tungsten oxide
Tungsten powder,Tungsten
Wolfram Bar,Wolfram
Tungsten carbide,Tungsten carbide
Tungsten scrap,Tungsten
Ammonium metavanadate,Ammonium metavanadate
Vanadium nitrides,Vanadium nitrides
Vanadium pentoxides,Vanadium pentoxide
Zircon sand,Zirconium silicate
Zirconium fused_cubic,Zirconium oxide
Zirconium Sponge,Zirconium
Zirconium silicate,Zirconium silicate
Zirconium Oxychloride,Zirconium oxychloride
Zirconium Carbonates,Zirconium carbonate
