original_name,temperature,enthalpy,specific_energy,mat_type
CaCO3/CaO,885,165.832,1656.8,carbonates
SrCO3/SrO,1220,202.349,1370.65,carbonates
MgCO3/MgO,300,98.984,1174,carbonates
BaCO3/BaO,1555,165.096,836.6,carbonates
CdCO3/CdO,290,96.573,560.1,carbonates
ZnCO3/ZnO,120,68.326,544.9,carbonates
PbCO3/PbO,310,83.906,314,carbonates
