,Plant Name,GESDB_ID,Plant Code
226,J S Eastwood,175,104.0
301,Horse Mesa,1067,145.0
310,Mormon Flat,68,148.0
364,Degray,72,187.0
663,Castaic,76,392.0
763,Edward C Hyatt,44,437.0
769,Thermalito,57,438.0
795,ONeill,82,446.0
805,W R Gianelli,50,448.0
829,Cabin Creek,43,467.0
900,Flatiron,12,518.0
919,Rocky River (CT),3,539.0
943,Northfield Mountain,75,547.0
2675,Ludington,83,1713.0
3327,Taum Sauk,27,2108.0
4202,Blenheim Gilboa,86,2691.0
4206,Lewiston Niagara,1003,2692.0
4352,Hiwassee Dam,952,2780.0
4555,Salina,67,2982.0
4847,Muddy Run,40,3164.0
4919,Jocassee,883,3262.0
5530,Smith Mountain,41,3780.0
6323,Wallace Dam,126,6087.0
6348,Helms Pumped Storage,1029,6100.0
6389,Fairfield Pumped Storage,117,6126.0
6402,Carters,107,6130.0
6412,Richard B Russell,161,6132.0
6427,Clarence Cannon,156,6140.0
6428,Harry Truman,,6141.0
6447,Raccoon Mountain,115,6151.0
6490,Grand Coulee,84,6163.0
6501,Bath County,167,6167.0
6537,Rocky Mountain Hydroelectric Plant,203,6189.0
6583,Mount Elbert,137,6208.0
6990,Yards Creek Energy,35,6522.0
7269,Bad Creek,194,7125.0
7317,Waddell,199,7164.0
8361,Bear Swamp,91,8005.0
8527,Seneca Generation LLC,61,8225.0
16094,Lake Hodges Hydroelectric Facility,800,57729.0
