index,original_name,specific_price
Al,"Al-7075-T6, Al-2024, Al-6061-T6",3.07
CFRP,"IM7-8551–7, AS4-3501–6, IM7–8552, T300-BSL914C, AS4–8552, T300-PR319",31.38
GRE,"E-Glass Epoxy, S-2 Glass Epoxy",24.814999999999998
KFRP,Kevlar-49 Epoxy,27.1
Steel,"Steel-18Ni-300, Stainless-Steel-440C, Stainless-Steel-15-7, Steel-4340, Stainless-Steel-455, Carbon-Steel-1020",1.7566666666666666
