,deltaV,metal_A,metal_B,mm_A,mm_B,SP_A,SP_B,specific_price,specific_energy,C_kwh
Mg-Pb,0.16999999999999998,Mg,Pb,24.305,207.2,2.8389220325036004,2.5096525096525095,2.5442215070948793,0.01968094041645369,129.27337074644336
Ca-Pb,0.595,Ca,Pb,40.078,207.2,3.4931882828484455,2.5096525096525095,2.669060733263776,0.06448946687084531,41.38754532750552
Ba-Pb,0.8400000000000001,Ba,Pb,137.327,207.2,5.971149154936756,2.5096525096525095,3.889390381595637,0.06534514469596481,59.52072490912725
Li-Sb,0.92,Li,Sb,6.94,121.76,61.95965417867435,14.783180026281208,17.327117327117325,0.19158723992057325,90.43982957477057
Na-Sb,0.735,Na,Sb,22.98976928,121.76,2.479363725045613,14.783180026281208,12.82903599250559,0.1360901708605012,94.2686449093811
K-Sb,0.775,K,Sb,39.0983,121.76,130.44045393277966,14.783180026281208,42.89489569391196,0.1291265442248792,332.19270252604866
Mg-Sb,0.45,Mg,Sb,24.305,121.76,2.8389220325036004,14.783180026281208,12.79567315920994,0.08257025981583542,154.9670933305695
Ca-Sb,0.99,Ca,Sb,40.078,121.76,3.4931882828484455,14.783180026281208,11.98729593791322,0.16395021564774648,73.1154630724512
Ba-Sb,1.275,Ba,Sb,137.327,121.76,5.971149154936756,14.783180026281208,10.112433275309067,0.13189303528673121,76.67147285923751
Li-Bi,0.815,Li,Bi,6.94,208.9804,61.95965417867435,23.447174950378123,24.685022813962924,0.10116289125272294,244.01262664879096
Na-Bi,0.605,Na,Bi,22.98976928,208.9804,2.479363725045613,23.447174950378123,21.36912696742763,0.06990054078119684,305.7076058154889
K-Bi,0.675,K,Bi,39.0983,208.9804,130.44045393277966,23.447174950378123,40.309788788799686,0.07292418696163758,552.762951063205
Mg-Bi,0.325,Mg,Bi,24.305,208.9804,2.8389220325036004,23.447174950378123,21.30008993276047,0.03733817628059402,570.464121565329
Ca-Bi,0.845,Ca,Bi,40.078,208.9804,3.4931882828484455,23.447174950378123,20.236217690308777,0.09093117763187714,222.54432657006194
Ba-Bi,1.135,Ba,Bi,137.327,208.9804,5.971149154936756,23.447174950378123,16.517117451143115,0.08783981049463248,188.0368065246726
Li-Te,1.73,Li,Te,6.94,127.6,61.95965417867435,344.82758620689657,330.2363609335514,0.34462912723188477,958.2369417990338
Na-Te,1.595,Na,Te,22.98976928,127.6,2.479363725045613,344.82758620689657,292.5630353950696,0.28387197538163184,1030.616125462028
K-Te,1.7850000000000001,K,Te,39.0983,127.6,130.44045393277966,344.82758620689657,294.5440955306683,0.28698840460080677,1026.327512919455
Mg-Te,,Mg,Te,24.305,127.6,2.8389220325036004,344.82758620689657,290.10894967249266,,
Ca-Te,,Ca,Te,40.078,127.6,3.4931882828484455,344.82758620689657,263.24264363840217,,
Ba-Te,,Ba,Te,137.327,127.6,5.971149154936756,344.82758620689657,169.17867940979966,,
