type,vol_cost,source,year,unit,notes
Salt,55,Kruck,2013,EUR/m**3,
LRC,419.75,Kruck,2013,EUR/m**3,average of 4 LRC costs
LRC,752,Keissling,2021,EUR/m**3,
Salt,23,Lord,2014,USD/m**3,
LRC,84,Lord,2014,USD/m**3,
